# start rate=20 seed=1 dur=420 n=7 target=3 events=76
80.3 fp=[4] true=[3] merged=[3, 4]
80.6 fp=[4] true=[3] merged=[3, 4]
80.9 fp=[4] true=[3] merged=[3, 4]
81.2 fp=[2] true=[3] merged=[2, 3]
81.5 fp=[2] true=[3] merged=[2, 3]
81.8 fp=[2] true=[3] merged=[2, 3]
82.1 fp=[2] true=[3] merged=[2, 3]
82.5 fp=[2] true=[3] merged=[2, 3]
82.8 fp=[2] true=[3] merged=[2, 3]
83.1 fp=[2] true=[3] merged=[2, 3]
83.4 fp=[2] true=[3] merged=[2, 3]
83.7 fp=[2] true=[3] merged=[2, 3]
84.0 fp=[2] true=[3] merged=[2, 3]
84.3 fp=[2] true=[3] merged=[2, 3]
84.7 fp=[2] true=[3] merged=[2, 3]
85.0 fp=[2] true=[3] merged=[2, 3]
85.3 fp=[2] true=[3] merged=[2, 3]
85.6 fp=[2] true=[3] merged=[2, 3]
85.9 fp=[2] true=[3] merged=[2, 3]
86.2 fp=[2] true=[3] merged=[2, 3]
86.5 fp=[2] true=[3] merged=[2, 3]
86.8 fp=[2] true=[3] merged=[2, 3]
87.2 fp=[2] true=[3] merged=[2, 3]
87.5 fp=[2] true=[3] merged=[2, 3]
87.8 fp=[2] true=[3] merged=[2, 3]
88.1 fp=[2] true=[3] merged=[2, 3]
88.4 fp=[2] true=[3] merged=[2, 3]
88.8 fp=[2] true=[3] merged=[2, 3]
89.1 fp=[2] true=[3] merged=[2, 3]
89.4 fp=[2] true=[3] merged=[2, 3]
89.7 fp=[2] true=[3] merged=[2, 3]
90.1 fp=[2] true=[3] merged=[2, 3]
90.4 fp=[2] true=[3] merged=[2, 3]
90.7 fp=[2] true=[3] merged=[2, 3]
91.0 fp=[2] true=[3] merged=[2, 3]
91.3 fp=[2] true=[3] merged=[2, 3]
91.6 fp=[2] true=[3] merged=[2, 3]
91.9 fp=[2] true=[3] merged=[2, 3]
92.3 fp=[2] true=[3] merged=[2, 3]
92.6 fp=[2] true=[3] merged=[2, 3]
92.9 fp=[2] true=[3] merged=[2, 3]
93.2 fp=[1] true=[3] merged=[1, 3]
93.5 fp=[1] true=[3] merged=[1, 3]
93.8 fp=[1] true=[3] merged=[1, 3]
94.2 fp=[1] true=[3] merged=[1, 3]
94.5 fp=[1] true=[3] merged=[1, 3]
94.8 fp=[1] true=[3] merged=[1, 3]
95.1 fp=[1] true=[3] merged=[1, 3]
95.4 fp=[1] true=[3] merged=[1, 3]
95.7 fp=[1] true=[3] merged=[1, 3]
96.0 fp=[1] true=[3] merged=[1, 3]
96.3 fp=[1] true=[3] merged=[1, 3]
96.6 fp=[1] true=[3] merged=[1, 3]
97.0 fp=[1] true=[3] merged=[1, 3]
97.3 fp=[1] true=[3] merged=[1, 3]
97.6 fp=[1] true=[3] merged=[1, 3]
97.9 fp=[1] true=[3] merged=[1, 3]
98.2 fp=[1] true=[3] merged=[1, 3]
98.5 fp=[1] true=[3] merged=[1, 3]
98.8 fp=[1] true=[3] merged=[1, 3]
99.2 fp=[1] true=[3] merged=[1, 3]
99.5 fp=[1] true=[3] merged=[1, 3]
99.8 fp=[1] true=[3] merged=[1, 3]
100.1 fp=[1] true=[3] merged=[1, 3]
100.4 fp=[1] true=[3] merged=[1, 3]
100.8 fp=[1] true=[3] merged=[1, 3]
101.1 fp=[1] true=[3] merged=[1, 3]
101.4 fp=[1] true=[3] merged=[1, 3]
101.7 fp=[1] true=[3] merged=[1, 3]
102.0 fp=[1] true=[3] merged=[1, 3]
102.3 fp=[1] true=[3] merged=[1, 3]
102.6 fp=[1] true=[3] merged=[1, 3]
102.9 fp=[1] true=[3] merged=[1, 3]
103.2 fp=[1] true=[3] merged=[1, 3]
103.5 fp=[1] true=[3] merged=[1, 3]
103.9 fp=[1] true=[3] merged=[1, 3]
104.2 fp=[1] true=[3] merged=[1, 3]
104.5 fp=[1] true=[3] merged=[1, 3]
104.8 fp=[1] true=[3] merged=[1, 3]
105.1 fp=[1] true=[3] merged=[1, 3]
105.4 fp=[1] true=[3] merged=[1, 3]
105.7 fp=[1] true=[3] merged=[1, 3]
106.1 fp=[1] true=[3] merged=[1, 3]
106.4 fp=[1] true=[3] merged=[1, 3]
106.7 fp=[1] true=[3] merged=[1, 3]
107.0 fp=[1] true=[3] merged=[1, 3]
107.3 fp=[1] true=[3] merged=[1, 3]
107.6 fp=[1] true=[3] merged=[1, 3]
107.9 fp=[1] true=[3] merged=[1, 3]
108.3 fp=[1] true=[3] merged=[1, 3]
108.6 fp=[1] true=[3] merged=[1, 3]
108.9 fp=[1] true=[3] merged=[1, 3]
109.2 fp=[1] true=[3] merged=[1, 3]
109.5 fp=[1] true=[3] merged=[1, 3]
109.9 fp=[1] true=[3] merged=[1, 3]
110.2 fp=[1] true=[3] merged=[1, 3]
110.5 fp=[1] true=[3] merged=[1, 3]
110.8 fp=[1] true=[3] merged=[1, 3]
111.1 fp=[1] true=[3] merged=[1, 3]
111.4 fp=[1] true=[3] merged=[1, 3]
111.7 fp=[1] true=[3] merged=[1, 3]
112.0 fp=[1] true=[3] merged=[1, 3]
112.4 fp=[1] true=[3] merged=[1, 3]
112.7 fp=[1] true=[3] merged=[1, 3]
113.0 fp=[1] true=[3] merged=[1, 3]
113.3 fp=[7] true=[3] merged=[3, 7]
113.6 fp=[7] true=[3] merged=[3, 7]
113.9 fp=[7] true=[3] merged=[3, 7]
114.2 fp=[7] true=[3] merged=[3, 7]
114.5 fp=[7] true=[3] merged=[3, 7]
114.8 fp=[7] true=[3] merged=[3, 7]
115.2 fp=[7] true=[3] merged=[3, 7]
115.5 fp=[7] true=[3] merged=[3, 7]
115.8 fp=[7] true=[3] merged=[3, 7]
116.1 fp=[7] true=[3] merged=[3, 7]
116.4 fp=[7] true=[3] merged=[3, 7]
116.7 fp=[7] true=[3] merged=[3, 7]
117.0 fp=[7] true=[3] merged=[3, 7]
117.3 fp=[7] true=[3] merged=[3, 7]
117.6 fp=[7] true=[3] merged=[3, 7]
117.9 fp=[7] true=[3] merged=[3, 7]
118.3 fp=[7] true=[3] merged=[3, 7]
118.6 fp=[7] true=[3] merged=[3, 7]
118.9 fp=[7] true=[3] merged=[3, 7]
119.2 fp=[7] true=[3] merged=[3, 7]
119.5 fp=[7] true=[3] merged=[3, 7]
119.8 fp=[7] true=[3] merged=[3, 7]
120.1 fp=[4] true=[3] merged=[3, 4]
120.5 fp=[4] true=[3] merged=[3, 4]
120.8 fp=[4] true=[3] merged=[3, 4]
121.1 fp=[4] true=[3] merged=[3, 4]
121.4 fp=[4] true=[3] merged=[3, 4]
121.8 fp=[4] true=[3] merged=[3, 4]
122.1 fp=[2] true=[3] merged=[2, 3]
122.4 fp=[2] true=[3] merged=[2, 3]
122.7 fp=[2] true=[3] merged=[2, 3]
123.0 fp=[2] true=[3] merged=[2, 3]
123.3 fp=[2] true=[3] merged=[2, 3]
123.6 fp=[2] true=[3] merged=[2, 3]
123.9 fp=[2] true=[3] merged=[2, 3]
124.2 fp=[2] true=[3] merged=[2, 3]
124.6 fp=[2] true=[3] merged=[2, 3]
124.9 fp=[2] true=[3] merged=[2, 3]
125.2 fp=[2] true=[3] merged=[2, 3]
125.5 fp=[2] true=[3] merged=[2, 3]
125.8 fp=[2] true=[3] merged=[2, 3]
126.1 fp=[2] true=[3] merged=[2, 3]
126.4 fp=[2] true=[3] merged=[2, 3]
126.7 fp=[2] true=[3] merged=[2, 3]
127.1 fp=[2] true=[3] merged=[2, 3]
127.4 fp=[2] true=[3] merged=[2, 3]
