1786892958.653,0.62,0.43,199.32,0.48,0.44,0.30,0.29
1786892959.162,0.55,0.37,199.41,0.52,0.32,0.31,0.28
1786892959.665,0.54,0.31,210.27,0.51,0.28,0.26,0.26
1786892960.178,0.49,0.31,201.51,0.50,0.34,0.27,0.31
1786892960.682,0.56,0.33,201.34,0.49,0.34,0.30,0.25
1786892961.188,0.51,0.33,209.16,0.49,0.32,0.32,0.22
1786892961.700,0.48,0.35,209.19,0.44,0.31,0.31,0.27
1786892962.212,0.52,0.34,206.08,0.47,0.28,0.31,0.25
1786892962.720,0.56,0.34,209.79,0.55,0.30,0.28,0.30
1786892963.245,0.58,0.33,199.87,0.52,0.30,0.28,0.27
1786892963.748,0.51,0.36,200.52,0.49,0.28,0.27,0.31
1786892964.251,0.74,0.33,192.07,0.60,0.39,0.37,0.39
1786892964.748,0.56,0.37,203.75,0.53,0.31,0.29,0.24
1786892965.255,0.61,0.35,194.49,0.50,0.32,0.31,0.23
1786892965.753,0.61,0.38,202.31,0.51,0.28,0.29,0.27
1786892966.258,0.58,0.31,190.67,0.53,0.37,0.34,0.31
1786892966.752,0.54,0.41,197.98,0.76,0.51,0.48,0.48
1786892967.253,0.57,0.31,199.16,0.41,0.33,0.28,0.25
1786892967.755,0.57,0.34,207.99,0.49,0.32,0.29,0.27
1786892968.266,0.78,0.52,193.41,0.54,0.31,0.26,0.29
1786892968.762,0.56,2.32,203.20,0.46,0.33,0.40,0.30
1786892969.270,0.57,0.40,203.37,0.55,0.33,0.29,0.28
1786892969.777,0.49,0.29,207.62,0.48,0.35,0.32,0.31
1786892970.288,0.59,0.46,199.48,0.50,0.27,0.29,0.38
1786892970.791,0.51,0.32,208.73,0.48,0.32,0.29,0.26
1786892971.303,0.55,0.33,192.34,0.51,0.31,0.33,0.33
1786892971.800,0.53,0.29,207.58,0.53,0.34,0.32,0.38
1786892972.310,0.58,0.40,203.43,0.47,0.29,0.26,0.27
1786892972.816,0.74,0.32,199.02,0.49,0.31,0.30,0.28
1786892973.318,0.51,0.38,200.43,0.45,0.33,0.30,0.35
1786892973.824,0.53,0.31,206.98,0.56,0.36,0.36,0.37
1786892974.334,0.51,0.30,209.47,0.50,0.31,0.29,0.23
1786892974.846,0.49,0.27,209.41,0.50,0.30,0.27,0.34
1786892975.358,0.52,0.51,208.25,0.52,0.30,0.25,0.31
1786892975.870,0.47,0.32,191.50,0.49,0.28,0.23,0.35
1786892976.364,0.58,0.28,197.57,0.51,0.28,0.30,0.31
1786892976.864,0.61,0.39,206.96,0.61,0.44,0.41,0.26
1786892977.374,0.61,0.38,202.92,0.49,0.28,0.30,0.29
1786892977.880,0.55,0.29,200.43,0.84,0.73,0.76,0.68
1786892978.385,0.58,0.34,207.65,0.48,0.28,0.24,0.25
1786892978.896,0.57,0.31,209.29,0.49,0.42,0.29,0.35
1786892979.408,0.62,0.42,209.40,0.50,0.37,0.35,0.29
1786892979.920,0.51,0.34,204.04,0.56,0.35,0.34,0.34
1786892980.428,0.58,0.31,209.22,0.58,0.35,0.35,0.28
1786892980.943,0.77,0.68,210.28,0.57,0.42,0.34,0.28
1786892981.458,0.53,0.35,192.03,0.69,0.37,0.67,0.34
1786892981.954,0.59,0.30,198.82,0.51,0.32,0.27,0.33
1786892982.455,0.52,0.31,198.72,0.74,0.41,0.30,0.38
1786892982.958,0.60,0.35,202.48,0.56,0.42,0.36,0.33
1786892983.464,0.46,0.27,210.44,1.20,0.67,0.65,0.88
1786892983.979,0.48,0.55,198.80,0.47,0.30,0.27,0.26
1786892984.481,0.57,0.34,202.01,0.56,0.37,0.36,0.52
1786892984.987,0.45,0.32,201.36,0.52,0.33,0.28,0.26
1786892985.493,0.44,0.30,192.42,0.47,0.29,0.27,0.30
1786892985.987,0.51,0.31,192.52,0.48,0.40,0.34,0.28
1786892986.483,0.59,0.34,194.49,0.52,0.38,0.37,0.34
1786892986.981,0.51,0.31,191.26,0.50,0.30,0.36,0.27
1786892987.475,0.50,0.33,208.89,0.74,0.41,0.45,0.34
1786892987.987,0.48,0.29,200.68,0.56,0.37,0.34,0.38
1786892988.491,0.51,0.36,204.97,0.52,0.36,0.29,0.27
1786892989.001,0.50,0.30,202.82,0.51,0.34,0.28,0.77
1786892989.512,0.59,0.33,205.21,0.49,0.32,0.37,0.37
1786892990.020,0.54,0.32,200.01,0.62,0.34,0.35,0.26
1786892990.529,0.65,0.36,196.48,0.55,0.41,0.32,0.29
1786892991.031,0.64,0.33,210.51,0.48,0.34,0.33,0.28
1786892991.545,0.59,0.34,194.93,0.52,0.35,0.31,0.38
1786892992.044,0.56,0.38,194.41,0.52,0.31,0.23,0.27
1786892992.540,0.62,0.36,197.75,0.49,0.34,0.26,0.22
1786892993.040,0.53,0.28,210.38,0.62,0.39,0.48,0.39
