arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
C_predictor,9,4,1,3,2,7,1786331332.515812711,1786331346.038962671,W1,1,1,3,0,2,1,1,3,0,2,5,0,2,0,1
C_predictor,9,4,1,3,2,8,1786331346.046426362,1786331359.574874009,W1,1,1,3,0,2,1,1,3,0,2,2,0,9,0,1
C_predictor,9,4,1,3,2,9,1786331359.586381159,1786331373.163088769,W1,1,1,3,0,2,1,1,3,0,2,9,0,1,0,1
C_predictor,9,4,1,3,2,10,1786331373.166900466,1786331386.681325765,W1,1,1,3,0,2,1,1,3,0,2,1,0,5,0,1
A_vanilla,9,4,1,3,3,1,1786331394.766191354,1786331408.302585482,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
A_vanilla,9,4,1,3,3,2,1786331408.306687776,1786331421.797914175,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
A_vanilla,9,4,1,3,3,3,1786331421.803450392,1786331435.341658423,W1,1,1,3,0,2,1,1,3,0,2,6,0,5,0,1
A_vanilla,9,4,1,3,3,4,1786331435.348656866,1786331448.866371482,W1,1,1,3,0,2,1,1,3,0,2,5,0,2,0,1
A_vanilla,9,4,1,3,3,5,1786331448.871019057,1786331462.382529715,W1,1,1,3,0,2,1,1,3,0,2,2,0,3,1,1
A_vanilla,9,4,1,3,3,6,1786331462.395206909,1786331475.906184427,W1,1,1,3,0,2,1,1,3,0,2,3,1,8,0,1
A_vanilla,9,4,1,3,3,7,1786331475.915155725,1786331489.400290193,W1,1,1,3,0,2,1,1,3,0,2,8,0,2,0,1
A_vanilla,9,4,1,3,3,8,1786331489.411145116,1786331502.926998484,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
A_vanilla,9,4,1,3,3,9,1786331502.951924698,1786331516.445679726,W1,1,1,3,0,2,1,1,3,0,2,7,0,4,0,1
A_vanilla,9,4,1,3,3,10,1786331516.450812807,1786331529.976254688,W1,1,1,3,0,2,1,1,3,0,2,4,0,8,0,1
B_oracle,9,4,1,3,3,1,1786331537.164297492,1786331550.702229720,W1,1,1,3,0,2,1,1,3,0,2,8,0,6,0,1
B_oracle,9,4,1,3,3,2,1786331550.724382526,1786331564.202787023,W1,1,1,3,0,2,1,1,3,0,2,6,0,0,0,0
B_oracle,9,4,1,3,3,3,1786331564.209090801,1786331577.718252706,W1,1,1,3,0,2,1,1,3,0,2,8,0,9,0,1
B_oracle,9,4,1,3,3,4,1786331577.727826523,1786331591.247907215,W1,1,1,3,0,2,1,1,3,0,2,9,0,6,0,1
B_oracle,9,4,1,3,3,5,1786331591.252137647,1786331604.725188713,W1,1,1,3,0,2,1,1,3,0,2,6,0,1,0,1
B_oracle,9,4,1,3,3,6,1786331604.740388055,1786331618.271374676,W1,1,1,3,0,2,1,1,3,0,2,1,0,9,0,1
B_oracle,9,4,1,3,3,7,1786331618.286871102,1786331631.789864552,W1,1,1,3,0,2,1,1,3,0,2,9,0,5,0,1
B_oracle,9,4,1,3,3,8,1786331631.800361119,1786331645.301887759,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
B_oracle,9,4,1,3,3,9,1786331645.317400066,1786331658.855513694,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
B_oracle,9,4,1,3,3,10,1786331658.869915208,1786331672.371398310,W1,1,1,3,0,2,1,1,3,0,2,7,0,2,0,1
C_predictor,9,4,1,3,3,1,1786331679.206579704,1786331692.764227484,W1,1,1,3,0,2,1,1,3,0,2,2,0,9,0,1
C_predictor,9,4,1,3,3,2,1786331692.772610503,1786331706.332035481,W1,1,1,3,0,2,1,1,3,0,2,9,0,5,0,1
C_predictor,9,4,1,3,3,3,1786331706.355237644,1786331719.930461858,W1,1,1,3,0,2,1,1,3,0,2,5,0,4,0,1
C_predictor,9,4,1,3,3,4,1786331719.939288252,1786331733.503490733,W1,1,1,3,0,2,1,1,3,0,2,4,0,5,0,1
C_predictor,9,4,1,3,3,5,1786331733.512260803,1786331747.070209419,W1,1,1,3,0,2,1,1,3,0,2,5,0,1,0,1
C_predictor,9,4,1,3,3,6,1786331747.075565608,1786331760.583671685,W1,1,1,3,0,2,1,1,3,0,2,1,0,9,0,1
C_predictor,9,4,1,3,3,7,1786331760.588075818,1786331774.145169762,W1,1,1,3,0,2,1,1,3,0,2,9,0,1,0,1
