# start rate=20 seed=5 dur=420 n=7 target=3 events=74
51.8 fp=[1] true=[3] merged=[1, 3]
52.1 fp=[1] true=[3] merged=[1, 3]
52.4 fp=[1] true=[3] merged=[1, 3]
52.7 fp=[1] true=[3] merged=[1, 3]
53.0 fp=[1] true=[3] merged=[1, 3]
53.3 fp=[1] true=[3] merged=[1, 3]
53.6 fp=[1] true=[3] merged=[1, 3]
53.9 fp=[1] true=[3] merged=[1, 3]
54.3 fp=[1] true=[3] merged=[1, 3]
54.6 fp=[1] true=[3] merged=[1, 3]
54.9 fp=[1] true=[3] merged=[1, 3]
55.2 fp=[1] true=[3] merged=[1, 3]
55.5 fp=[1] true=[3] merged=[1, 3]
55.8 fp=[1] true=[3] merged=[1, 3]
56.1 fp=[1] true=[3] merged=[1, 3]
56.4 fp=[1] true=[3] merged=[1, 3]
56.7 fp=[1] true=[3] merged=[1, 3]
57.1 fp=[1] true=[3] merged=[1, 3]
57.4 fp=[1] true=[3] merged=[1, 3]
57.7 fp=[1] true=[3] merged=[1, 3]
58.0 fp=[1] true=[3] merged=[1, 3]
58.3 fp=[1] true=[3] merged=[1, 3]
58.6 fp=[1] true=[3] merged=[1, 3]
58.9 fp=[1] true=[3] merged=[1, 3]
59.3 fp=[1] true=[3] merged=[1, 3]
59.6 fp=[1] true=[3] merged=[1, 3]
59.9 fp=[1] true=[3] merged=[1, 3]
60.2 fp=[1] true=[3] merged=[1, 3]
60.5 fp=[1] true=[3] merged=[1, 3]
60.8 fp=[1] true=[3] merged=[1, 3]
61.1 fp=[1] true=[3] merged=[1, 3]
61.4 fp=[1] true=[3] merged=[1, 3]
61.7 fp=[1] true=[3] merged=[1, 3]
62.0 fp=[1] true=[3] merged=[1, 3]
62.3 fp=[1] true=[3] merged=[1, 3]
62.7 fp=[1] true=[3] merged=[1, 3]
63.0 fp=[1] true=[3] merged=[1, 3]
63.3 fp=[1] true=[3] merged=[1, 3]
63.6 fp=[1] true=[3] merged=[1, 3]
63.9 fp=[1] true=[3] merged=[1, 3]
64.2 fp=[2] true=[3] merged=[2, 3]
64.6 fp=[2] true=[3] merged=[2, 3]
64.9 fp=[2] true=[3] merged=[2, 3]
65.2 fp=[2] true=[3] merged=[2, 3]
65.5 fp=[2] true=[3] merged=[2, 3]
65.8 fp=[2] true=[3] merged=[2, 3]
66.1 fp=[2] true=[3] merged=[2, 3]
66.4 fp=[2] true=[3] merged=[2, 3]
66.7 fp=[2] true=[3] merged=[2, 3]
67.0 fp=[2] true=[3] merged=[2, 3]
67.4 fp=[2] true=[3] merged=[2, 3]
67.7 fp=[2] true=[3] merged=[2, 3]
68.0 fp=[1] true=[3] merged=[1, 3]
68.3 fp=[1] true=[3] merged=[1, 3]
68.6 fp=[1] true=[3] merged=[1, 3]
68.9 fp=[1] true=[3] merged=[1, 3]
69.2 fp=[1] true=[3] merged=[1, 3]
69.6 fp=[1] true=[3] merged=[1, 3]
69.9 fp=[1] true=[3] merged=[1, 3]
70.2 fp=[1] true=[3] merged=[1, 3]
70.5 fp=[1] true=[3] merged=[1, 3]
70.8 fp=[1] true=[3] merged=[1, 3]
71.1 fp=[1] true=[3] merged=[1, 3]
71.4 fp=[1] true=[3] merged=[1, 3]
71.7 fp=[1] true=[3] merged=[1, 3]
72.0 fp=[1] true=[3] merged=[1, 3]
72.4 fp=[1] true=[3] merged=[1, 3]
72.7 fp=[1] true=[3] merged=[1, 3]
73.0 fp=[1] true=[3] merged=[1, 3]
73.3 fp=[1] true=[3] merged=[1, 3]
73.6 fp=[1] true=[3] merged=[1, 3]
73.9 fp=[1] true=[3] merged=[1, 3]
74.3 fp=[1] true=[3] merged=[1, 3]
74.6 fp=[1] true=[3] merged=[1, 3]
74.9 fp=[1] true=[3] merged=[1, 3]
75.2 fp=[1] true=[3] merged=[1, 3]
75.5 fp=[1] true=[3] merged=[1, 3]
75.8 fp=[1] true=[3] merged=[1, 3]
76.1 fp=[1] true=[3] merged=[1, 3]
76.5 fp=[1] true=[3] merged=[1, 3]
76.8 fp=[1] true=[3] merged=[1, 3]
77.1 fp=[1] true=[3] merged=[1, 3]
77.4 fp=[1] true=[3] merged=[1, 3]
77.7 fp=[1] true=[3] merged=[1, 3]
78.1 fp=[1] true=[3] merged=[1, 3]
78.4 fp=[1] true=[3] merged=[1, 3]
78.7 fp=[1] true=[3] merged=[1, 3]
79.0 fp=[1] true=[3] merged=[1, 3]
79.3 fp=[1] true=[3] merged=[1, 3]
79.6 fp=[1] true=[3] merged=[1, 3]
79.9 fp=[1] true=[3] merged=[1, 3]
80.2 fp=[1] true=[3] merged=[1, 3]
80.5 fp=[1] true=[3] merged=[1, 3]
80.9 fp=[1] true=[3] merged=[1, 3]
81.2 fp=[1] true=[3] merged=[1, 3]
81.5 fp=[1] true=[3] merged=[1, 3]
81.8 fp=[1] true=[3] merged=[1, 3]
82.1 fp=[1] true=[3] merged=[1, 3]
82.4 fp=[1] true=[3] merged=[1, 3]
82.7 fp=[1] true=[3] merged=[1, 3]
83.1 fp=[1] true=[3] merged=[1, 3]
83.4 fp=[1] true=[3] merged=[1, 3]
83.7 fp=[1] true=[3] merged=[1, 3]
84.0 fp=[1] true=[3] merged=[1, 3]
84.3 fp=[1] true=[3] merged=[1, 3]
84.6 fp=[1] true=[3] merged=[1, 3]
84.9 fp=[1] true=[3] merged=[1, 3]
85.2 fp=[1] true=[3] merged=[1, 3]
85.5 fp=[1] true=[3] merged=[1, 3]
85.8 fp=[1] true=[3] merged=[1, 3]
86.2 fp=[1] true=[3] merged=[1, 3]
86.5 fp=[1] true=[3] merged=[1, 3]
86.8 fp=[1] true=[3] merged=[1, 3]
87.1 fp=[1] true=[3] merged=[1, 3]
87.4 fp=[1] true=[3] merged=[1, 3]
87.7 fp=[1] true=[3] merged=[1, 3]
88.0 fp=[2] true=[3] merged=[2, 3]
88.4 fp=[2] true=[3] merged=[2, 3]
88.7 fp=[2] true=[3] merged=[2, 3]
89.0 fp=[2] true=[3] merged=[2, 3]
89.3 fp=[2] true=[3] merged=[2, 3]
89.6 fp=[2] true=[3] merged=[2, 3]
89.9 fp=[2] true=[3] merged=[2, 3]
90.2 fp=[2] true=[3] merged=[2, 3]
90.6 fp=[2] true=[3] merged=[2, 3]
90.9 fp=[2] true=[3] merged=[2, 3]
91.2 fp=[2] true=[3] merged=[2, 3]
91.5 fp=[2] true=[3] merged=[2, 3]
91.8 fp=[2] true=[3] merged=[2, 3]
92.1 fp=[2] true=[3] merged=[2, 3]
92.4 fp=[2] true=[3] merged=[2, 3]
92.8 fp=[2] true=[3] merged=[2, 3]
93.1 fp=[2] true=[3] merged=[2, 3]
93.4 fp=[2] true=[3] merged=[2, 3]
93.7 fp=[2] true=[3] merged=[2, 3]
94.0 fp=[2] true=[3] merged=[2, 3]
94.3 fp=[2] true=[3] merged=[2, 3]
94.6 fp=[2] true=[3] merged=[2, 3]
94.9 fp=[2] true=[3] merged=[2, 3]
95.2 fp=[2] true=[3] merged=[2, 3]
95.6 fp=[2] true=[3] merged=[2, 3]
95.9 fp=[2] true=[3] merged=[2, 3]
96.2 fp=[2] true=[3] merged=[2, 3]
96.5 fp=[2] true=[3] merged=[2, 3]
96.8 fp=[2] true=[3] merged=[2, 3]
97.1 fp=[2] true=[3] merged=[2, 3]
97.4 fp=[2] true=[3] merged=[2, 3]
97.7 fp=[2] true=[3] merged=[2, 3]
98.0 fp=[2] true=[3] merged=[2, 3]
98.4 fp=[2] true=[3] merged=[2, 3]
98.7 fp=[2] true=[3] merged=[2, 3]
99.0 fp=[2] true=[3] merged=[2, 3]
99.3 fp=[2] true=[3] merged=[2, 3]
99.6 fp=[2] true=[3] merged=[2, 3]
99.9 fp=[2] true=[3] merged=[2, 3]
100.2 fp=[2] true=[3] merged=[2, 3]
100.5 fp=[2] true=[3] merged=[2, 3]
100.8 fp=[2] true=[3] merged=[2, 3]
101.2 fp=[2] true=[3] merged=[2, 3]
101.5 fp=[2] true=[3] merged=[2, 3]
101.8 fp=[2] true=[3] merged=[2, 3]
102.1 fp=[2] true=[3] merged=[2, 3]
102.4 fp=[2] true=[3] merged=[2, 3]
102.7 fp=[2] true=[3] merged=[2, 3]
103.0 fp=[2] true=[3] merged=[2, 3]
103.3 fp=[2] true=[3] merged=[2, 3]
103.6 fp=[2] true=[3] merged=[2, 3]
103.9 fp=[2] true=[3] merged=[2, 3]
104.3 fp=[2] true=[3] merged=[2, 3]
104.6 fp=[2] true=[3] merged=[2, 3]
104.9 fp=[2] true=[3] merged=[2, 3]
105.2 fp=[2] true=[3] merged=[2, 3]
105.5 fp=[2] true=[3] merged=[2, 3]
105.8 fp=[2] true=[3] merged=[2, 3]
112.0 fp=[6] true=[3] merged=[3, 6]
112.3 fp=[6] true=[3] merged=[3, 6]
112.7 fp=[6] true=[3] merged=[3, 6]
113.0 fp=[6] true=[3] merged=[3, 6]
113.3 fp=[6] true=[3] merged=[3, 6]
113.6 fp=[6] true=[3] merged=[3, 6]
113.9 fp=[6] true=[3] merged=[3, 6]
114.2 fp=[6] true=[3] merged=[3, 6]
114.5 fp=[6] true=[3] merged=[3, 6]
114.9 fp=[6] true=[3] merged=[3, 6]
115.2 fp=[6] true=[3] merged=[3, 6]
115.5 fp=[6] true=[3] merged=[3, 6]
115.8 fp=[6] true=[3] merged=[3, 6]
116.1 fp=[6] true=[3] merged=[3, 6]
116.4 fp=[6] true=[3] merged=[3, 6]
116.7 fp=[6] true=[3] merged=[3, 6]
117.1 fp=[6] true=[3] merged=[3, 6]
117.4 fp=[6] true=[3] merged=[3, 6]
117.7 fp=[6] true=[3] merged=[3, 6]
118.0 fp=[6] true=[3] merged=[3, 6]
118.3 fp=[6] true=[3] merged=[3, 6]
118.6 fp=[6] true=[3] merged=[3, 6]
118.9 fp=[6] true=[3] merged=[3, 6]
119.2 fp=[6] true=[3] merged=[3, 6]
119.5 fp=[6] true=[3] merged=[3, 6]
119.8 fp=[6] true=[3] merged=[3, 6]
120.2 fp=[6] true=[3] merged=[3, 6]
120.5 fp=[6] true=[3] merged=[3, 6]
120.8 fp=[6] true=[3] merged=[3, 6]
121.1 fp=[6] true=[3] merged=[3, 6]
121.4 fp=[6] true=[3] merged=[3, 6]
121.7 fp=[6] true=[3] merged=[3, 6]
122.0 fp=[6] true=[3] merged=[3, 6]
122.3 fp=[6] true=[3] merged=[3, 6]
122.6 fp=[6] true=[3] merged=[3, 6]
122.9 fp=[6] true=[3] merged=[3, 6]
123.3 fp=[6] true=[3] merged=[3, 6]
123.6 fp=[6] true=[3] merged=[3, 6]
123.9 fp=[6] true=[3] merged=[3, 6]
124.2 fp=[6] true=[3] merged=[3, 6]
124.5 fp=[6] true=[3] merged=[3, 6]
124.8 fp=[6] true=[3] merged=[3, 6]
125.1 fp=[6] true=[3] merged=[3, 6]
125.4 fp=[6] true=[3] merged=[3, 6]
125.7 fp=[6] true=[3] merged=[3, 6]
126.1 fp=[6] true=[3] merged=[3, 6]
126.4 fp=[6] true=[3] merged=[3, 6]
126.7 fp=[6] true=[3] merged=[3, 6]
127.0 fp=[6] true=[3] merged=[3, 6]
127.3 fp=[6] true=[3] merged=[3, 6]
127.6 fp=[6] true=[3] merged=[3, 6]
127.9 fp=[6] true=[3] merged=[3, 6]
128.2 fp=[6] true=[3] merged=[3, 6]
128.6 fp=[6] true=[3] merged=[3, 6]
128.9 fp=[6] true=[3] merged=[3, 6]
129.2 fp=[2] true=[3] merged=[2, 3]
129.5 fp=[2] true=[3] merged=[2, 3]
129.8 fp=[2] true=[3] merged=[2, 3]
130.1 fp=[2] true=[3] merged=[2, 3]
130.4 fp=[2] true=[3] merged=[2, 3]
130.7 fp=[2] true=[3] merged=[2, 3]
131.1 fp=[2] true=[3] merged=[2, 3]
131.4 fp=[2] true=[3] merged=[2, 3]
131.7 fp=[2] true=[3] merged=[2, 3]
132.0 fp=[2] true=[3] merged=[2, 3]
132.3 fp=[2] true=[3] merged=[2, 3]
132.6 fp=[2] true=[3] merged=[2, 3]
132.9 fp=[2] true=[3] merged=[2, 3]
133.2 fp=[2] true=[3] merged=[2, 3]
133.5 fp=[2] true=[3] merged=[2, 3]
133.8 fp=[2] true=[3] merged=[2, 3]
134.2 fp=[2] true=[3] merged=[2, 3]
134.5 fp=[2] true=[3] merged=[2, 3]
134.8 fp=[2] true=[3] merged=[2, 3]
135.1 fp=[2] true=[3] merged=[2, 3]
135.4 fp=[2] true=[3] merged=[2, 3]
135.7 fp=[2] true=[3] merged=[2, 3]
136.0 fp=[2] true=[3] merged=[2, 3]
136.3 fp=[2] true=[3] merged=[2, 3]
136.6 fp=[2] true=[3] merged=[2, 3]
137.0 fp=[2] true=[3] merged=[2, 3]
137.3 fp=[2] true=[3] merged=[2, 3]
137.6 fp=[2] true=[3] merged=[2, 3]
137.9 fp=[2] true=[3] merged=[2, 3]
138.2 fp=[2] true=[3] merged=[2, 3]
138.5 fp=[2] true=[3] merged=[2, 3]
138.8 fp=[2] true=[3] merged=[2, 3]
139.2 fp=[2] true=[3] merged=[2, 3]
139.5 fp=[2] true=[3] merged=[2, 3]
139.8 fp=[2] true=[3] merged=[2, 3]
140.1 fp=[2] true=[3] merged=[2, 3]
140.4 fp=[2] true=[3] merged=[2, 3]
140.7 fp=[2] true=[3] merged=[2, 3]
141.0 fp=[2] true=[3] merged=[2, 3]
141.3 fp=[2] true=[3] merged=[2, 3]
141.7 fp=[2] true=[3] merged=[2, 3]
142.0 fp=[2] true=[3] merged=[2, 3]
142.3 fp=[2] true=[3] merged=[2, 3]
142.6 fp=[2] true=[3] merged=[2, 3]
142.9 fp=[2] true=[3] merged=[2, 3]
143.2 fp=[2] true=[3] merged=[2, 3]
143.5 fp=[2] true=[3] merged=[2, 3]
143.8 fp=[2] true=[3] merged=[2, 3]
144.2 fp=[2] true=[3] merged=[2, 3]
144.5 fp=[2] true=[3] merged=[2, 3]
144.8 fp=[2] true=[3] merged=[2, 3]
145.1 fp=[2] true=[3] merged=[2, 3]
145.4 fp=[2] true=[3] merged=[2, 3]
145.7 fp=[2] true=[3] merged=[2, 3]
146.0 fp=[2] true=[3] merged=[2, 3]
146.3 fp=[2] true=[3] merged=[2, 3]
146.6 fp=[2] true=[3] merged=[2, 3]
147.0 fp=[2] true=[3] merged=[2, 3]
147.3 fp=[1] true=[3] merged=[1, 3]
147.6 fp=[1] true=[3] merged=[1, 3]
147.9 fp=[1] true=[3] merged=[1, 3]
148.2 fp=[1] true=[3] merged=[1, 3]
148.5 fp=[1] true=[3] merged=[1, 3]
148.8 fp=[1] true=[3] merged=[1, 3]
149.1 fp=[1] true=[3] merged=[1, 3]
149.5 fp=[1] true=[3] merged=[1, 3]
149.8 fp=[1] true=[3] merged=[1, 3]
150.1 fp=[1] true=[3] merged=[1, 3]
150.4 fp=[1] true=[3] merged=[1, 3]
150.7 fp=[1] true=[3] merged=[1, 3]
151.0 fp=[1] true=[3] merged=[1, 3]
151.3 fp=[1] true=[3] merged=[1, 3]
151.6 fp=[1] true=[3] merged=[1, 3]
152.0 fp=[1] true=[3] merged=[1, 3]
152.3 fp=[1] true=[3] merged=[1, 3]
152.6 fp=[1] true=[3] merged=[1, 3]
152.9 fp=[1] true=[3] merged=[1, 3]
153.2 fp=[1] true=[3] merged=[1, 3]
153.5 fp=[1] true=[3] merged=[1, 3]
153.8 fp=[1] true=[3] merged=[1, 3]
154.2 fp=[1] true=[3] merged=[1, 3]
154.5 fp=[1] true=[3] merged=[1, 3]
154.8 fp=[1] true=[3] merged=[1, 3]
155.1 fp=[1] true=[3] merged=[1, 3]
155.4 fp=[1] true=[3] merged=[1, 3]
155.7 fp=[1] true=[3] merged=[1, 3]
156.0 fp=[1] true=[3] merged=[1, 3]
156.4 fp=[1] true=[3] merged=[1, 3]
156.7 fp=[1] true=[3] merged=[1, 3]
157.0 fp=[1] true=[3] merged=[1, 3]
157.3 fp=[1] true=[3] merged=[1, 3]
157.6 fp=[1] true=[3] merged=[1, 3]
158.0 fp=[1] true=[3] merged=[1, 3]
158.3 fp=[1] true=[3] merged=[1, 3]
158.6 fp=[1] true=[3] merged=[1, 3]
158.9 fp=[1] true=[3] merged=[1, 3]
159.2 fp=[1] true=[3] merged=[1, 3]
159.5 fp=[1] true=[3] merged=[1, 3]
159.9 fp=[1] true=[3] merged=[1, 3]
160.2 fp=[1] true=[3] merged=[1, 3]
160.5 fp=[1] true=[3] merged=[1, 3]
160.8 fp=[1] true=[3] merged=[1, 3]
161.1 fp=[1] true=[3] merged=[1, 3]
161.4 fp=[1] true=[3] merged=[1, 3]
161.7 fp=[1] true=[3] merged=[1, 3]
162.1 fp=[1] true=[3] merged=[1, 3]
162.4 fp=[1] true=[3] merged=[1, 3]
162.7 fp=[1] true=[3] merged=[1, 3]
163.0 fp=[1] true=[3] merged=[1, 3]
163.3 fp=[1] true=[3] merged=[1, 3]
163.6 fp=[1] true=[3] merged=[1, 3]
163.9 fp=[1] true=[3] merged=[1, 3]
164.2 fp=[1] true=[3] merged=[1, 3]
164.6 fp=[1] true=[3] merged=[1, 3]
164.9 fp=[1] true=[3] merged=[1, 3]
165.2 fp=[1] true=[3] merged=[1, 3]
165.5 fp=[1] true=[3] merged=[1, 3]
165.8 fp=[1] true=[3] merged=[1, 3]
166.1 fp=[1] true=[3] merged=[1, 3]
166.4 fp=[1] true=[3] merged=[1, 3]
166.7 fp=[1] true=[3] merged=[1, 3]
167.0 fp=[2] true=[3] merged=[2, 3]
167.4 fp=[2] true=[3] merged=[2, 3]
167.7 fp=[2] true=[3] merged=[2, 3]
168.0 fp=[2] true=[3] merged=[2, 3]
180.2 fp=[6] true=[3] merged=[3, 6]
180.5 fp=[6] true=[3] merged=[3, 6]
180.8 fp=[6] true=[3] merged=[3, 6]
181.1 fp=[5] true=[3] merged=[3, 5]
181.4 fp=[5] true=[3] merged=[3, 5]
181.8 fp=[5] true=[3] merged=[3, 5]
182.1 fp=[5] true=[3] merged=[3, 5]
182.4 fp=[5] true=[3] merged=[3, 5]
182.7 fp=[5] true=[3] merged=[3, 5]
183.0 fp=[5] true=[3] merged=[3, 5]
183.3 fp=[5] true=[3] merged=[3, 5]
183.6 fp=[5] true=[3] merged=[3, 5]
183.9 fp=[5] true=[3] merged=[3, 5]
184.3 fp=[5] true=[3] merged=[3, 5]
184.6 fp=[5] true=[3] merged=[3, 5]
184.9 fp=[5] true=[3] merged=[3, 5]
185.2 fp=[5] true=[3] merged=[3, 5]
185.5 fp=[5] true=[3] merged=[3, 5]
185.8 fp=[5] true=[3] merged=[3, 5]
186.1 fp=[5] true=[3] merged=[3, 5]
186.4 fp=[5] true=[3] merged=[3, 5]
186.7 fp=[5] true=[3] merged=[3, 5]
187.1 fp=[5] true=[3] merged=[3, 5]
187.4 fp=[5] true=[3] merged=[3, 5]
