tps,seed,p50_raft,p95_raft,p99_raft,p50_ai,p95_ai,p99_ai,p50_bft,p95_bft,p99_bft
100,26,515.5639067484612,519.4271228637149,522.0308920316289,514.822108807289,518.9615991191002,522.031204607031,530.8867036846345,536.461454410932,542.9872186868911
100,27,515.4349920513184,519.591530125461,521.9909299625118,514.9429354718072,518.9953978798922,521.1855981277401,530.9383280531742,535.6852909379822,538.3222077515981
100,28,515.5710759221017,519.6680965019809,521.0552842234105,514.9237254930622,518.6314444239181,521.5310647377826,530.8507932698197,535.4269243897847,538.0465385482416
100,29,515.3213784952559,518.8202473386475,521.8535346006572,514.9365460874119,518.7151739121833,520.9931625181977,531.055649799335,535.843917749233,538.0686497194121
250,0,215.37163887342612,219.43224841066774,223.10017858502246,214.91909186907168,218.8265611837145,220.77142264760857,230.95671015709016,236.33577163573287,239.34172537653134
250,1,215.5041636297379,219.40587037759371,221.10141883600085,214.86016595903152,218.0731056235359,220.58563449809446,231.06996480360706,235.5726827449356,238.6125374553475
250,2,215.456817258583,218.72420503312193,221.15070996202965,214.99448945847197,218.53403069345526,221.73664859078707,231.08206063734946,235.9482592759724,238.9587216110817
250,3,215.543974109687,219.28004548177523,222.0889349464853,214.8275881530804,218.78700441706718,221.28417314237578,230.91819085323152,235.20712624606904,237.57233953113192
250,4,215.36072272066974,219.09797971253235,221.95635171805804,214.89596373517657,218.858294398343,221.77859777121887,230.9255601860826,235.67460060913257,238.18554379510357
250,5,215.30978542734607,219.34872560460497,221.52455220830745,214.84185775233482,218.86140845348115,221.28448891886208,230.69716059437877,235.28489734953595,238.633477618192
250,6,215.4016445445833,219.0422386224207,222.35601998103658,214.882471990135,218.1490238110802,220.18687538349275,230.7506736253813,235.0099199876142,239.19650236489719
250,7,215.39297675534146,219.2314969379027,221.5190843360804,214.82100870211326,219.14820890020147,221.1547700223686,230.74939465331136,236.25052711733176,238.38927861825107
250,8,215.2259905523355,219.30100002559377,221.5697496833535,215.0047636631641,218.62173095808137,221.02737124767967,231.0324596918719,236.5041804769243,238.7180972051026
250,9,215.39739376678673,219.34175127530722,221.27650307671783,214.9732837473043,218.7895424543858,220.80742577036222,230.97214551537664,236.46034362554246,238.77282781788253
250,10,215.50954315317549,219.21205832627518,221.41225146649717,214.99918423206873,218.70808048938514,220.1417802374824,230.99079982771033,235.3664578456088,237.86185947994562
250,11,215.3273084958555,219.13638635947166,221.6170618193964,214.89021927298262,218.75191564791422,221.09421002150805,231.11775317402612,235.6890187634071,237.40608385949122
250,12,215.46574609543092,219.69416153087724,222.10938793868493,214.9078984403129,219.09511069302624,221.25926526059442,231.01920335489626,236.27867177866494,238.7287797585602
250,13,215.42599021019691,219.79731918426123,223.2105738822232,214.8753681248806,218.82567250273448,221.3135462499041,230.91106230488117,235.20500748477684,237.78813273349658
250,14,215.53873241718202,219.7190400134016,221.29772125564,214.7894288533694,218.8770256629614,220.61304155466672,231.04092620451829,235.78916077423997,238.0742315227976
250,15,215.5323991039491,219.1178946315743,220.98159619440867,215.02125865451214,218.98299475024794,220.69928762477596,231.0082951864223,235.23841843072805,237.84423672723898
250,16,215.42956764259023,219.6909823101313,222.52246000073617,214.97340762070777,218.73371022565416,220.7560456818958,231.02218779313745,235.959069321528,239.05625964442916
250,17,215.30013955808826,218.81967944722044,220.8372497826293,214.82009495115318,218.3312643193204,220.5643041424325,231.01514344016493,235.29506141533764,238.62661091713974
250,18,215.38855960731775,219.43352143160502,221.50878249761678,215.11853632280187,219.16396732712312,221.9376220259492,231.16931208845853,235.52369710982668,238.42919264967765
250,19,215.41843651514284,219.23310064585485,221.61542029129453,214.80580748268738,218.81332851576337,222.25942726773906,230.9581477849805,235.51513988803268,239.18697623701925
250,20,215.35220284095828,219.4276757856034,221.73584795720168,214.90781006236017,218.9193794709267,222.6259931806813,231.01186911418498,236.00929088112773,240.0191921737813
250,21,215.54341488659355,219.21090463564994,221.12195543478748,215.15408244817002,219.24433491923713,221.85154810404052,230.88891861185664,236.1425950475725,239.8040772396391
250,22,215.31809262889158,219.46291213430393,223.0210310287284,214.77342776829047,218.90538651718177,221.03120500629691,230.93738722200416,235.91414213262397,239.1521009780523
250,23,215.43002557728062,220.04002185320522,221.91969796466853,214.92514768017642,218.86632354982547,222.3691504719352,230.7945478248649,235.3007616022936,237.8886404525102
250,24,215.54023471011135,218.62835029458748,220.75896032329567,215.12922187105931,219.0209568851393,221.0634759865867,230.98630047117618,235.94776312722593,238.696634399661
250,25,215.50191139089145,219.56834044182156,222.831486351048,214.9311719486671,218.6290724440946,221.41219971643602,231.0045533751987,235.67278305592075,239.650417484371
250,26,215.56390674846133,219.4271228637149,222.03089203162884,214.82210880728906,218.96159911910016,222.03120460703096,230.88670368463445,236.46145441093205,242.98721868689105
250,27,215.43499205131843,219.59153012546088,221.99092996251184,214.9429354718073,218.9953978798922,221.18559812774018,230.93832805317413,235.68529093798224,238.322207751598
250,28,215.57107592210178,219.66809650198104,221.0552842234105,214.9237254930622,218.63144442391814,221.53106473778266,230.85079326981972,235.4269243897847,238.0465385482416
250,29,215.3213784952558,218.82024733864748,221.85353460065716,214.93654608741184,218.7151739121833,220.99316251819755,231.05564979933507,235.84391774923313,238.06864971941212
500,0,115.37163887342612,119.43224841066774,123.10017858502242,114.91909186907165,118.82656118371447,120.77142264760857,130.95671015709016,136.33577163573287,139.34172537653134
500,1,115.50416362973789,119.40587037759371,121.10141883600085,114.86016595903153,118.07310562353587,120.58563449809449,131.06996480360706,135.5726827449356,138.6125374553475
500,2,115.45681725858299,118.72420503312193,121.15070996202965,114.99448945847197,118.53403069345526,121.73664859078704,131.08206063734946,135.9482592759724,138.9587216110817
500,3,115.54397410968701,119.2800454817752,122.08893494648528,114.82758815308037,118.78700441706722,121.28417314237578,130.91819085323152,135.20712624606904,137.57233953113192
