1789635052,{"blacklist":[];"seq":1;"fail_open":false}
1789635284,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635285,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635286,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635287,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635288,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635289,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635290,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635291,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635292,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635293,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635294,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635295,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635297,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635298,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789635299,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635300,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635301,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635302,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635303,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635304,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635305,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635306,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635307,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635308,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635309,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635310,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635312,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635313,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635314,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635315,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635316,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635317,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635318,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635319,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635320,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635321,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635322,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635323,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635324,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635325,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635327,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635328,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635329,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635330,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635331,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635332,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635333,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635334,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635335,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635336,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635337,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635338,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635339,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635340,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635342,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635343,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635344,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635345,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789635346,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635347,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635348,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635349,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635350,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635351,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789635352,{"blacklist":[1;3];"seq":1;"fail_open":false}
