1789309350.021,0.275,0.387,0.378,0.302,0.282
1789309350.323,0.255,0.326,0.364,0.315,0.281
1789309350.625,0.249,0.340,0.337,0.302,0.256
1789309350.927,0.254,0.395,0.404,0.239,0.285
1789309351.229,0.239,0.325,0.305,0.324,0.246
1789309351.531,0.248,0.343,0.377,0.271,0.358
1789309351.833,0.261,0.414,0.317,0.274,0.254
1789309352.135,0.247,0.322,0.391,0.301,0.307
1789309352.437,0.254,0.407,0.281,0.245,0.219
1789309352.739,0.220,0.422,0.330,0.237,0.228
1789309353.041,0.222,0.327,0.329,0.256,0.305
1789309353.343,0.242,0.428,0.496,0.337,0.355
1789309353.645,0.246,0.357,0.315,0.323,0.271
1789309353.947,0.216,0.403,0.350,0.304,0.324
1789309354.249,0.245,0.429,0.356,0.314,0.290
1789309354.551,0.247,0.348,0.314,0.268,0.351
1789309354.853,0.254,0.454,0.265,0.193,0.217
1789309355.155,0.217,0.371,0.311,0.216,0.223
1789309355.457,0.230,0.406,0.431,0.250,0.286
1789309355.759,0.213,0.372,0.331,0.247,0.312
1789309356.061,0.216,0.402,0.446,0.229,0.248
1789309356.363,0.226,0.476,0.281,0.335,0.249
1789309356.665,0.220,0.335,0.370,0.258,0.303
1789309356.967,0.225,0.376,0.295,1.393,0.576
1789309357.270,0.329,0.350,0.315,0.262,0.284
1789309357.572,0.222,0.385,0.296,0.253,0.268
1789309357.874,0.217,0.377,0.379,0.253,0.258
1789309358.176,0.239,0.337,0.323,0.286,0.296
1789309358.478,0.238,0.368,0.336,0.247,0.278
1789309358.780,0.228,0.389,0.311,0.254,0.224
1789309359.082,0.212,0.365,0.333,0.238,0.263
1789309359.384,0.224,0.467,0.396,0.279,0.242
1789309359.686,0.227,0.436,0.339,0.265,0.238
1789309359.988,0.216,0.415,0.294,0.362,0.308
1789309360.290,0.221,0.339,0.314,0.298,0.303
1789309360.592,0.224,0.492,0.378,0.333,0.262
1789309360.894,0.218,0.357,0.357,0.296,0.259
1789309361.196,0.223,0.425,0.358,0.296,0.301
1789309361.498,0.216,0.334,0.371,0.308,0.293
1789309361.800,0.224,0.395,29.211,0.364,0.357
1789309362.131,0.220,0.359,51.180,0.306,0.273
1789309362.483,0.195,0.494,15.486,0.307,0.282
1789309362.801,0.220,0.454,33.940,0.369,0.247
1789309363.136,0.248,0.341,40.456,0.335,0.266
1789309363.479,0.216,0.338,43.073,0.329,0.300
1789309363.823,0.267,0.415,38.314,0.404,0.317
1789309364.163,0.225,0.380,27.419,0.370,0.296
1789309364.493,0.231,0.349,62.814,0.382,0.349
1789309364.857,0.269,0.386,43.543,0.320,0.233
1789309365.202,0.234,0.365,45.876,0.308,0.304
1789309365.550,0.220,0.353,37.627,0.312,0.332
1789309365.889,0.253,0.334,20.545,0.402,0.243
1789309366.212,0.218,0.454,29.889,0.362,0.336
1789309366.543,0.252,0.339,33.654,0.357,0.320
1789309366.879,0.409,0.386,49.960,0.290,0.278
1789309367.231,0.227,0.327,50.763,0.397,0.306
1789309367.583,0.229,0.397,34.091,0.326,0.332
1789309367.919,0.233,0.345,37.462,0.414,0.337
1789309368.258,0.260,0.437,35.363,0.421,0.302
1789309368.595,0.218,0.534,34.124,0.533,0.349
1789309368.932,0.232,0.585,34.388,0.317,0.269
1789309369.268,0.333,0.338,50.399,0.348,0.251
1789309369.620,0.214,0.400,37.993,0.407,0.298
1789309369.960,0.250,0.352,32.008,0.314,0.282
1789309370.294,0.212,0.328,51.619,0.343,0.225
1789309370.647,0.233,0.361,53.035,0.369,0.337
1789309371.002,0.217,0.364,44.951,0.337,0.250
1789309371.348,0.254,0.376,45.837,0.343,0.355
1789309371.696,0.269,0.383,36.520,0.384,0.338
1789309372.034,0.258,0.415,41.546,0.331,0.321
1789309372.378,0.214,0.364,43.314,0.305,0.320
1789309372.723,0.214,0.329,24.013,0.361,0.277
1789309373.048,0.237,0.339,37.166,0.388,0.307
1789309373.387,0.251,0.383,32.492,0.468,0.319
1789309373.722,0.227,0.370,41.667,0.314,0.309
1789309374.065,0.217,0.339,37.336,0.301,0.247
1789309374.404,0.385,0.309,36.689,0.413,0.286
1789309374.742,0.210,0.334,55.034,0.410,0.277
1789309375.099,0.260,0.360,23.907,0.333,0.243
1789309375.425,0.221,0.319,54.138,0.662,0.357
1789309375.781,0.225,0.350,33.091,0.570,0.287
1789309376.116,0.214,0.371,32.660,0.303,0.252
1789309376.450,0.204,0.381,37.320,0.377,0.320
1789309376.790,0.218,0.384,27.663,0.383,0.309
1789309377.119,0.213,0.303,53.066,0.348,0.317
1789309377.474,0.230,0.480,42.308,0.327,0.307
1789309377.818,0.231,0.403,38.475,0.313,0.249
1789309378.158,0.228,0.308,36.033,0.334,0.304
1789309378.496,0.217,0.503,39.157,0.310,0.309
1789309378.837,0.213,0.371,42.979,0.376,0.284
1789309379.181,0.251,0.387,46.363,0.334,0.255
1789309379.529,0.220,0.425,50.077,0.337,0.236
1789309379.881,0.237,0.380,39.312,0.295,0.240
1789309380.222,0.222,0.492,49.608,0.346,0.249
1789309380.574,0.213,0.357,46.625,0.651,0.308
1789309380.922,0.254,0.343,35.585,0.360,0.230
1789309381.259,0.225,0.414,45.014,1.337,0.364
1789309381.607,0.248,0.377,29.866,0.942,0.990
