condition,election,prev_leader,paused,new_leader,target_won,live,advisors_alive,bt
attack_class_ar1,13,7,7,5,0,1,7,"[3,1]"
attack_class_ar1,14,5,5,6,0,1,7,"[4,2]"
attack_class_ar1,15,6,6,1,0,1,7,"[3]"
attack_class_ar1,16,1,1,5,0,1,7,"[3,2]"
attack_class_ar1,17,5,5,4,0,1,7,"[3,1]"
attack_class_ar1,18,4,4,7,0,1,7,"[3]"
attack_class_ar1,19,7,7,1,0,1,7,"[3,5]"
attack_class_ar1,20,1,1,2,0,1,7,"[2]"
attack_class_ar1,21,2,2,3,1,1,7,"[3]"
attack_class_ar1,22,3,3,5,0,1,7,"[3]"
attack_class_ar1,23,5,5,7,0,1,7,"[3,1]"
attack_class_ar1,24,7,7,5,0,1,7,"[5,3]"
attack_class_ar1,25,5,5,1,0,1,7,"[3]"
attack_class_ar1,26,1,1,4,0,1,7,"[3]"
attack_class_ar1,27,4,4,1,0,1,7,"[3]"
attack_class_ar1,28,1,1,6,0,1,7,"[]"
attack_class_ar1,29,6,6,3,1,1,7,"[3]"
attack_class_ar1,30,3,3,1,0,1,7,"[3,6]"
attack_class_ar1,31,1,1,4,0,1,7,"[3,2]"
attack_class_ar1,32,4,4,7,0,1,7,"[]"
attack_class_ar1,33,7,7,1,0,1,7,"[3]"
attack_class_ar1,34,1,1,2,0,1,7,"[3,1]"
attack_class_ar1,35,2,2,7,0,1,7,"[3,2]"
attack_class_ar1,36,7,7,1,0,1,7,"[3]"
attack_class_ar1,37,1,1,4,0,1,7,"[3]"
attack_class_ar1,38,4,4,7,0,1,7,"[3,6]"
attack_class_ar1,39,7,7,6,0,1,7,"[6,1]"
attack_class_ar1,40,6,6,5,0,1,7,"[3,5]"
