delta,seed,auc_empirical,auc_theory
0.1,19,0.534112,0.5281859888985083
0.1,20,0.5386728888888889,0.5281859888985083
0.1,21,0.539128,0.5281859888985083
0.1,22,0.5372088888888888,0.5281859888985083
0.1,23,0.5385342222222221,0.5281859888985083
0.1,24,0.5281164444444444,0.5281859888985083
0.1,25,0.5232955555555555,0.5281859888985083
0.1,26,0.5300066666666666,0.5281859888985083
0.1,27,0.5182977777777777,0.5281859888985083
0.1,28,0.5233902222222222,0.5281859888985083
0.1,29,0.526976,0.5281859888985083
0.15,0,0.5283017777777778,0.5422350133116141
0.15,1,0.565648,0.5422350133116141
0.15,2,0.5641542222222222,0.5422350133116141
0.15,3,0.5319195555555556,0.5422350133116141
0.15,4,0.5393671111111111,0.5422350133116141
0.15,5,0.5442195555555556,0.5422350133116141
0.15,6,0.5364208888888888,0.5422350133116141
0.15,7,0.5557275555555556,0.5422350133116141
0.15,8,0.5580253333333334,0.5422350133116141
0.15,9,0.5346066666666667,0.5422350133116141
0.15,10,0.5434977777777777,0.5422350133116141
0.15,11,0.5491728888888889,0.5422350133116141
0.15,12,0.5370475555555556,0.5422350133116141
0.15,13,0.5477493333333333,0.5422350133116141
0.15,14,0.5482004444444444,0.5422350133116141
0.15,15,0.5237582222222222,0.5422350133116141
0.15,16,0.5427866666666666,0.5422350133116141
0.15,17,0.5364635555555555,0.5422350133116141
0.15,18,0.5451435555555555,0.5422350133116141
0.15,19,0.548379111111111,0.5422350133116141
0.15,20,0.5527275555555556,0.5422350133116141
0.15,21,0.5533297777777777,0.5422350133116141
0.15,22,0.5513071111111112,0.5422350133116141
0.15,23,0.5525066666666667,0.5422350133116141
0.15,24,0.5421773333333333,0.5422350133116141
0.15,25,0.5370440000000001,0.5422350133116141
0.15,26,0.5440608888888889,0.5422350133116141
0.15,27,0.5325408888888888,0.5422350133116141
0.15,28,0.5374537777777777,0.5422350133116141
0.15,29,0.5410382222222222,0.5422350133116141
0.2,0,0.5422693333333333,0.5562314580091424
0.2,1,0.5797466666666666,0.5562314580091424
0.2,2,0.5779102222222222,0.5562314580091424
0.2,3,0.545844,0.5562314580091424
0.2,4,0.5534453333333333,0.5562314580091424
0.2,5,0.5581488888888889,0.5562314580091424
0.2,6,0.5503782222222222,0.5562314580091424
0.2,7,0.5697608888888889,0.5562314580091424
0.2,8,0.5717142222222222,0.5562314580091424
0.2,9,0.5483724444444444,0.5562314580091424
0.2,10,0.55772,0.5562314580091424
0.2,11,0.5632884444444444,0.5562314580091424
0.2,12,0.5510097777777778,0.5562314580091424
0.2,13,0.5618604444444444,0.5562314580091424
0.2,14,0.5620311111111111,0.5562314580091424
0.2,15,0.5379133333333332,0.5562314580091424
0.2,16,0.5564568888888889,0.5562314580091424
0.2,17,0.550424,0.5562314580091424
0.2,18,0.5590555555555555,0.5562314580091424
0.2,19,0.5627271111111112,0.5562314580091424
0.2,20,0.5670488888888889,0.5562314580091424
0.2,21,0.5675991111111112,0.5562314580091424
0.2,22,0.5654257777777778,0.5562314580091424
0.2,23,0.5666066666666667,0.5562314580091424
0.2,24,0.5561942222222223,0.5562314580091424
0.2,25,0.5507537777777778,0.5562314580091424
0.2,26,0.5580537777777778,0.5562314580091424
0.2,27,0.5467204444444445,0.5562314580091424
0.2,28,0.5515800000000001,0.5562314580091424
0.2,29,0.5549448888888888,0.5562314580091424
0.3,0,0.5702471111111111,0.5839979857136818
0.3,1,0.6073826666666667,0.5839979857136818
0.3,2,0.6053968888888889,0.5839979857136818
0.3,3,0.5736573333333334,0.5839979857136818
0.3,4,0.581608,0.5839979857136818
0.3,5,0.5859777777777777,0.5839979857136818
0.3,6,0.5781013333333334,0.5839979857136818
0.3,7,0.597455111111111,0.5839979857136818
0.3,8,0.5984857777777777,0.5839979857136818
0.3,9,0.5754191111111111,0.5839979857136818
0.3,10,0.585852,0.5839979857136818
0.3,11,0.5912964444444444,0.5839979857136818
0.3,12,0.5789533333333333,0.5839979857136818
0.3,13,0.5897168888888888,0.5839979857136818
0.3,14,0.5893444444444444,0.5839979857136818
0.3,15,0.5661995555555556,0.5839979857136818
0.3,16,0.583547111111111,0.5839979857136818
0.3,17,0.5781071111111111,0.5839979857136818
