rho,seed,empirical_gap,theoretical_gap,mse_bayes,mse_memoryless
0.5,8,0.3122884955516012,0.3333333333333333,1.0154684584303053,1.3277569539819065
0.5,9,0.3489777913170735,0.3333333333333333,1.028853243400904,1.3778310347179774
0.5,10,0.32332411611235556,0.3333333333333333,0.989622412594294,1.3129465287066495
0.5,11,0.3566106594175593,0.3333333333333333,0.9995226943700966,1.3561333537876559
0.5,12,0.33773129507447186,0.3333333333333333,0.9917774575089994,1.3295087525834712
0.5,13,0.35667066228002775,0.3333333333333333,1.01128360172646,1.3679542640064877
0.5,14,0.3260147070128234,0.3333333333333333,0.9922734181672226,1.318288125180046
0.5,15,0.34582665368776555,0.3333333333333333,0.9999486669134529,1.3457753206012184
0.5,16,0.3341631656973896,0.3333333333333333,0.9972239352726435,1.331387100970033
0.5,17,0.3453066656423909,0.3333333333333333,1.0026147088230641,1.347921374465455
0.5,18,0.3485232135289109,0.3333333333333333,1.0289653830234702,1.377488596552381
0.5,19,0.33443929785092297,0.3333333333333333,0.987121200438184,1.321560498289107
0.5,20,0.36166953350181563,0.3333333333333333,1.0032969295696255,1.364966463071441
0.5,21,0.351611376079238,0.3333333333333333,0.9739830338054617,1.3255944098846997
0.5,22,0.3188465726641241,0.3333333333333333,0.9968013178700792,1.3156478905342033
0.5,23,0.3888345022788322,0.3333333333333333,1.005130624182638,1.3939651264614703
0.5,24,0.31472645600321314,0.3333333333333333,0.9851607582909298,1.299887214294143
0.5,25,0.33474047537687435,0.3333333333333333,1.0301948574553323,1.3649353328322067
0.5,26,0.2899345789263068,0.3333333333333333,0.9991280532496956,1.2890626321760024
0.5,27,0.35019182235219104,0.3333333333333333,0.9938110815344946,1.3440029038866856
0.5,28,0.36709217691714957,0.3333333333333333,1.0009821793182854,1.368074356235435
0.5,29,0.31747071820502604,0.3333333333333333,1.0144754151621604,1.3319461333671865
0.6,0,0.5526248336697217,0.5625,0.9908340867523029,1.5434589204220246
0.6,1,0.5542145159293714,0.5625,1.001534493995344,1.5557490099247155
0.6,2,0.5179934353523961,0.5625,1.0027967024949218,1.5207901378473179
0.6,3,0.5906043330072939,0.5625,1.0102986668711997,1.6009029998784936
0.6,4,0.5506574934747723,0.5625,0.9835689372718823,1.5342264307466547
0.6,5,0.6092226499539177,0.5625,1.0146732723094685,1.6238959222633862
0.6,6,0.5743479307073369,0.5625,1.0027058219651033,1.5770537526724402
0.6,7,0.5922831632683282,0.5625,0.9881379855592608,1.580421148827589
0.6,8,0.5414930881547328,0.5625,1.0154684584303053,1.5569615465850382
0.6,9,0.5867096928007902,0.5625,1.028853243400904,1.615562936201694
0.6,10,0.5511506403174203,0.5625,0.989622412594294,1.5407730529117143
0.6,11,0.6032405370884968,0.5625,0.9995226943700966,1.6027632314585933
0.6,12,0.5671969134445763,0.5625,0.9917774575089994,1.5589743709535757
0.6,13,0.5942262147170259,0.5625,1.0112836017264597,1.6055098164434856
0.6,14,0.5585433500739716,0.5625,0.9922734181672226,1.5508167682411942
0.6,15,0.5809661935031684,0.5625,0.9999486669134531,1.5809148604166214
0.6,16,0.5590865889181942,0.5625,0.9972239352726435,1.5563105241908377
0.6,17,0.5895689613963326,0.5625,1.0026147088230641,1.5921836702193968
0.6,18,0.5877873222704983,0.5625,1.0289653830234702,1.6167527052939685
0.6,19,0.5614108011675765,0.5625,0.987121200438184,1.5485320016057604
0.6,20,0.6042920544780648,0.5625,1.0032969295696255,1.6075889840476902
0.6,21,0.5840682693354625,0.5625,0.9739830338054617,1.5580513031409242
0.6,22,0.5403568925742321,0.5625,0.9968013178700792,1.5371582104443113
0.6,23,0.6384662102358862,0.5625,1.005130624182638,1.6435968344185243
0.6,24,0.5283750985473286,0.5625,0.9851607582909299,1.5135358568382584
0.6,25,0.5729214819610815,0.5625,1.0301948574553323,1.6031163394164138
0.6,26,0.4944245263342588,0.5625,0.9991280532496956,1.4935525795839544
0.6,27,0.586269435680444,0.5625,0.9938110815344946,1.5800805172149386
0.6,28,0.622750222861369,0.5625,1.0009821793182851,1.6237324021796542
0.6,29,0.5411853002978235,0.5625,1.0144754151621604,1.555660715459984
