seed,tau,alpha
42,0.5,3.284254087639316
42,0.8,3.517511623571754
42,1.0,4.0610646945094535
43,0.0,1.8995772976632046
43,0.05,1.874476476935721
43,0.1,1.7563887014849313
43,0.2,2.092425774445391
43,0.3,2.6655208891382136
43,0.5,3.249301916536337
43,0.8,3.8300932629702205
43,1.0,4.331220867345672
44,0.0,1.9068959794106142
44,0.05,1.7907014004038495
44,0.1,1.8861596729232215
44,0.2,2.15840331955507
44,0.3,2.5478414712928847
44,0.5,3.2568259637145864
44,0.8,4.382906041540158
44,1.0,4.367268193916767
45,0.0,1.8353870267901868
45,0.05,1.86862086481907
45,0.1,1.7864719217509728
45,0.2,2.211075543749106
45,0.3,2.8364591602388782
45,0.5,2.9895825822096005
45,0.8,4.260581416345802
45,1.0,4.22509588549942
46,0.0,1.87028490295888
46,0.05,1.8983473419582582
46,0.1,1.8685161502203314
46,0.2,2.0722609868898
46,0.3,2.689826352243959
46,0.5,3.0262919863405475
46,0.8,3.871518371061123
46,1.0,4.108159322420488
47,0.0,1.8400848402938699
47,0.05,1.7263266402520818
47,0.1,1.808620366176472
47,0.2,2.1262047007879104
47,0.3,2.5752545232727195
47,0.5,3.147580704552111
47,0.8,4.005112643830358
47,1.0,4.351876848353608
48,0.0,1.9109929420934832
48,0.05,1.888123485674043
48,0.1,1.897174389737528
48,0.2,2.178627172889756
48,0.3,3.0170685908213977
48,0.5,3.2245202366119825
48,0.8,3.7959534410374944
48,1.0,4.483834099517817
49,0.0,1.8856401880414475
49,0.05,1.8841297975928337
49,0.1,1.883104002659022
49,0.2,2.2196202959828737
49,0.3,2.6304297625742254
49,0.5,3.0798528487842924
49,0.8,3.9088297253301123
49,1.0,4.187218403117404
50,0.0,1.9026100754928164
50,0.05,2.0057042234489533
50,0.1,1.8977673431044226
50,0.2,2.4304785755226996
50,0.3,2.6248947933226243
50,0.5,3.6492754415295003
50,0.8,3.942481546259049
50,1.0,4.190501923157914
51,0.0,1.9210189704241674
51,0.05,1.8773539954430332
51,0.1,1.8654207872776347
51,0.2,2.177659739466369
51,0.3,2.60294581943538
51,0.5,3.379827817480608
51,0.8,4.01191251233999
51,1.0,4.032343546899213
52,0.0,1.8287340831118342
52,0.05,1.8420783856100853
52,0.1,1.8266278889234238
52,0.2,2.080324336584585
52,0.3,2.6604972181024857
52,0.5,3.223780017747226
52,0.8,4.003878573446081
52,1.0,4.361330224099192
53,0.0,1.8900226300136314
53,0.05,1.8638245884766127
53,0.1,1.7900515883870076
53,0.2,2.0983943354793073
53,0.3,2.7155354548993054
53,0.5,3.1810157553229286
53,0.8,3.9465854939239784
53,1.0,4.2588728724724225
54,0.0,1.8759628939045168
54,0.05,1.8557911783251833
54,0.1,1.9077361721275594
54,0.2,2.0579058308802054
54,0.3,2.5181034676900502
54,0.5,3.340021203532694
54,0.8,3.969461954885779
54,1.0,4.304273502423135
55,0.0,1.8733984329304472
55,0.05,1.8330203198663848
55,0.1,1.887973371621574
55,0.2,2.1273008805098415
55,0.3,2.4505086117738424
55,0.5,3.4216203147284148
55,0.8,3.733031086039715
55,1.0,3.947335343403456
56,0.0,1.8836833813640756
56,0.05,1.7816759821915726
56,0.1,1.8589476364892756
56,0.2,2.215874216970873
56,0.3,2.608317810393848
56,0.5,3.3272842388231187
56,0.8,3.816779120060671
56,1.0,4.0311061066167975
57,0.0,1.85315743620457
57,0.05,1.759299853664972
57,0.1,1.7526785236802251
57,0.2,2.13799004950094
57,0.3,2.4379870523654925
57,0.5,3.111724398546546
57,0.8,3.657024325334915
57,1.0,3.886231814147985
58,0.0,1.7516986355427597
58,0.05,1.8529783892414144
