trial,edf_miss_rate,psr_miss_rate
599,0.185,0.005
600,0.205,0.0
601,0.085,0.0
602,0.115,0.01
603,0.14,0.0
604,0.015,0.0
605,0.265,0.0
606,0.035,0.0
607,0.18,0.0
608,0.15,0.005
609,0.06,0.005
610,0.13,0.0
611,0.08,0.0
612,0.05,0.0
613,0.045,0.0
614,0.105,0.0
615,0.07,0.0
616,0.13,0.005
617,0.06,0.0
618,0.11,0.0
619,0.235,0.01
620,0.095,0.0
621,0.16,0.0
622,0.04,0.0
623,0.065,0.0
624,0.035,0.0
625,0.03,0.0
626,0.075,0.0
627,0.36,0.0
628,0.07,0.0
629,0.18,0.005
630,0.085,0.0
631,0.075,0.005
632,0.29,0.015
633,0.085,0.0
634,0.13,0.0
635,0.07,0.0
636,0.065,0.005
637,0.09,0.0
638,0.055,0.0
639,0.03,0.0
640,0.14,0.0
641,0.09,0.01
642,0.115,0.0
643,0.035,0.0
644,0.03,0.0
645,0.035,0.0
646,0.085,0.005
647,0.02,0.0
648,0.14,0.015
649,0.195,0.0
650,0.06,0.005
651,0.025,0.0
652,0.05,0.0
653,0.025,0.005
654,0.03,0.0
655,0.03,0.0
656,0.185,0.005
657,0.14,0.0
658,0.065,0.0
659,0.02,0.0
660,0.16,0.0
661,0.095,0.0
662,0.04,0.005
663,0.285,0.0
664,0.105,0.01
665,0.095,0.005
666,0.02,0.0
667,0.18,0.0
668,0.06,0.0
669,0.03,0.0
670,0.04,0.01
671,0.035,0.0
672,0.005,0.005
673,0.035,0.0
674,0.165,0.0
675,0.02,0.005
676,0.07,0.005
677,0.05,0.0
678,0.135,0.005
679,0.05,0.005
680,0.105,0.005
681,0.18,0.01
682,0.095,0.0
683,0.22,0.0
684,0.185,0.0
685,0.02,0.0
686,0.12,0.0
687,0.105,0.005
688,0.02,0.0
689,0.21,0.0
690,0.295,0.015
691,0.135,0.0
692,0.055,0.0
693,0.1,0.0
694,0.215,0.0
695,0.09,0.005
696,0.23,0.0
697,0.065,0.005
698,0.095,0.005
699,0.06,0.0
700,0.2,0.015
701,0.055,0.0
702,0.19,0.0
703,0.08,0.005
704,0.29,0.0
705,0.08,0.005
706,0.22,0.0
707,0.165,0.0
708,0.025,0.0
709,0.055,0.005
710,0.06,0.005
711,0.14,0.0
712,0.13,0.0
713,0.07,0.005
714,0.09,0.0
715,0.15,0.005
716,0.415,0.005
717,0.005,0.005
718,0.165,0.0
719,0.095,0.0
720,0.1,0.0
721,0.105,0.005
722,0.095,0.0
723,0.11,0.0
724,0.1,0.005
725,0.145,0.005
726,0.16,0.0
727,0.05,0.0
728,0.205,0.01
729,0.24,0.0
730,0.055,0.0
731,0.19,0.0
732,0.02,0.005
733,0.275,0.0
734,0.185,0.0
735,0.135,0.0
736,0.33,0.01
737,0.125,0.0
738,0.095,0.0
739,0.1,0.0
740,0.135,0.0
741,0.155,0.0
742,0.01,0.0
743,0.22,0.0
744,0.125,0.0
745,0.07,0.0
746,0.2,0.0
747,0.235,0.01
748,0.16,0.0
749,0.11,0.0
750,0.085,0.0
751,0.04,0.0
752,0.06,0.015
753,0.15,0.0
754,0.045,0.0
755,0.025,0.0
756,0.37,0.0
757,0.105,0.0
758,0.05,0.0
759,0.09,0.005
760,0.01,0.0
761,0.115,0.005
762,0.18,0.015
763,0.055,0.0
764,0.045,0.005
765,0.035,0.0
766,0.11,0.0
767,0.075,0.015
768,0.135,0.0
769,0.205,0.005
770,0.09,0.0
771,0.015,0.0
772,0.11,0.0
773,0.045,0.0
774,0.12,0.0
775,0.13,0.01
776,0.2,0.0
777,0.2,0.0
778,0.205,0.0
779,0.035,0.005
780,0.06,0.0
781,0.01,0.0
782,0.135,0.0
783,0.025,0.01
784,0.205,0.01
785,0.075,0.01
786,0.06,0.0
787,0.1,0.0
788,0.27,0.0
789,0.025,0.0
790,0.14,0.0
791,0.03,0.025
792,0.13,0.0
793,0.0,0.0
794,0.02,0.02
795,0.06,0.01
796,0.085,0.005
797,0.215,0.0
798,0.025,0.0
799,0.135,0.0
800,0.075,0.005
801,0.125,0.0
802,0.135,0.0
803,0.04,0.01
804,0.005,0.0
805,0.055,0.0
806,0.12,0.0
807,0.14,0.0
808,0.095,0.0
809,0.03,0.0
810,0.13,0.0
811,0.045,0.005
812,0.105,0.0
813,0.11,0.0
814,0.21,0.005
815,0.18,0.0
816,0.11,0.005
817,0.04,0.005
818,0.015,0.0
819,0.285,0.015
820,0.01,0.0
821,0.05,0.005
822,0.045,0.0
823,0.055,0.0
824,0.1,0.0
825,0.045,0.005
826,0.1,0.02
827,0.035,0.005
828,0.1,0.02
829,0.25,0.0
830,0.055,0.0
831,0.19,0.0
832,0.105,0.015
833,0.155,0.0
834,0.05,0.0
835,0.115,0.01
836,0.09,0.0
837,0.045,0.005
838,0.035,0.005
839,0.02,0.0
840,0.09,0.005
841,0.02,0.0
842,0.16,0.0
843,0.025,0.005
844,0.055,0.005
845,0.125,0.0
846,0.09,0.0
847,0.12,0.0
848,0.055,0.0
849,0.02,0.0
850,0.03,0.005
851,0.015,0.01
852,0.195,0.0
853,0.145,0.005
854,0.025,0.0
855,0.215,0.01
856,0.125,0.0
857,0.08,0.005
858,0.105,0.0
859,0.085,0.0
860,0.025,0.0
861,0.165,0.0
862,0.135,0.005
863,0.15,0.0
864,0.145,0.0
865,0.095,0.01
866,0.145,0.005
867,0.05,0.005
868,0.14,0.0
869,0.035,0.0
870,0.22,0.005
871,0.01,0.0
872,0.2,0.0
873,0.17,0.0
874,0.115,0.0
875,0.095,0.005
876,0.025,0.005
877,0.055,0.0
878,0.045,0.0
879,0.11,0.005
880,0.255,0.0
881,0.17,0.005
882,0.125,0.0
883,0.025,0.0
884,0.08,0.0
885,0.09,0.0
886,0.045,0.005
887,0.075,0.005
888,0.06,0.005
889,0.03,0.0
890,0.035,0.0
891,0.045,0.0
892,0.01,0.015
893,0.01,0.0
894,0.185,0.0
895,0.31,0.01
896,0.08,0.0
897,0.025,0.0
898,0.105,0.0
899,0.065,0.0
900,0.08,0.0
901,0.03,0.0
902,0.05,0.0
903,0.095,0.005
904,0.065,0.0
905,0.02,0.005
906,0.06,0.0
907,0.055,0.0
908,0.005,0.005
909,0.11,0.0
910,0.13,0.0
911,0.075,0.0
912,0.075,0.02
913,0.045,0.01
914,0.115,0.0
915,0.17,0.005
916,0.19,0.0
917,0.17,0.005
918,0.035,0.005
919,0.29,0.005
920,0.155,0.0
921,0.115,0.005
922,0.04,0.0
923,0.09,0.0
924,0.155,0.0
925,0.09,0.01
926,0.125,0.0
927,0.03,0.0
928,0.045,0.005
929,0.23,0.0
930,0.1,0.0
931,0.105,0.0
932,0.085,0.0
933,0.095,0.0
934,0.13,0.0
935,0.075,0.0
936,0.075,0.0
937,0.11,0.0
938,0.005,0.005
939,0.025,0.005
940,0.07,0.01
941,0.02,0.005
942,0.195,0.005
943,0.22,0.005
944,0.155,0.005
945,0.06,0.0
946,0.12,0.0
947,0.015,0.0
948,0.155,0.005
949,0.3,0.0
950,0.215,0.0
951,0.05,0.0
952,0.055,0.0
953,0.195,0.0
954,0.125,0.015
955,0.155,0.0
956,0.08,0.0
957,0.025,0.0
958,0.055,0.0
959,0.255,0.0
960,0.06,0.0
961,0.115,0.01
962,0.1,0.0
963,0.06,0.005
964,0.245,0.005
965,0.37,0.015
966,0.09,0.0
967,0.16,0.0
968,0.105,0.005
969,0.03,0.005
970,0.085,0.015
971,0.095,0.01
972,0.1,0.0
973,0.065,0.0
974,0.04,0.0
975,0.08,0.0
976,0.14,0.0
977,0.1,0.005
978,0.055,0.0
979,0.135,0.0
980,0.005,0.005
981,0.08,0.015
982,0.03,0.0
983,0.095,0.0
984,0.185,0.0
985,0.085,0.005
986,0.08,0.0
987,0.03,0.0
988,0.06,0.01
989,0.055,0.005
990,0.095,0.0
991,0.045,0.0
992,0.12,0.01
993,0.085,0.01
994,0.08,0.0
995,0.13,0.0
996,0.02,0.0
997,0.08,0.0
998,0.055,0.01
999,0.03,0.0
