channel,n_tasks,hc_count,lc_count,hc_miss,lc_miss,hc_miss_rate,lc_miss_rate,p99_latency_ms,n_channels,seed
51,1000,114,886,0,886,0.0,1.0,73.21321425117188,64,0
52,1000,85,915,0,915,0.0,1.0,73.51956997856315,64,0
53,1000,110,890,0,890,0.0,1.0,75.05445913052989,64,0
54,1000,111,889,0,889,0.0,1.0,71.93967038930182,64,0
55,1000,106,894,0,894,0.0,1.0,73.82932931250575,64,0
56,1000,75,925,0,925,0.0,1.0,72.69346126748148,64,0
57,1000,99,901,0,901,0.0,1.0,75.97145014268742,64,0
58,1000,101,899,0,899,0.0,1.0,71.08203015312358,64,0
59,1000,95,905,0,905,0.0,1.0,74.12635402954943,64,0
60,1000,98,902,0,902,0.0,1.0,76.32675603409905,64,0
61,1000,96,904,0,904,0.0,1.0,75.54183370133856,64,0
62,1000,99,901,0,901,0.0,1.0,75.25511869689137,64,0
63,1000,103,897,0,897,0.0,1.0,72.31149956800884,64,0
0,1000,114,886,0,886,0.0,1.0,74.30471059433876,64,1
1,1000,100,900,0,900,0.0,1.0,74.0529628218379,64,1
2,1000,110,890,0,890,0.0,1.0,75.49116098437987,64,1
3,1000,96,904,0,904,0.0,1.0,72.39142331755924,64,1
4,1000,85,915,0,915,0.0,1.0,72.13090765317988,64,1
5,1000,98,902,0,902,0.0,1.0,76.37089357955662,64,1
6,1000,108,892,0,892,0.0,1.0,74.16493871804329,64,1
7,1000,109,891,0,891,0.0,1.0,74.57844430876196,64,1
8,1000,95,905,0,905,0.0,1.0,75.86541468226564,64,1
9,1000,90,910,0,910,0.0,1.0,74.90877953127888,64,1
10,1000,88,912,0,912,0.0,1.0,76.26411884369276,64,1
11,1000,107,893,0,893,0.0,1.0,74.00345950760244,64,1
12,1000,96,904,0,904,0.0,1.0,73.63927385048159,64,1
13,1000,115,885,0,885,0.0,1.0,74.64102186364455,64,1
14,1000,99,901,0,901,0.0,1.0,72.98284442497766,64,1
15,1000,99,901,0,901,0.0,1.0,74.6611740577689,64,1
16,1000,90,910,0,910,0.0,1.0,73.03503217914682,64,1
17,1000,112,888,0,888,0.0,1.0,74.52248308843349,64,1
18,1000,97,903,0,903,0.0,1.0,74.42196671314801,64,1
19,1000,118,882,0,882,0.0,1.0,73.9414059484269,64,1
20,1000,98,902,0,902,0.0,1.0,72.80604341286426,64,1
21,1000,101,899,0,899,0.0,1.0,74.48721922594412,64,1
22,1000,98,902,0,902,0.0,1.0,74.45861604843218,64,1
23,1000,108,892,0,892,0.0,1.0,76.06489426072348,64,1
24,1000,107,893,0,893,0.0,1.0,74.53648985678639,64,1
25,1000,117,883,0,883,0.0,1.0,75.24743088543617,64,1
26,1000,82,918,0,918,0.0,1.0,74.56154276363608,64,1
27,1000,85,915,0,915,0.0,1.0,76.08279320853572,64,1
28,1000,111,889,0,889,0.0,1.0,74.75878983519132,64,1
29,1000,101,899,0,899,0.0,1.0,76.30411436342158,64,1
30,1000,103,897,0,897,0.0,1.0,74.34343687844886,64,1
31,1000,112,888,0,888,0.0,1.0,73.1847063940197,64,1
32,1000,115,885,0,885,0.0,1.0,72.81367894096509,64,1
33,1000,109,891,0,891,0.0,1.0,73.89471968185026,64,1
34,1000,91,909,0,909,0.0,1.0,74.29574634667796,64,1
35,1000,104,896,0,896,0.0,1.0,73.61105990010672,64,1
36,1000,88,912,0,912,0.0,1.0,73.50268707998858,64,1
37,1000,101,899,0,899,0.0,1.0,72.08041317754174,64,1
