epsilon,precommit,trial,coalition_utility,honest_utility,coalition_advantage
0.5,False,9,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,10,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,11,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,12,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,13,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,14,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,15,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,16,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,17,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,18,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,19,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,20,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,21,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,22,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,23,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,24,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,25,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,26,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,27,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,28,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,29,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,30,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,31,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,32,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,33,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,34,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,35,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,36,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,37,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,38,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,39,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,40,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,41,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,42,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,43,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,44,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,45,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,46,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,47,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,48,-0.05685424949238049,1.6,-1.6568542494923806
0.5,False,49,-0.05685424949238049,1.6,-1.6568542494923806
0.5,True,0,2.8,1.6,1.1999999999999997
0.5,True,1,2.8,1.6,1.1999999999999997
0.5,True,2,2.8,1.6,1.1999999999999997
0.5,True,3,2.8,1.6,1.1999999999999997
0.5,True,4,2.8,1.6,1.1999999999999997
0.5,True,5,-0.5859976817868824,1.6,-2.1859976817868825
0.5,True,6,2.8,1.6,1.1999999999999997
0.5,True,7,2.8,1.6,1.1999999999999997
0.5,True,8,2.8,1.6,1.1999999999999997
0.5,True,9,2.8,1.6,1.1999999999999997
0.5,True,10,2.8,1.6,1.1999999999999997
0.5,True,11,2.8,1.6,1.1999999999999997
0.5,True,12,2.8,1.6,1.1999999999999997
0.5,True,13,0.7410380180337293,1.6,-0.8589619819662708
0.5,True,14,2.8,1.6,1.1999999999999997
0.5,True,15,2.8,1.6,1.1999999999999997
0.5,True,16,2.8,1.6,1.1999999999999997
0.5,True,17,2.8,1.6,1.1999999999999997
0.5,True,18,1.4860769794110449,1.6,-0.1139230205889552
0.5,True,19,2.8,1.6,1.1999999999999997
0.5,True,20,2.8,1.6,1.1999999999999997
0.5,True,21,2.8,1.6,1.1999999999999997
0.5,True,22,2.8,1.6,1.1999999999999997
0.5,True,23,2.8,1.6,1.1999999999999997
0.5,True,24,2.8,1.6,1.1999999999999997
0.5,True,25,2.8,1.6,1.1999999999999997
0.5,True,26,2.8,1.6,1.1999999999999997
0.5,True,27,2.8,1.6,1.1999999999999997
0.5,True,28,2.8,1.6,1.1999999999999997
0.5,True,29,2.8,1.6,1.1999999999999997
0.5,True,30,2.8,1.6,1.1999999999999997
0.5,True,31,2.8,1.6,1.1999999999999997
0.5,True,32,1.5794394081984344,1.6,-0.020560591801565664
0.5,True,33,2.8,1.6,1.1999999999999997
0.5,True,34,2.8,1.6,1.1999999999999997
0.5,True,35,2.8,1.6,1.1999999999999997
0.5,True,36,2.8,1.6,1.1999999999999997
0.5,True,37,2.8,1.6,1.1999999999999997
0.5,True,38,2.8,1.6,1.1999999999999997
0.5,True,39,2.8,1.6,1.1999999999999997
0.5,True,40,2.8,1.6,1.1999999999999997
0.5,True,41,2.8,1.6,1.1999999999999997
0.5,True,42,0.31140819881932513,1.6,-1.288591801180675
0.5,True,43,2.8,1.6,1.1999999999999997
0.5,True,44,2.8,1.6,1.1999999999999997
0.5,True,45,2.8,1.6,1.1999999999999997
0.5,True,46,2.8,1.6,1.1999999999999997
0.5,True,47,2.8,1.6,1.1999999999999997
0.5,True,48,2.8,1.6,1.1999999999999997
0.5,True,49,2.8,1.6,1.1999999999999997
1.0,False,0,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,1,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,2,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,3,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,4,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,5,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,6,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,7,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,8,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,9,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,10,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,11,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,12,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,13,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,14,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,15,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,16,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,17,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,18,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,19,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,20,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,21,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,22,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,23,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,24,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,25,-5.7137084989847615,1.6,-7.313708498984761
1.0,False,26,-5.7137084989847615,1.6,-7.313708498984761
