config,trial,scheduler,latency_ms
heavy_burst,29,MC,531.8926544456524
heavy_burst,30,MC,328.75322510900776
heavy_burst,31,MC,279.08541378971387
heavy_burst,31,MC,480.2414821994745
heavy_burst,32,MC,372.3097801751738
heavy_burst,33,MC,405.8346353525781
heavy_burst,34,MC,302.27990109207605
heavy_burst,34,MC,427.35727453904104
heavy_burst,35,MC,398.9093471922285
heavy_burst,35,MC,361.0715598714336
heavy_burst,36,MC,318.73426596276033
heavy_burst,36,MC,427.46842599294865
heavy_burst,37,MC,247.61488933329545
heavy_burst,37,MC,439.19657733676945
heavy_burst,38,MC,332.9023454793081
heavy_burst,38,MC,409.85938347537854
heavy_burst,38,MC,323.170516731107
heavy_burst,39,MC,174.7080394967
heavy_burst,39,MC,313.24179978232536
heavy_burst,40,MC,316.01358378027203
heavy_burst,40,MC,438.8053503692504
heavy_burst,41,MC,279.06555189103346
heavy_burst,41,MC,334.6713611077057
heavy_burst,42,MC,397.35216318910284
heavy_burst,42,MC,438.0104136203826
heavy_burst,43,MC,229.68278579067203
heavy_burst,44,MC,279.3313321731361
heavy_burst,44,MC,484.4113408553419
heavy_burst,45,MC,315.277182250723
heavy_burst,45,MC,281.1503499696997
heavy_burst,46,MC,386.0417640837745
heavy_burst,46,MC,452.34021573331165
heavy_burst,47,MC,337.921762667305
heavy_burst,47,MC,426.79606417479476
heavy_burst,47,MC,282.77653923471036
heavy_burst,48,MC,310.1435882907193
heavy_burst,49,MC,297.6980256033155
