trace,n_samples,window,K,n_windows,tau_mean,tau_median,tau_p95,tau_min,tau_max,frac_exceed_0.01,frac_exceed_0.1,frac_exceed_0.5,frac_exceed_1.0,exploitable
phase_B_leader,96,12,5,59,3.8955463400145796,3.386300017656617,7.486189057574234,0.029445758192963842,7.599316216086771,1.0,0.9661016949152542,0.9152542372881356,0.9152542372881356,True
phase_B_leader,96,12,10,54,8.35696894333057,8.198740759066007,14.570923315670097,0.24086428926903553,15.646572234791591,1.0,1.0,0.9814814814814815,0.9814814814814815,True
phase_B_leader,96,12,20,44,12.895498591743008,12.59703046518283,18.859585498122062,6.1611887137731545,18.903189508655,1.0,1.0,1.0,1.0,True
phase_W_leader,96,12,1,63,0.8209430294362138,1.4522857376990197,1.5198632361992699,0.0,1.51986323619927,0.9682539682539683,0.7777777777777778,0.5238095238095238,0.5238095238095238,True
phase_W_leader,96,12,2,62,1.5656541529455676,1.5678102469366415,2.9819642265523334,0.10570927412878878,3.0397264723985393,1.0,1.0,0.7580645161290323,0.7580645161290323,True
phase_W_leader,96,12,5,59,4.180801957685352,4.492012227835918,7.360189143227202,1.6255725103280585,7.700682472753589,1.0,1.0,1.0,1.0,True
phase_W_leader,96,12,10,54,8.110681235957246,7.611302977962213,13.118025142413238,2.13127459349644,15.776254961123287,1.0,1.0,1.0,1.0,True
phase_W_leader,96,12,20,44,11.267751291057811,10.985616251576282,14.174721192698891,6.888124580235811,15.58881000740375,1.0,1.0,1.0,1.0,True
v4_J1,64,8,1,35,1.4234627047978627,2.243834613912314,2.3304779912987628,0.0,2.330477991298763,0.9428571428571428,0.8,0.6,0.6,True
v4_J1,64,8,2,34,2.7874172442521967,2.4498243858479323,4.6609559825975255,0.15204939376121454,4.6609559825975255,1.0,1.0,0.7647058823529411,0.7647058823529411,True
v4_J1,64,8,5,31,7.84988403654857,9.133902331380579,11.645028534923703,0.2599301680606992,11.774993628073233,1.0,1.0,0.967741935483871,0.967741935483871,True
v4_J1,64,8,10,26,12.039401202584285,11.998963519891639,16.571647513801285,4.660955982597521,18.817110739302713,1.0,1.0,1.0,1.0,True
v4_J1,64,8,20,16,11.400975758691214,11.739033369781612,13.999219488003382,9.408555396721209,14.308204132228035,1.0,1.0,1.0,1.0,True
v4_J2,64,8,1,35,1.3632364228683058,2.2291117348707385,2.3304779912987628,0.0,2.330477991298763,0.9714285714285714,0.8285714285714286,0.5714285714285714,0.5714285714285714,True
v4_J2,64,8,2,34,2.6962044801023843,2.482527385059977,4.691281182633459,0.17328677272357385,4.8342427553211,1.0,1.0,0.7941176470588235,0.7941176470588235,True
v4_J2,64,8,5,31,7.921268375629686,7.316770176570109,11.970364701408489,2.5904081596663144,11.977726140929274,1.0,1.0,1.0,1.0,True
v4_J2,64,8,10,26,14.006882167129387,14.275501160288574,19.510257843894944,2.6558141577835483,19.64972256476662,1.0,1.0,1.0,1.0,True
v4_J2,64,8,20,16,13.897739525164297,13.29416761767547,19.51025786681067,7.490056949006002,19.51025786681067,1.0,1.0,1.0,1.0,True
v4_R,64,8,1,35,1.275639114691024,2.2165270392097294,2.3304779912987628,0.0,2.330477991298763,0.8857142857142857,0.7142857142857143,0.5428571428571428,0.5428571428571428,True
v4_R,64,8,2,34,2.6486423423393552,2.406502697154707,4.6609559888802625,0.07192051629555037,4.660956000741348,1.0,0.9411764705882353,0.7647058823529411,0.7647058823529411,True
v4_R,64,8,5,31,6.838601599715137,7.078077387184088,10.555814254105604,2.8230307529979464,11.8910827814935,1.0,1.0,1.0,1.0,True
v4_R,64,8,10,26,10.227223546832075,10.18834587428414,16.349306246963067,3.4266455637698616,17.118064876013996,1.0,1.0,1.0,1.0,True
v4_R,64,8,20,16,12.015440390607472,12.064065121606301,14.66755958323054,7.338007555532465,14.902123186544276,1.0,1.0,1.0,1.0,True
v4_D,80,10,1,49,1.1758791939572972,1.7727533401117086,1.842068038553876,0.0,1.8420680385538761,0.9183673469387755,0.8367346938775511,0.6326530612244898,0.6326530612244898,True
v4_D,80,10,2,48,2.248474590301615,1.9375451523809475,3.614821378665585,0.13862941461186673,3.822765491719619,1.0,1.0,0.8541666666666666,0.8541666666666666,True
v4_D,80,10,5,45,5.62240391714946,5.664833565728561,7.42372396260633,2.1193268677776103,7.628541098039346,1.0,1.0,1.0,1.0,True
v4_D,80,10,10,40,10.338717316923397,10.907889718577138,13.090642115177172,6.13304658715137,13.102420418386227,1.0,1.0,1.0,1.0,True
v4_D,80,10,20,30,7.803319415031164,6.545321057588588,16.127446907055578,0.0,18.836568647101895,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,True
