injection,seed,protocol,phase,mean_cost,p99_cost
clock_skew,3,baseline,during,0.5625314394708733,3.9637106871759054
clock_skew,3,baseline,post,0.859518680854642,7.899262367484247
clock_skew,3,is_raft,pre,0.8553633865270778,9.27756504601754
clock_skew,3,is_raft,during,0.5625314394708733,3.9637106871759054
clock_skew,3,is_raft,post,0.859518680854642,7.899262367484247
clock_skew,4,baseline,pre,0.6383273282361828,4.119010011997583
clock_skew,4,baseline,during,0.5743694133937273,4.318639737389497
clock_skew,4,baseline,post,0.8858388407825001,9.127115227169375
clock_skew,4,is_raft,pre,0.6489421079841495,4.119010011997583
clock_skew,4,is_raft,during,0.5743694133937273,4.318639737389497
clock_skew,4,is_raft,post,0.8858388407825001,9.127115227169375
message_loss,0,baseline,pre,0.7091689052105138,5.991123212314496
message_loss,0,baseline,during,0.886066439592149,6.716646925536093
message_loss,0,baseline,post,0.8476881318974722,6.969647309614969
message_loss,0,is_raft,pre,0.7075838507879249,5.991123212314496
message_loss,0,is_raft,during,0.886066439592149,6.716646925536093
message_loss,0,is_raft,post,0.8476881318974722,6.969647309614969
message_loss,1,baseline,pre,0.7956802395037812,7.21760079747753
message_loss,1,baseline,during,0.8765486813157435,6.775339802425331
message_loss,1,baseline,post,0.7395167111438881,6.410208306332444
message_loss,1,is_raft,pre,0.7975948725988414,7.21760079747753
message_loss,1,is_raft,during,0.8765486813157435,6.775339802425331
message_loss,1,is_raft,post,0.7395167111438881,6.410208306332444
message_loss,2,baseline,pre,0.7634862695350404,5.239382192817215
message_loss,2,baseline,during,0.9311951036899758,8.686239921996224
message_loss,2,baseline,post,0.850536744441869,7.8856997230535795
message_loss,2,is_raft,pre,0.7630937573555239,5.239382192817215
message_loss,2,is_raft,during,0.9311951036899758,8.686239921996224
message_loss,2,is_raft,post,0.850536744441869,7.8856997230535795
message_loss,3,baseline,pre,0.8558561222283906,9.27756504601754
message_loss,3,baseline,during,0.7957580563120346,6.759129040981224
message_loss,3,baseline,post,0.8972074224906091,7.899262367484247
message_loss,3,is_raft,pre,0.8553633865270778,9.27756504601754
message_loss,3,is_raft,during,0.7957580563120346,6.759129040981224
message_loss,3,is_raft,post,0.8972074224906091,7.899262367484247
message_loss,4,baseline,pre,0.6383273282361828,4.119010011997583
message_loss,4,baseline,during,0.7654816418410051,5.552657684371008
message_loss,4,baseline,post,0.8813518576809745,9.127115227169375
message_loss,4,is_raft,pre,0.6489421079841495,4.119010011997583
message_loss,4,is_raft,during,0.7654816418410051,5.552657684371008
message_loss,4,is_raft,post,0.8813518576809745,9.127115227169375
