epsilon,precommit,trial,coordinated,coalition_utility,advantage_vs_honest
0.1,False,22,True,4.6000000000000005,3.0000000000000004
0.1,False,23,True,4.6000000000000005,3.0000000000000004
0.1,False,24,True,4.6000000000000005,3.0000000000000004
0.1,False,25,True,4.6000000000000005,3.0000000000000004
0.1,False,26,True,4.6000000000000005,3.0000000000000004
0.1,False,27,True,4.6000000000000005,3.0000000000000004
0.1,False,28,True,4.6000000000000005,3.0000000000000004
0.1,False,29,True,4.6000000000000005,3.0000000000000004
0.1,False,30,True,4.6000000000000005,3.0000000000000004
0.1,False,31,True,4.6000000000000005,3.0000000000000004
0.1,False,32,True,4.6000000000000005,3.0000000000000004
0.1,False,33,True,4.6000000000000005,3.0000000000000004
0.1,False,34,True,4.6000000000000005,3.0000000000000004
0.1,False,35,True,4.6000000000000005,3.0000000000000004
0.1,False,36,True,4.6000000000000005,3.0000000000000004
0.1,False,37,True,4.6000000000000005,3.0000000000000004
0.1,False,38,True,4.6000000000000005,3.0000000000000004
0.1,False,39,True,4.6000000000000005,3.0000000000000004
0.1,False,40,True,4.6000000000000005,3.0000000000000004
0.1,False,41,True,4.6000000000000005,3.0000000000000004
0.1,False,42,True,4.6000000000000005,3.0000000000000004
0.1,False,43,True,4.6000000000000005,3.0000000000000004
0.1,False,44,True,4.6000000000000005,3.0000000000000004
0.1,False,45,True,4.6000000000000005,3.0000000000000004
0.1,False,46,True,4.6000000000000005,3.0000000000000004
0.1,False,47,True,4.6000000000000005,3.0000000000000004
0.1,False,48,True,4.6000000000000005,3.0000000000000004
0.1,False,49,True,4.6000000000000005,3.0000000000000004
0.1,False,50,True,4.6000000000000005,3.0000000000000004
0.1,False,51,True,4.6000000000000005,3.0000000000000004
0.1,False,52,True,4.6000000000000005,3.0000000000000004
0.1,False,53,True,4.6000000000000005,3.0000000000000004
0.1,False,54,True,4.6000000000000005,3.0000000000000004
0.1,False,55,True,4.6000000000000005,3.0000000000000004
0.1,False,56,True,4.6000000000000005,3.0000000000000004
0.1,False,57,True,4.6000000000000005,3.0000000000000004
0.1,False,58,True,4.6000000000000005,3.0000000000000004
0.1,False,59,True,4.6000000000000005,3.0000000000000004
0.1,False,60,True,4.6000000000000005,3.0000000000000004
0.1,False,61,True,4.6000000000000005,3.0000000000000004
0.1,False,62,True,4.6000000000000005,3.0000000000000004
0.1,False,63,True,4.6000000000000005,3.0000000000000004
0.1,False,64,True,4.6000000000000005,3.0000000000000004
0.1,False,65,True,4.6000000000000005,3.0000000000000004
0.1,False,66,True,4.6000000000000005,3.0000000000000004
0.1,False,67,True,4.6000000000000005,3.0000000000000004
0.1,False,68,True,4.6000000000000005,3.0000000000000004
0.1,False,69,True,4.6000000000000005,3.0000000000000004
0.1,False,70,True,4.6000000000000005,3.0000000000000004
0.1,False,71,True,4.6000000000000005,3.0000000000000004
0.1,False,72,True,4.6000000000000005,3.0000000000000004
0.1,False,73,True,4.6000000000000005,3.0000000000000004
0.1,False,74,True,4.6000000000000005,3.0000000000000004
0.1,False,75,True,4.6000000000000005,3.0000000000000004
0.1,False,76,True,4.6000000000000005,3.0000000000000004
0.1,False,77,True,4.6000000000000005,3.0000000000000004
0.1,False,78,True,4.6000000000000005,3.0000000000000004
0.1,False,79,True,4.6000000000000005,3.0000000000000004
0.1,False,80,True,4.6000000000000005,3.0000000000000004
0.1,False,81,True,4.6000000000000005,3.0000000000000004
0.1,False,82,True,4.6000000000000005,3.0000000000000004
0.1,False,83,True,4.6000000000000005,3.0000000000000004
0.1,False,84,True,4.6000000000000005,3.0000000000000004
0.1,False,85,True,4.6000000000000005,3.0000000000000004
0.1,False,86,True,4.6000000000000005,3.0000000000000004
0.1,False,87,True,4.6000000000000005,3.0000000000000004
0.1,False,88,True,4.6000000000000005,3.0000000000000004
0.1,False,89,True,4.6000000000000005,3.0000000000000004
0.1,False,90,True,4.6000000000000005,3.0000000000000004
0.1,False,91,True,4.6000000000000005,3.0000000000000004
0.1,False,92,True,4.6000000000000005,3.0000000000000004
0.1,False,93,True,4.6000000000000005,3.0000000000000004
0.1,False,94,True,4.6000000000000005,3.0000000000000004
0.1,False,95,True,4.6000000000000005,3.0000000000000004
0.1,False,96,True,4.6000000000000005,3.0000000000000004
0.1,False,97,True,4.6000000000000005,3.0000000000000004
0.1,False,98,True,4.6000000000000005,3.0000000000000004
0.1,False,99,True,4.6000000000000005,3.0000000000000004
0.1,True,0,False,1.6,0.0
0.1,True,1,True,4.6000000000000005,3.0000000000000004
