shift_mean,variant,n_observations,cost_mean,cost_CI_lo,cost_CI_hi,vs_ISRaft_ratio,wilcoxon_p,cohen_d,sig_holm
10,IS-Raft-MC (Mock),3000,0.7349235780279824,0.691562419668766,0.7823496172463802,1.0,,,False
10,IS-Raft-MC (Perfect),3000,0.3410638622712862,0.32951911798867023,0.35317361580323364,0.4640807186870526,2.742301177901739e-94,-0.31027736924890786,True
25,Original Raft,3000,0.9088519116610525,0.858465493328643,0.9611031581685153,1.3519515412531804,1.5210717541273862e-33,0.12685122729220094,True
25,Round-Robin,3000,0.9826699870790303,0.9294406875303133,1.0407611370398808,1.4617587161660692,5.667579508344698e-39,0.15108652175041762,True
25,Fixed Subset,3000,1.0507284139308901,0.9889226383161022,1.112973418408489,1.5629981963245854,4.724533439878683e-46,0.17648957214597813,True
25,S-Raft,3000,0.6706425299819458,0.6243660981591327,0.719804559541511,0.9976060900636142,0.28504940740261275,-0.021667930932654456,False
25,SCRaft,3000,0.5665333003015701,0.5255594467058583,0.6106044479920973,0.8427396792444698,4.442112083337922e-17,-0.09170494635813832,True
25,etcd-Raft,3000,0.7498432098568599,0.7087908305608392,0.7945653511726799,1.115420092379453,1.0524378710651096e-13,0.051413383584897075,True
25,CockroachDB-style,3000,0.5685428515386725,0.5282941247279415,0.612172492930971,0.8457289626000634,1.706752955070811e-16,-0.08979037965095976,True
25,TiKV-style,3000,0.940887559684923,0.8870218023025622,0.9928879340054049,1.399605777510174,5.113881545460934e-30,0.13793634708000843,True
25,IS-Raft-MC (Mock),3000,0.6722518403422949,0.6254510732281057,0.7220778145940057,1.0,,,False
25,IS-Raft-MC (Perfect),3000,0.33634814063198437,0.32402737736589476,0.3498532634014191,0.5003305613276176,1.4278714405397049e-74,-0.25635163622697055,True
40,Original Raft,3000,1.016248393025453,0.9554720106038569,1.0802975647121942,2.120298962309893,5.211037608123554e-99,0.28242911308456414,True
40,Round-Robin,3000,0.9641095940420216,0.9101874250596297,1.0164846611867764,2.0115166585548656,4.423635312923561e-94,0.29407503582779754,True
40,Fixed Subset,3000,1.2227431036985097,1.1510712618040024,1.2945486071534495,2.5511291842983455,5.242513881743022e-115,0.34300190439986433,True
40,S-Raft,3000,0.4794053754212558,0.4504501667990154,0.5103184483299137,1.0002305804443368,1.0,0.007989527422579655,False
40,SCRaft,3000,0.4029543436766911,0.3794686965284115,0.42836238764611034,0.8407232745651715,5.808219722766576e-11,-0.0979677614566965,True
40,etcd-Raft,3000,0.48364216258544473,0.4564793060369186,0.511719154176579,1.0090702061592802,0.0275610726790435,0.005407181152246806,False
40,CockroachDB-style,3000,0.4050296814915239,0.3813232681583317,0.43042252414452964,0.8450532559412132,1.796837008846333e-10,-0.09491017736519872,True
40,TiKV-style,3000,0.9493041882532589,0.8934138860294065,1.0048289648317874,1.9806266844639504,9.83143415321146e-86,0.2666424721619911,True
40,IS-Raft-MC (Mock),3000,0.47929485939960703,0.4501841998485832,0.50999691766126,1.0,,,False
40,IS-Raft-MC (Perfect),3000,0.3202027743266917,0.30882694928321575,0.33231799848112187,0.6680705374720617,8.729247618562559e-24,-0.18930717853727028,True
