workload,hc_frac,trial,scheduler,hc_miss_rate,lc_miss_rate
asset_transfer,0.5,2,PSR (primary),0.4448669201520912,1.0
asset_transfer,0.5,2,PSR (slack-aware),0.5361216730038023,1.0
asset_transfer,0.5,3,EDF (baseline),0.8804780876494024,0.9036144578313253
asset_transfer,0.5,3,LST,0.9920318725099602,0.9839357429718876
asset_transfer,0.5,3,EQDF,0.9960159362549801,0.9919678714859438
asset_transfer,0.5,3,PSR (primary),0.6414342629482072,1.0
asset_transfer,0.5,3,PSR (slack-aware),0.6414342629482072,1.0
asset_transfer,0.5,4,EDF (baseline),0.9473684210526315,0.924901185770751
asset_transfer,0.5,4,LST,0.9838056680161943,0.9841897233201581
asset_transfer,0.5,4,EQDF,0.9919028340080972,0.9920948616600791
asset_transfer,0.5,4,PSR (primary),0.708502024291498,1.0
asset_transfer,0.5,4,PSR (slack-aware),0.7165991902834008,1.0
asset_transfer,0.5,5,EDF (baseline),0.9033457249070632,0.9090909090909091
asset_transfer,0.5,5,LST,0.9776951672862454,0.974025974025974
asset_transfer,0.5,5,EQDF,0.9962825278810409,0.9956709956709957
asset_transfer,0.5,5,PSR (primary),0.7695167286245354,1.0
asset_transfer,0.5,5,PSR (slack-aware),0.7657992565055762,1.0
asset_transfer,0.5,6,EDF (baseline),0.8663967611336032,0.8893280632411067
asset_transfer,0.5,6,LST,0.9878542510121457,0.9723320158102767
asset_transfer,0.5,6,EQDF,0.9959514170040485,0.9920948616600791
asset_transfer,0.5,6,PSR (primary),0.32793522267206476,1.0
asset_transfer,0.5,6,PSR (slack-aware),0.4534412955465587,1.0
asset_transfer,0.5,7,EDF (baseline),0.9094488188976378,0.9146341463414634
asset_transfer,0.5,7,LST,0.9921259842519685,0.9959349593495935
asset_transfer,0.5,7,EQDF,0.9960629921259843,0.991869918699187
asset_transfer,0.5,7,PSR (primary),0.47244094488188976,1.0
asset_transfer,0.5,7,PSR (slack-aware),0.484251968503937,1.0
asset_transfer,0.5,8,EDF (baseline),0.8559670781893004,0.8910505836575876
asset_transfer,0.5,8,LST,0.9794238683127572,0.9922178988326849
asset_transfer,0.5,8,EQDF,0.9917695473251029,0.9961089494163424
asset_transfer,0.5,8,PSR (primary),0.4897119341563786,1.0
asset_transfer,0.5,8,PSR (slack-aware),0.5020576131687243,1.0
asset_transfer,0.5,9,EDF (baseline),0.9243027888446215,0.8795180722891566
asset_transfer,0.5,9,LST,0.9800796812749004,0.9879518072289156
asset_transfer,0.5,9,EQDF,0.9880478087649402,0.9959839357429718
asset_transfer,0.5,9,PSR (primary),0.4541832669322709,1.0
asset_transfer,0.5,9,PSR (slack-aware),0.4701195219123506,1.0
smallbank,0.1,0,EDF (baseline),0.875,0.9346846846846847
smallbank,0.1,0,LST,1.0,0.9864864864864865
smallbank,0.1,0,EQDF,1.0,0.9977477477477478
smallbank,0.1,0,PSR (primary),0.0,1.0
smallbank,0.1,0,PSR (slack-aware),0.0,1.0
smallbank,0.1,1,EDF (baseline),0.8888888888888888,0.9394618834080718
smallbank,0.1,1,LST,1.0,0.9932735426008968
smallbank,0.1,1,EQDF,1.0,0.9977578475336323
smallbank,0.1,1,PSR (primary),0.0,1.0
smallbank,0.1,1,PSR (slack-aware),0.0,1.0
smallbank,0.1,2,EDF (baseline),0.92,0.9422222222222222
smallbank,0.1,2,LST,1.0,0.9911111111111112
smallbank,0.1,2,EQDF,0.92,0.9444444444444444
smallbank,0.1,2,PSR (primary),0.0,1.0
smallbank,0.1,2,PSR (slack-aware),0.0,1.0
smallbank,0.1,3,EDF (baseline),0.8979591836734694,0.9423503325942351
smallbank,0.1,3,LST,0.9795918367346939,0.9889135254988913
smallbank,0.1,3,EQDF,0.8979591836734694,0.9379157427937915
smallbank,0.1,3,PSR (primary),0.0,1.0
smallbank,0.1,3,PSR (slack-aware),0.0,1.0
smallbank,0.1,4,EDF (baseline),0.9772727272727273,0.9385964912280702
smallbank,0.1,4,LST,1.0,0.9890350877192983
smallbank,0.1,4,EQDF,0.9772727272727273,0.9385964912280702
smallbank,0.1,4,PSR (primary),0.0,1.0
smallbank,0.1,4,PSR (slack-aware),0.0,1.0
smallbank,0.1,5,EDF (baseline),0.9433962264150944,0.941834451901566
smallbank,0.1,5,LST,1.0,0.9843400447427293
smallbank,0.1,5,EQDF,0.9433962264150944,0.941834451901566
smallbank,0.1,5,PSR (primary),0.0,1.0
smallbank,0.1,5,PSR (slack-aware),0.0,1.0
smallbank,0.1,6,EDF (baseline),0.9672131147540983,0.9271070615034168
smallbank,0.1,6,LST,0.9836065573770492,0.9863325740318907
smallbank,0.1,6,EQDF,0.9836065573770492,1.0
smallbank,0.1,6,PSR (primary),0.0,1.0
smallbank,0.1,6,PSR (slack-aware),0.0,1.0
smallbank,0.1,7,EDF (baseline),0.9607843137254902,0.9265033407572383
smallbank,0.1,7,LST,1.0,0.9933184855233853
smallbank,0.1,7,EQDF,1.0,0.9977728285077951
smallbank,0.1,7,PSR (primary),0.0,1.0
smallbank,0.1,7,PSR (slack-aware),0.0,1.0
smallbank,0.1,8,EDF (baseline),0.9583333333333334,0.9358407079646017
smallbank,0.1,8,LST,1.0,0.9867256637168141
smallbank,0.1,8,EQDF,0.9583333333333334,0.9358407079646017
smallbank,0.1,8,PSR (primary),0.0,1.0
smallbank,0.1,8,PSR (slack-aware),0.0,1.0
smallbank,0.1,9,EDF (baseline),0.9433962264150944,0.9328859060402684
smallbank,0.1,9,LST,0.9811320754716981,0.9888143176733781
smallbank,0.1,9,EQDF,0.9433962264150944,0.9351230425055929
smallbank,0.1,9,PSR (primary),0.0,1.0
smallbank,0.1,9,PSR (slack-aware),0.0,1.0
smallbank,0.2,0,EDF (baseline),0.9134615384615384,0.9318181818181818
smallbank,0.2,0,LST,1.0,0.9848484848484849
smallbank,0.2,0,EQDF,1.0,0.9974747474747475
smallbank,0.2,0,PSR (primary),0.0,1.0
smallbank,0.2,0,PSR (slack-aware),0.0,1.0
smallbank,0.2,1,EDF (baseline),0.9259259259259259,0.9362244897959183
smallbank,0.2,1,LST,1.0,0.9923469387755102
smallbank,0.2,1,EQDF,1.0,0.9974489795918368
smallbank,0.2,1,PSR (primary),0.0,1.0
smallbank,0.2,1,PSR (slack-aware),0.0,1.0
smallbank,0.2,2,EDF (baseline),0.9157894736842105,0.945679012345679
smallbank,0.2,2,LST,1.0,0.9901234567901235
smallbank,0.2,2,EQDF,0.9157894736842105,0.9481481481481482
smallbank,0.2,2,PSR (primary),0.0,1.0
smallbank,0.2,2,PSR (slack-aware),0.0,1.0
smallbank,0.2,3,EDF (baseline),0.8918918918918919,0.9511568123393316
smallbank,0.2,3,LST,0.990990990990991,0.987146529562982
smallbank,0.2,3,EQDF,0.8828828828828829,0.9485861182519281
smallbank,0.2,3,PSR (primary),0.0,1.0
smallbank,0.2,3,PSR (slack-aware),0.0,1.0
smallbank,0.2,4,EDF (baseline),0.9504950495049505,0.9398496240601504
smallbank,0.2,4,LST,0.9900990099009901,0.9899749373433584
smallbank,0.2,4,EQDF,0.9504950495049505,0.9398496240601504
smallbank,0.2,4,PSR (primary),0.0,1.0
smallbank,0.2,4,PSR (slack-aware),0.0,1.0
smallbank,0.2,5,EDF (baseline),0.9423076923076923,0.9419191919191919
smallbank,0.2,5,LST,1.0,0.9823232323232324
smallbank,0.2,5,EQDF,0.9423076923076923,0.9419191919191919
smallbank,0.2,5,PSR (primary),0.0,1.0
smallbank,0.2,5,PSR (slack-aware),0.0,1.0
smallbank,0.2,6,EDF (baseline),0.954954954954955,0.9254498714652957
smallbank,0.2,6,LST,0.990990990990991,0.9845758354755784
smallbank,0.2,6,EQDF,0.990990990990991,1.0
smallbank,0.2,6,PSR (primary),0.0,1.0
smallbank,0.2,6,PSR (slack-aware),0.0,1.0
smallbank,0.2,7,EDF (baseline),0.9444444444444444,0.926829268292683
smallbank,0.2,7,LST,1.0,0.9926829268292683
smallbank,0.2,7,EQDF,1.0,0.9975609756097561
smallbank,0.2,7,PSR (primary),0.0,1.0
smallbank,0.2,7,PSR (slack-aware),0.0,1.0
smallbank,0.2,8,EDF (baseline),0.9263157894736842,0.9407407407407408
smallbank,0.2,8,LST,0.9894736842105263,0.9876543209876543
smallbank,0.2,8,EQDF,0.9263157894736842,0.9407407407407408
smallbank,0.2,8,PSR (primary),0.0,1.0
smallbank,0.2,8,PSR (slack-aware),0.0,1.0
smallbank,0.2,9,EDF (baseline),0.956989247311828,0.9287469287469288
smallbank,0.2,9,LST,0.978494623655914,0.9901719901719902
smallbank,0.2,9,EQDF,0.956989247311828,0.9312039312039312
smallbank,0.2,9,PSR (primary),0.0,1.0
smallbank,0.2,9,PSR (slack-aware),0.0,1.0
smallbank,0.3,0,EDF (baseline),0.920863309352518,0.9307479224376731
smallbank,0.3,0,LST,1.0,0.9833795013850416
smallbank,0.3,0,EQDF,1.0,0.997229916897507
smallbank,0.3,0,PSR (primary),0.0,1.0
smallbank,0.3,0,PSR (slack-aware),0.0,1.0
smallbank,0.3,1,EDF (baseline),0.9397590361445783,0.9311377245508982
smallbank,0.3,1,LST,0.9939759036144579,0.9940119760479041
smallbank,0.3,1,EQDF,1.0,0.9970059880239521
smallbank,0.3,1,PSR (primary),0.0,1.0
smallbank,0.3,1,PSR (slack-aware),0.0,1.0
smallbank,0.3,2,EDF (baseline),0.9271523178807947,0.9455587392550143
smallbank,0.3,2,LST,1.0,0.9885386819484241
smallbank,0.3,2,EQDF,0.9337748344370861,0.9455587392550143
smallbank,0.3,2,PSR (primary),0.0,1.0
