run,valid,baseline_ok,R,Rf,L_fail_frac,D,C_clean_100_succ,C_clean_100_fail,C_clean_100_lat,C_clean_100_tps,C_clean_200_succ,C_clean_200_fail,C_clean_200_lat,C_clean_200_tps,C_clean_300_succ,C_clean_300_fail,C_clean_300_lat,C_clean_300_tps,C_clean_400_succ,C_clean_400_fail,C_clean_400_lat,C_clean_400_tps,C_clean_500_succ,C_clean_500_fail,C_clean_500_lat,C_clean_500_tps,F_follower_100_succ,F_follower_100_fail,F_follower_100_lat,F_follower_100_tps,F_follower_200_succ,F_follower_200_fail,F_follower_200_lat,F_follower_200_tps,F_follower_300_succ,F_follower_300_fail,F_follower_300_lat,F_follower_300_tps,F_follower_400_succ,F_follower_400_fail,F_follower_400_lat,F_follower_400_tps,F_follower_500_succ,F_follower_500_fail,F_follower_500_lat,F_follower_500_tps,L_leader_100_succ,L_leader_100_fail,L_leader_100_lat,L_leader_100_tps,L_leader_200_succ,L_leader_200_fail,L_leader_200_lat,L_leader_200_tps,L_leader_300_succ,L_leader_300_fail,L_leader_300_lat,L_leader_300_tps,L_leader_400_succ,L_leader_400_fail,L_leader_400_lat,L_leader_400_tps,L_leader_500_succ,L_leader_500_fail,L_leader_500_lat,L_leader_500_tps,C_clean_post_100_succ,C_clean_post_100_fail,C_clean_post_100_lat,C_clean_post_100_tps,C_clean_post_200_succ,C_clean_post_200_fail,C_clean_post_200_lat,C_clean_post_200_tps,C_clean_post_300_succ,C_clean_post_300_fail,C_clean_post_300_lat,C_clean_post_300_tps,C_clean_post_400_succ,C_clean_post_400_fail,C_clean_post_400_lat,C_clean_post_400_tps,C_clean_post_500_succ,C_clean_post_500_fail,C_clean_post_500_lat,C_clean_post_500_tps
r25c_20260825-001020,1,1,0.3559,0.7998,0.1442,0.4392,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.07,281.1,12004,0,0.08,374.5,15003,0,0.89,468.1,3004,0,0.21,93.4,6004,0,0.18,186.6,9004,0,1.24,223.2,12004,0,1.25,298.7,15004,0,2.08,374.4,1198,1806,42.96,22.9,969,5035,30.85,44.6,8084,920,24.04,100.0,10258,1746,25.33,133.4,12840,2164,25.89,166.6,0,3004,,20.4,0,6004,,66.7,0,9004,,100.0,12004,0,23.1,184.7,14995,0,23.68,205.6
r25c_20260825-081012,1,1,0.2417,0.3407,0.9588,1.0004,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.07,281.0,12004,0,0.09,374.6,15004,0,1.26,467.9,1560,1444,24.6,32.8,360,5644,47.42,65.1,2476,6528,59.21,95.3,12004,0,33.9,135.7,15002,0,28.57,159.4,1319,1685,32.13,24.0,879,5125,35.33,44.5,951,8053,65.78,66.8,2531,9473,23.2,90.9,618,14386,54.33,113.1,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.0,12004,0,0.08,374.6,15004,0,1.23,468.1
r25c_20260825-084123,1,1,0.3563,0.7815,0.14,0.9342,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12004,0,0.08,374.6,15004,0,1.04,467.8,3004,0,0.21,87.7,6004,0,0.8,161.5,9004,0,1.08,224.5,12004,0,1.34,296.2,15004,0,2.85,365.6,1475,1529,32.26,23.9,691,5313,33.5,44.5,7993,1011,25.91,100.0,10346,1658,25.46,133.3,12903,2100,26.17,166.7,0,3004,,20.0,0,6004,,66.7,0,9004,,100.0,12004,0,31.62,163.2,15001,0,6.2,437.0
r25c_20260825-091051,1,1,0.2792,0.7986,0.1407,1.0002,3004,0,0.08,93.8,6004,0,0.06,187.3,9004,0,0.06,280.9,12004,0,0.08,374.5,15002,0,1.3,467.8,3004,0,0.89,93.7,6004,0,1.44,149.7,9004,0,0.77,223.0,12004,0,1.38,298.9,15004,0,2.57,373.6,1443,1561,28.43,24.1,1164,4840,30.79,45.1,7823,1181,51.36,93.1,10283,1721,52.78,112.2,12892,2111,54.55,130.6,0,3004,,27.3,0,6004,,66.7,9004,0,1.41,281.0,12004,0,0.16,374.6,15004,0,1.42,467.9
r25c_20260825-093844,1,1,0.3563,0.7985,0.1426,0.4401,3004,0,0.08,93.8,6004,0,0.06,187.3,9004,0,0.07,280.9,12004,0,0.08,374.4,15004,0,1.57,467.9,3004,0,0.26,91.9,6004,0,0.51,156.4,9004,0,0.93,233.9,12004,0,1.36,297.3,15003,0,2.9,373.6,1481,1523,27.45,24.1,1091,4913,30.58,44.5,7774,1230,27.7,100.1,10238,1766,25.77,133.3,12865,2139,25.95,166.7,0,3004,,27.3,0,6004,,66.7,9004,0,23.98,152.0,12004,0,15.44,208.0,15004,0,23.37,205.9
r25c_20260825-100802,1,1,0.3548,0.7999,0.146,0.3896,3004,0,0.09,93.8,6004,0,0.06,187.3,9004,0,0.06,281.0,12004,0,0.08,374.4,15004,0,1.98,468.2,3004,0,0.27,93.8,6004,0,0.47,165.8,9004,0,1.11,223.9,12000,4,1.32,295.5,15004,0,2.36,374.5,1406,1598,33.34,24.0,1359,4645,26.1,45.4,7748,1256,27.78,100.1,10260,1744,25.29,133.4,12812,2190,26.56,166.1,0,3004,,21.4,0,6004,,66.7,0,9004,,99.9,1589,10415,58.31,133.2,14999,0,33.2,182.4
r25c_20260825-103750,1,1,0.2414,0.796,0.9573,0.9998,3004,0,0.1,93.8,6004,0,0.06,187.3,9004,0,0.07,281.0,12004,0,0.15,374.6,15004,0,1.78,468.1,3004,0,0.15,93.8,6004,0,1.07,160.9,9004,0,1.15,224.0,12004,0,1.1,299.4,15002,0,4.0,372.6,1415,1589,28.87,24.9,1154,4850,29.55,44.5,959,8045,59.91,67.0,2500,9504,22.75,91.0,641,14363,54.17,113.0,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12004,0,0.07,374.7,15003,0,1.56,468.0
r25c_20260825-120514,1,1,0.2904,0.7983,0.1407,0.4361,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,280.9,12004,0,0.09,374.7,15003,0,0.88,468.0,3004,0,0.16,93.4,6004,0,0.88,154.5,9004,0,1.19,224.8,12004,0,1.23,299.7,15004,0,2.41,373.6,1284,1720,35.58,24.0,893,5111,33.63,44.5,7638,1366,54.92,77.5,10313,1691,59.47,119.0,12893,2111,54.02,135.9,0,3004,,21.5,0,6004,,66.7,0,9004,,100.0,7302,4701,53.2,133.3,15004,0,23.92,204.1
r25c_20260825-123707,1,1,0.2399,0.7899,0.9515,0.4296,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.07,281.0,12004,0,0.08,374.6,15000,0,1.94,469.3,3004,0,0.43,92.1,6004,0,0.24,152.5,9004,0,1.28,223.9,12004,0,1.54,299.2,15002,0,2.61,370.7,1464,1540,37.92,22.9,795,5209,40.94,44.5,1041,7962,55.84,67.0,3032,8972,19.64,89.0,727,14274,49.0,112.6,3004,0,0.12,93.6,6004,0,0.4,186.9,9004,0,9.08,197.9,12004,0,16.81,199.5,15004,0,24.89,201.6
r25c_20260825-130734,1,1,0.3649,0.4575,0.1399,0.4529,3004,0,0.11,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12004,0,0.15,374.6,15001,0,2.3,456.8,3004,0,0.22,88.2,6004,0,1.09,156.7,9004,0,1.12,223.7,12004,0,1.07,299.5,14997,0,20.03,209.0,1292,1712,32.18,25.0,827,5177,38.23,44.9,6641,2363,30.46,99.3,10975,1029,19.43,133.3,12903,2098,26.18,166.7,282,2722,54.51,20.4,0,6004,,66.6,9004,0,31.87,134.5,12003,0,15.79,207.1,15004,0,23.51,206.9
r25c_20260825-134203,1,1,0.3564,0.7962,0.1112,0.44,3004,0,0.11,93.8,6003,1,0.06,187.4,9004,0,0.06,281.0,12004,0,0.09,374.6,15004,0,1.51,467.7,3004,0,0.22,93.7,6004,0,0.87,164.1,9004,0,0.62,223.6,12004,0,1.31,297.9,15003,0,2.35,372.4,1353,1651,33.69,22.3,850,5154,40.53,45.1,1040,7964,58.54,67.0,3177,8827,21.19,97.5,13336,1668,22.37,166.7,2488,516,55.24,37.7,6004,0,0.38,187.1,9004,0,7.2,209.5,12003,0,15.45,207.7,14996,0,23.67,205.8
r25c_20260825-141245,1,1,0.2803,0.793,0.1446,0.4204,3004,0,0.1,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12004,0,0.08,374.6,15004,0,0.94,468.1,3004,0,0.27,93.6,6004,0,0.63,153.0,9004,0,1.39,224.9,12004,0,1.16,296.9,15003,0,2.49,371.2,1222,1782,34.12,24.9,1076,4928,29.57,44.5,3180,5824,68.42,75.5,11005,999,44.29,96.5,12835,2169,60.14,131.2,0,3004,,25.2,6004,0,38.68,89.5,9004,0,7.34,207.6,12004,0,15.36,207.2,14993,0,25.58,196.8
r25c_20260825-144417,1,1,0.2456,0.8078,0.9586,1.0154,3004,0,0.1,93.8,6004,0,0.06,187.4,9004,0,0.07,281.1,12004,0,0.18,374.7,15001,0,2.23,460.9,3004,0,0.24,93.1,6004,0,0.71,164.3,9004,0,1.46,224.6,12004,0,1.41,297.7,14948,0,2.81,372.3,1522,1482,28.69,24.0,1096,4908,33.3,44.5,948,8056,59.34,66.8,2860,9144,20.08,89.4,621,14383,51.8,113.2,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,280.9,12004,0,0.08,374.4,15004,0,1.08,468.0
r25c_20260825-151114,1,1,0.2417,0.7931,0.9549,0.8748,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,280.8,12004,0,0.08,374.6,15004,0,1.4,467.9,3004,0,0.34,91.0,6004,0,0.57,172.7,9004,0,0.9,223.1,12004,0,1.28,299.6,15004,0,1.67,371.1,1644,1360,23.28,24.2,1205,4799,34.22,43.5,1095,7909,56.94,67.2,2982,9022,20.17,89.2,676,14328,52.75,113.1,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,280.9,12004,0,0.96,327.9,15004,0,8.66,409.3
r25c_20260825-153904,1,1,0.3563,0.7003,0.1472,0.4275,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.0,12004,0,0.12,374.6,15004,0,1.73,467.8,3004,0,0.32,93.8,6004,0,0.66,164.8,9004,0,1.25,224.0,12004,0,1.17,293.8,15000,0,3.99,327.6,1586,1418,28.12,24.8,1012,4992,29.08,44.5,7779,1225,27.62,103.5,10513,1490,25.0,133.4,12796,2208,26.16,166.7,239,2765,54.12,21.4,0,6004,,66.7,0,9004,,99.9,12004,0,39.77,147.1,15004,0,24.24,200.0
