intensity,seed,auc,fp_rate,tp_rate
0.1,19,0.5207861111111112,0.3016666666666667,0.34833333333333333
0.1,20,0.5054861111111111,0.31666666666666665,0.31666666666666665
0.1,21,0.5275861111111111,0.305,0.3466666666666667
0.1,22,0.5040166666666667,0.32666666666666666,0.3516666666666667
0.1,23,0.5348638888888888,0.2966666666666667,0.3233333333333333
0.1,24,0.5573861111111111,0.2733333333333333,0.36666666666666664
0.1,25,0.532275,0.29833333333333334,0.345
0.1,26,0.5269277777777778,0.3016666666666667,0.35833333333333334
0.1,27,0.5276777777777778,0.3283333333333333,0.35833333333333334
0.1,28,0.5296583333333333,0.295,0.31666666666666665
0.1,29,0.5116083333333333,0.30666666666666664,0.33166666666666667
0.2,0,0.522175,0.28833333333333333,0.3416666666666667
0.2,1,0.5477222222222222,0.315,0.37666666666666665
0.2,2,0.5383444444444445,0.32,0.3383333333333333
0.2,3,0.5506472222222222,0.31333333333333335,0.37166666666666665
0.2,4,0.5450194444444444,0.305,0.38166666666666665
0.2,5,0.562761111111111,0.2966666666666667,0.41333333333333333
0.2,6,0.5471611111111111,0.315,0.36833333333333335
0.2,7,0.5735611111111111,0.295,0.4033333333333333
0.2,8,0.5761666666666667,0.285,0.41
0.2,9,0.5692027777777777,0.31666666666666665,0.405
0.2,10,0.5964166666666667,0.2633333333333333,0.4116666666666667
0.2,11,0.5554805555555555,0.3016666666666667,0.36833333333333335
0.2,12,0.5335055555555556,0.31833333333333336,0.39666666666666667
0.2,13,0.5671305555555556,0.2833333333333333,0.38333333333333336
0.2,14,0.5622361111111112,0.30833333333333335,0.405
0.2,15,0.5675944444444445,0.30333333333333334,0.36333333333333334
0.2,16,0.5644833333333333,0.32666666666666666,0.4066666666666667
0.2,17,0.5371138888888889,0.3416666666666667,0.37666666666666665
0.2,18,0.5700972222222223,0.30333333333333334,0.37666666666666665
0.2,19,0.5493472222222222,0.3016666666666667,0.37833333333333335
0.2,20,0.5333555555555556,0.31666666666666665,0.35
0.2,21,0.5560194444444445,0.305,0.37833333333333335
0.2,22,0.5316277777777778,0.32666666666666666,0.39
0.2,23,0.5634444444444444,0.2966666666666667,0.385
0.2,24,0.5858305555555555,0.2733333333333333,0.4033333333333333
0.2,25,0.5617916666666667,0.29833333333333334,0.38
0.2,26,0.5538277777777778,0.3016666666666667,0.40166666666666667
0.2,27,0.555375,0.3283333333333333,0.41333333333333333
0.2,28,0.559563888888889,0.295,0.3566666666666667
0.2,29,0.5399916666666666,0.30666666666666664,0.36666666666666664
0.3,0,0.5497027777777779,0.28833333333333333,0.38166666666666665
0.3,1,0.5747027777777778,0.315,0.42333333333333334
0.3,2,0.5665777777777777,0.32,0.38333333333333336
0.3,3,0.5788222222222222,0.31333333333333335,0.41833333333333333
0.3,4,0.5727805555555555,0.305,0.41833333333333333
0.3,5,0.5891611111111111,0.2966666666666667,0.43666666666666665
0.3,6,0.5745027777777778,0.315,0.41333333333333333
0.3,7,0.6020444444444445,0.295,0.455
0.3,8,0.6027472222222222,0.285,0.43333333333333335
0.3,9,0.5970472222222223,0.31666666666666665,0.4483333333333333
0.3,10,0.6228388888888888,0.2633333333333333,0.45166666666666666
0.3,11,0.5827055555555556,0.3016666666666667,0.405
0.3,12,0.5610861111111112,0.31833333333333336,0.42833333333333334
