load_tps,seed,p50_raft,p99_raft,p50_ai,p99_ai,p50_bft,p99_bft,view_changes
1500,11,6.369715571387491,13.622795928711822,6.21133736804539,14.251558360909877,24.98292296751355,104.9531295907393,9
1500,12,6.548076442823368,15.091943005567655,6.2330549665165105,13.621645944173068,24.891635267322215,102.86210853319565,9
1500,13,6.503393088324485,14.087991050519943,6.317217720517534,14.595102214206124,24.743449892881777,105.0761283531262,9
1500,14,6.269418645659133,13.064308899335359,6.313270179747917,13.131581331236893,24.631603684117522,103.39099221915022,9
1500,15,6.548755007905491,13.424729692244014,6.166128147062443,12.662685700858338,24.854842052657865,103.34324989817384,9
1500,16,6.3687287606596525,15.83060996402056,6.180713901679724,12.602014969068383,25.141285235133715,103.21130920262448,9
1500,17,6.300926683226235,14.188655040834595,6.267794694536914,12.347168063726569,24.591371207146125,105.03665139337939,9
1500,18,6.326079172850163,14.07510975685018,6.2463036014921105,13.691333201327287,25.354156780097462,104.71821728892016,9
1500,19,6.447312183771182,14.452513255448368,6.241210192346754,12.493701299422813,24.647637452284386,104.08040603229743,9
1500,20,6.311922489108328,13.386814879684447,6.188702725502361,12.82047599155944,24.80069600704661,103.72690164632961,9
1500,21,6.396757214565116,12.993859601656519,6.250192335602691,13.904138267834686,25.135504594756977,104.58410885356018,9
1500,22,6.299131924131148,13.201526656619183,6.198724111237667,13.953956871632336,24.82684015826551,103.15296476630918,9
1500,23,6.447800887815381,13.878471460866624,6.27533472218347,13.824041760933726,24.80825855860667,104.67004009853274,9
1500,24,6.502630410340105,14.076212279376572,6.315639256857251,12.337559668923445,24.823116230271197,106.29062048669205,9
1500,25,6.534119826148465,14.45656671791726,6.334778891484327,11.959546526741633,24.54449692677614,103.54819644331225,9
1500,26,6.361129679215823,14.48113329751841,6.26612332830277,13.819090550234609,24.796027188296186,105.24811391986076,9
1500,27,6.6103125818684525,15.848212949804596,6.284779063896307,12.799306767352453,24.913698178937764,105.70486791248355,9
1500,28,6.463011410480181,14.25475742394131,6.246605597088289,12.2765675464302,25.081189334766318,105.56825722434816,9
1500,29,6.313797257269799,13.086828018715362,6.1482139129477344,13.053408483591358,24.97012110725138,106.15015182294111,9
2000,0,8.795243962416073,18.547118237515125,8.275021799879164,16.846743091137753,33.03814884784253,136.9708801685212,9
2000,1,8.37876558635729,18.46730107834041,8.356480172741579,19.718730929883545,32.91844753367217,138.429626782736,9
2000,2,8.333900502354897,16.55227945214632,8.347046539715656,15.413769655426238,33.02249242999237,138.81334149737742,9
2000,3,8.632941344493634,18.016224170584238,8.325154578074425,17.590583259732224,32.87290681586137,138.5386392122562,9
2000,4,8.526759250932937,18.625412254714984,8.367834820340672,16.550123781676245,32.725638651069985,139.72273770977216,9
2000,5,8.577770180357783,16.4775539149147,8.181587835763484,17.740921453055694,32.782852132092415,142.18540096290005,9
2000,6,8.566909187334717,17.603408098823593,8.253854569968095,16.013650895489146,32.98963340735689,140.45646774824456,9
2000,7,8.58008905162399,20.127128055093536,8.213582281672656,15.506739410586535,33.318996992549465,139.03159076599007,9
2000,8,8.498762097732833,18.149256508076363,8.407969365205423,17.61688437253922,33.25048717809932,137.93856008180174,9
2000,9,8.480662245013411,18.84147866413818,8.468226172287029,17.546805556602788,33.208228243620106,140.65500596219584,9
2000,10,8.67321974257601,17.654111806932125,8.227398772014574,16.66036628341349,33.11382113976441,138.75957636844498,9
2000,11,8.492954095183322,18.1637279049491,8.281783157393853,19.002077814546503,33.31056395668473,139.93750612098572,9
2000,12,8.730768590431158,20.122590674090205,8.310739955355347,18.162194592230755,33.18884702309629,137.14947804426083,9
2000,13,8.671190784432646,18.78398806735992,8.422956960690044,19.460136285608165,32.99126652384237,140.10150447083493,9
