1781249007.127,0.234,0.360,0.270,0.306,0.241
1781249007.428,0.215,0.283,0.416,0.341,0.267
1781249007.730,0.218,0.367,0.339,0.319,0.326
1781249008.032,0.215,0.288,0.428,0.267,0.573
1781249008.334,0.212,0.289,0.251,0.241,0.243
1781249008.635,0.225,0.430,0.254,0.352,0.364
1781249008.937,0.238,0.414,0.295,0.263,0.261
1781249009.239,0.228,0.452,0.327,0.311,0.301
1781249009.541,0.217,0.889,0.376,0.481,0.260
1781249009.843,0.276,0.786,0.484,0.573,0.273
1781249010.146,0.212,0.353,0.275,0.330,0.325
1781249010.448,0.216,0.287,0.360,0.238,0.267
1781249010.749,0.397,0.333,0.388,0.346,0.266
1781249011.051,0.235,0.334,0.329,0.307,0.296
1781249011.353,0.235,0.350,0.305,0.250,0.263
1781249011.655,0.256,0.304,0.317,0.295,0.325
1781249011.956,0.233,0.378,0.272,0.376,0.323
1781249012.258,0.212,0.371,0.277,0.226,0.271
1781249012.560,0.212,0.334,0.457,0.231,0.261
1781249012.861,0.248,0.331,0.273,0.235,0.347
1781249013.163,0.226,0.324,0.303,0.297,0.326
1781249013.465,0.240,0.266,0.503,0.273,0.297
1781249013.766,0.261,0.336,0.273,0.263,0.367
1781249014.068,0.216,0.338,0.282,0.244,0.641
1781249014.370,0.209,0.368,0.278,0.266,0.278
1781249014.672,0.223,0.273,0.349,0.270,0.260
1781249014.973,0.338,0.374,0.253,0.262,0.242
1781249015.275,0.215,0.278,0.273,0.238,0.441
1781249015.577,0.261,0.318,0.377,0.347,0.250
1781249015.878,0.340,0.283,0.369,0.293,0.271
1781249016.180,0.233,0.328,0.293,0.258,0.362
1781249016.482,0.221,0.313,0.292,0.260,0.257
1781249016.783,0.215,0.288,0.298,0.299,0.407
1781249017.085,0.220,0.361,0.327,0.303,0.301
1781249017.387,0.215,0.342,0.266,0.260,0.362
1781249017.688,0.219,0.287,0.293,0.376,0.228
1781249017.990,0.218,0.297,0.338,0.333,0.242
1781249018.292,0.235,0.309,0.351,0.263,0.263
1781249018.593,0.309,0.285,0.274,0.350,0.259
1781249018.895,0.226,0.324,0.300,0.228,0.352
1781249019.196,0.262,0.315,0.277,0.477,0.400
1781249019.498,0.302,0.383,0.267,0.270,0.259
1781249019.800,0.237,0.316,0.266,0.232,0.393
1781249020.102,0.224,0.287,0.332,0.266,0.304
1781249020.403,0.212,0.275,0.296,0.278,0.244
1781249020.705,0.228,0.284,0.386,0.259,0.237
1781249021.006,0.260,0.314,0.252,0.327,0.276
1781249021.308,0.217,0.283,0.279,0.293,0.441
1781249021.610,0.218,0.281,0.283,0.294,0.255
1781249021.911,0.218,0.346,0.308,0.294,0.292
1781249022.213,0.234,0.439,0.297,0.297,0.376
1781249022.515,0.214,0.448,0.223,0.280,0.314
1781249022.816,0.217,0.394,0.307,0.382,0.264
1781249023.118,0.234,0.335,0.277,0.236,0.344
1781249023.420,0.210,0.271,0.556,0.287,0.493
1781249023.722,0.208,0.274,0.278,0.259,0.300
1781249024.023,0.218,0.344,0.268,0.271,0.343
1781249024.325,0.222,0.369,0.308,0.260,0.228
1781249024.626,0.259,0.337,0.275,0.224,0.302
1781249024.928,0.228,0.381,0.279,0.248,0.310
1781249025.230,0.205,0.309,0.270,0.225,0.376
1781249025.531,0.212,0.306,0.274,0.241,0.252
1781249025.833,0.217,0.310,0.439,0.225,0.303
1781249026.134,0.259,0.320,0.340,0.286,0.253
1781249026.436,0.212,0.352,0.302,0.265,0.379
1781249026.738,0.229,0.371,0.324,0.252,0.239
1781249027.039,0.255,0.311,0.269,0.235,0.250
1781249027.341,0.213,0.360,0.350,0.247,0.252
1781249027.643,0.253,0.422,0.267,0.423,0.297
1781249027.944,0.241,0.333,0.475,0.290,0.274
1781249028.246,0.226,0.349,0.301,0.253,0.227
1781249028.548,0.216,0.276,0.300,0.292,0.550
1781249028.850,0.210,0.293,0.263,0.287,0.252
1781249029.151,0.222,0.325,0.445,0.342,0.333
1781249029.453,0.225,0.420,0.289,0.283,0.244
1781249029.755,0.221,0.271,0.265,0.235,0.251
1781249030.056,0.206,0.333,0.229,0.311,0.332
1781249030.358,0.232,0.300,0.350,0.338,0.287
1781249030.659,0.280,0.328,0.286,0.239,0.256
1781249030.961,0.217,0.353,0.375,0.306,0.226
1781249031.263,0.214,0.274,0.269,0.314,0.318
1781249031.564,0.209,0.268,0.241,0.317,0.238
1781249031.866,0.245,0.295,0.303,0.346,0.258
1781249032.167,0.245,0.387,0.294,0.299,0.314
