seed,arm,elec,t_pause,t_resume,leader_before,leader_after,target_won
1,s1_vanilla,38,1789359683.474622654,1789359701.293382360,4,3,1
1,s1_vanilla,39,1789359715.060394497,1789359737.384304606,3,4,0
1,s1_vanilla,40,1789359751.768822048,1789359769.280952948,4,1,0
1,s1_vanilla,41,1789359783.755402084,1789359801.798160075,1,2,0
1,s1_vanilla,42,1789359816.274968575,1789359833.875458366,2,5,0
1,s1_vanilla,43,1789359848.286906202,1789359866.023158008,5,2,0
1,s1_vanilla,44,1789359880.281872046,1789359897.812541710,2,4,0
1,s1_vanilla,45,1789359912.104511385,1789359930.015808618,4,3,1
1,s1_vanilla,46,1789359942.741738020,1789359965.005337071,3,5,0
1,s1_vanilla,47,1789359979.524132405,1789359997.178711090,5,4,0
1,s1_vanilla,48,1789360011.474592821,1789360029.190037344,4,5,0
1,s1_vanilla,49,1789360041.440445217,1789360059.388004608,5,1,0
1,s1_vanilla,50,1789360074.200483707,1789360091.941533794,1,3,1
1,s1_vanilla,51,1789360105.338275924,1789360127.691227423,3,2,0
1,s1_vanilla,52,1789360141.916209142,1789360160.579842042,2,4,0
1,s1_vanilla,53,1789360175.467093588,1789360193.124657801,4,3,1
1,s1_vanilla,54,1789360207.290174555,1789360229.579411511,3,2,0
1,s1_vanilla,55,1789360244.376967155,1789360262.215263410,2,1,0
1,s1_vanilla,56,1789360277.326196906,1789360295.280182878,1,4,0
1,s1_vanilla,57,1789360309.914940198,1789360327.587377831,4,5,0
1,s1_vanilla,58,1789360341.058629731,1789360358.839689876,5,4,0
1,s1_vanilla,59,1789360373.733128616,1789360391.581533552,4,2,0
1,s1_vanilla,60,1789360406.355848195,1789360424.179545471,2,5,0
1,s1_vanilla,61,1789360438.989033093,1789360456.680896152,5,1,0
1,s1_vanilla,62,1789360471.868206494,1789360490.133827584,1,2,0
1,s1_vanilla,63,1789360504.874792520,1789360523.138669020,2,5,0
1,s1_vanilla,64,1789360538.167120918,1789360556.013034501,5,1,0
1,s1_vanilla,65,1789360571.168099601,1789360589.052994839,1,5,0
1,s1_vanilla,66,1789360604.001125939,1789360621.860798855,5,2,0
1,s1_vanilla,67,1789360636.902360579,1789360654.832552089,2,1,0
1,s1_vanilla,68,1789360670.479140864,1789360688.437962071,1,2,0
1,s1_vanilla,69,1789360703.554817849,1789360721.591598350,2,5,0
1,s1_vanilla,70,1789360736.819513403,1789360754.783976397,5,1,0
1,s1_vanilla,71,1789360770.395893293,1789360788.547238222,1,5,0
1,s1_vanilla,72,1789360803.906681528,1789360822.172787751,5,2,0
1,s1_vanilla,73,1789360837.595777992,1789360855.491854317,2,1,0
1,s1_vanilla,74,1789360871.373248898,1789360889.345888789,1,4,0
1,s1_vanilla,75,1789360904.801883823,1789360922.822875042,4,1,0
1,s1_vanilla,76,1789360938.375599625,1789360956.454370775,1,4,0
1,s1_vanilla,77,1789360972.200330241,1789360990.225327512,4,1,0
1,s1_vanilla,78,1789361006.181343953,1789361024.378633045,1,5,0
1,s1_vanilla,79,1789361039.753243574,1789361057.675231845,5,1,0
1,s1_vanilla,80,1789361073.828769079,1789361091.898483670,1,5,0
1,s1_vanilla,81,1789361107.354413039,1789361125.406627149,5,4,0
1,s1_vanilla,82,1789361141.120504824,1789361159.254257097,4,5,0
1,s1_vanilla,83,1789361174.891203182,1789361193.378168491,5,4,0
1,s1_vanilla,84,1789361208.713872373,1789361226.836676473,4,2,0
1,s1_vanilla,85,1789361242.573320861,1789361260.602602205,2,5,0
1,s1_vanilla,86,1789361276.433607124,1789361294.486704832,5,4,0
1,s1_vanilla,87,1789361310.124370600,1789361328.581537672,4,3,1
1,s1_vanilla,88,1789361342.021100763,1789361364.901298135,3,5,0
1,s1_vanilla,89,1789361381.112164820,1789361399.181899435,5,1,0
1,s1_vanilla,90,1789361411.739642988,1789361429.886924332,1,3,1
1,s1_vanilla,91,1789361442.579739074,1789361465.394806205,3,4,0
1,s1_vanilla,92,1789361478.003426917,1789361496.151144438,4,1,0
1,s1_vanilla,93,1789361508.753968792,1789361526.772928234,1,3,1
1,s1_vanilla,94,1789361539.258258159,1789361562.055050325,3,4,0
1,s1_vanilla,95,1789361574.607561405,1789361592.856035249,4,2,0
1,s1_vanilla,96,1789361605.397022698,1789361623.414611926,2,5,0
1,s1_vanilla,97,1789361635.757631898,1789361653.686872829,5,2,0
1,s1_vanilla,98,1789361666.128231030,1789361684.445328503,2,5,0
1,s1_vanilla,99,1789361696.950315657,1789361714.877504554,5,4,0
