load_tps,seed,median_van,p95_van,p99_van,median_ai,p95_ai,p99_ai,median_bft,p95_bft,p99_bft
100,17,6.291543036114936,11.226242042811991,14.636424315538376,6.161849808169247,9.871504175091166,10.996080961905626,8.862683803102454,14.36755531755095,17.342216369843424
100,18,6.3999656099231785,11.205321131660522,14.129606702472772,6.081836104219201,10.007445073667508,11.73449664360814,8.860306215597781,14.421252415317994,18.11610539731759
100,19,6.414179101048907,11.275408637731527,14.471980301719677,6.330485815391173,10.926558158971691,14.648185541125859,8.559974347704983,13.79070410405869,17.651806767104176
100,20,6.263099657542231,10.75170085349644,13.511984616365897,6.078298145911696,10.256914990412554,14.829733706737741,8.418227262214911,12.9360449399423,15.84421291066425
100,21,6.376947299088634,11.056764880024467,12.689570534443966,6.18229080943151,10.439467582547385,16.12456556480223,8.609752767548873,14.911269728319795,18.619099955471672
100,22,6.20920443436569,9.536291686783892,12.274071718644901,5.982737456601784,9.792337968507326,13.049155287300115,8.606350218256487,14.589271062474447,19.121460667102525
100,23,6.461327395495372,11.723779057080412,15.145318508628323,6.162352966596163,11.193794096046874,13.388486286028835,8.751809291628739,15.017179703415456,21.457226885131615
100,24,6.589670000386936,10.348560688881772,13.88200993445652,6.203393388138647,11.112664747743253,14.080823913513349,8.541868461748162,13.743867153789036,17.297962388366983
100,25,6.595077798679256,12.365608676936564,15.516641870333824,6.285345657113072,10.174859269563242,11.974139945234414,9.133437725606996,14.705705781450224,17.132280390472367
100,26,6.350104333888739,10.244559159812106,12.918479861120165,6.309479460305242,11.388698144260806,16.652153160645494,8.649988380261615,14.381298928973345,20.296053756046927
100,27,6.411025401063324,11.62738151410984,16.10470949029696,6.226976310351219,10.689188262061919,15.349225867743899,8.592985743801147,15.39422716414388,21.64746256495068
100,28,6.296757483046824,11.070996850481906,14.385071128524057,6.212971540362,10.982297227547594,13.02761570019579,8.806973880253008,14.256179058586193,15.991815563301477
100,29,6.1299749743869745,9.691374250998342,13.478858864038246,6.203245604570851,10.235798222715083,11.881023356823906,8.758877894959738,15.178776664137445,16.473203153235154
250,0,6.615434027247419,11.327728541677839,13.163766062449154,6.2880390130275865,10.472599431886609,14.426673367604284,8.6614709666741,14.847367128377899,19.680415439752824
250,1,6.505678165421797,10.326454174125239,15.756734030704138,5.997808881353163,10.022199510864558,13.540861083990439,8.786712622021462,15.749763623154378,22.287460771972167
250,2,6.379201537484505,10.666451480438674,14.065597072047833,6.003857913365916,9.852777814609981,11.684680381915548,8.501008091784385,13.47668057871598,16.506711286309574
250,3,6.813663553967242,11.69629275800271,13.512168127938178,6.249142432953814,10.21736170955825,12.21705409841865,8.268315992482044,14.095365801366086,19.980665850610524
250,4,6.4505005443315895,12.458330218143733,14.340000426944291,6.014374794890001,9.630333116853409,13.44157555548096,8.84510127296969,14.217754316048106,16.06435792209956
250,5,6.572721738479378,9.929467644095086,12.222181977406645,6.0139550677361955,10.455500389355793,15.158370623744643,8.50291793457043,13.800112540154487,16.265026972239642
250,6,6.366024495786142,9.95107198484485,13.963854308821539,6.373919985316422,9.893801331187243,13.073525430962489,8.648458727054601,13.200679619862692,14.96154612511951
250,7,6.452837185560551,10.916026640704267,15.58016418024317,6.110190579859147,9.76681299071786,14.590875410991348,8.628891276909071,14.501615685167646,17.741360909214798
250,8,6.210228317612939,11.288941921122856,15.44339565917762,6.431380304394194,10.53270484088594,13.337771498397966,8.71298939925175,14.439036670021503,16.61918974633768
250,9,6.447328518874734,11.50505879386188,15.229668901018432,6.085244630173204,10.023793986003481,14.131108998103636,8.649574354374966,13.048458636456088,19.247477341490182
250,10,6.4031437512979945,9.986153789883023,11.584131218597868,6.21155569532049,10.59013164810237,13.060693872859149,8.971230487247762,13.861392398165535,18.246099558608808
250,11,6.28075012774781,11.214393163237942,13.226621800714398,6.251401460430671,11.145109938639838,12.844381388701676,8.35199239238677,14.197305863405708,20.645601032343723
250,12,6.508853914449778,11.117045302057264,15.435937929423092,6.272891822946324,10.776464645853677,14.756091963783241,8.706991546128833,15.245954139561626,20.891755233416525
250,13,6.5094980982471835,11.298206746566219,13.585022846198319,6.013662537541269,10.886435291272983,15.936580427640958,8.812810196751059,14.054734502307861,20.77682530207202
250,14,6.247843282183057,11.019403760282112,13.064308899335359,6.102117084594422,12.049552880496973,16.396168869585107,8.747414974809285,15.363748351252408,17.464858919515752
250,15,6.73793686029884,10.769823904317679,13.49579685042989,6.395990331402274,10.16189343541802,13.102695482759229,8.348716937050082,15.46823774716527,19.82359358664571
250,16,6.178424992092515,11.82756513334323,14.797657707702415,6.217587692937265,11.096684652595012,12.896444176585097,8.551907703606474,15.282558300740398,17.99274788336105
250,17,6.291543036114936,11.226242042811991,14.636424315538376,6.161849808169247,9.871504175091166,10.996080961905626,8.862683803102454,14.36755531755095,17.342216369843424
250,18,6.3999656099231785,11.205321131660522,14.129606702472772,6.081836104219201,10.007445073667508,11.73449664360814,8.860306215597781,14.421252415317994,18.11610539731759
250,19,6.414179101048907,11.275408637731527,14.471980301719677,6.330485815391173,10.926558158971691,14.648185541125859,8.559974347704983,13.79070410405869,17.651806767104176
250,20,6.263099657542231,10.75170085349644,13.511984616365897,6.078298145911696,10.256914990412554,14.829733706737741,8.418227262214911,12.9360449399423,15.84421291066425
250,21,6.376947299088634,11.056764880024467,12.689570534443966,6.18229080943151,10.439467582547385,16.12456556480223,8.609752767548873,14.911269728319795,18.619099955471672
250,22,6.20920443436569,9.536291686783892,12.274071718644901,5.982737456601784,9.792337968507326,13.049155287300115,8.606350218256487,14.589271062474447,19.121460667102525
250,23,6.461327395495372,11.723779057080412,15.145318508628323,6.162352966596163,11.193794096046874,13.388486286028835,8.751809291628739,15.017179703415456,21.457226885131615
250,24,6.589670000386936,10.348560688881772,13.88200993445652,6.203393388138647,11.112664747743253,14.080823913513349,8.541868461748162,13.743867153789036,17.297962388366983
250,25,6.595077798679256,12.365608676936564,15.516641870333824,6.285345657113072,10.174859269563242,11.974139945234414,9.133437725606996,14.705705781450224,17.132280390472367
250,26,6.350104333888739,10.244559159812106,12.918479861120165,6.309479460305242,11.388698144260806,16.652153160645494,8.649988380261615,14.381298928973345,20.296053756046927
250,27,6.411025401063324,11.62738151410984,16.10470949029696,6.226976310351219,10.689188262061919,15.349225867743899,8.592985743801147,15.39422716414388,21.64746256495068
250,28,6.296757483046824,11.070996850481906,14.385071128524057,6.212971540362,10.982297227547594,13.02761570019579,8.806973880253008,14.256179058586193,15.991815563301477
250,29,6.1299749743869745,9.691374250998342,13.478858864038246,6.203245604570851,10.235798222715083,11.881023356823906,8.758877894959738,15.178776664137445,16.473203153235154
500,0,6.615434027247419,11.327728541677839,13.163766062449154,6.2880390130275865,10.472599431886609,14.426673367604284,8.6614709666741,14.847367128377899,19.680415439752824
500,1,6.505678165421797,10.326454174125239,15.756734030704138,5.997808881353163,10.022199510864558,13.540861083990439,8.786712622021462,15.749763623154378,22.287460771972167
500,2,6.379201537484505,10.666451480438674,14.065597072047833,6.003857913365916,9.852777814609981,11.684680381915548,8.501008091784385,13.47668057871598,16.506711286309574
500,3,6.813663553967242,11.69629275800271,13.512168127938178,6.249142432953814,10.21736170955825,12.21705409841865,8.268315992482044,14.095365801366086,19.980665850610524
500,4,6.4505005443315895,12.458330218143733,14.340000426944291,6.014374794890001,9.630333116853409,13.44157555548096,8.84510127296969,14.217754316048106,16.06435792209956
500,5,6.572721738479378,9.929467644095086,12.222181977406645,6.0139550677361955,10.455500389355793,15.158370623744643,8.50291793457043,13.800112540154487,16.265026972239642
500,6,6.366024495786142,9.95107198484485,13.963854308821539,6.373919985316422,9.893801331187243,13.073525430962489,8.648458727054601,13.200679619862692,14.96154612511951
500,7,6.452837185560551,10.916026640704267,15.58016418024317,6.110190579859147,9.76681299071786,14.590875410991348,8.628891276909071,14.501615685167646,17.741360909214798
500,8,6.210228317612939,11.288941921122856,15.44339565917762,6.431380304394194,10.53270484088594,13.337771498397966,8.71298939925175,14.439036670021503,16.61918974633768
500,9,6.447328518874734,11.50505879386188,15.229668901018432,6.085244630173204,10.023793986003481,14.131108998103636,8.649574354374966,13.048458636456088,19.247477341490182
500,10,6.4031437512979945,9.986153789883023,11.584131218597868,6.21155569532049,10.59013164810237,13.060693872859149,8.971230487247762,13.861392398165535,18.246099558608808
500,11,6.28075012774781,11.214393163237942,13.226621800714398,6.251401460430671,11.145109938639838,12.844381388701676,8.35199239238677,14.197305863405708,20.645601032343723
500,12,6.508853914449778,11.117045302057264,15.435937929423092,6.272891822946324,10.776464645853677,14.756091963783241,8.706991546128833,15.245954139561626,20.891755233416525
500,13,6.5094980982471835,11.298206746566219,13.585022846198319,6.013662537541269,10.886435291272983,15.936580427640958,8.812810196751059,14.054734502307861,20.77682530207202
500,14,6.247843282183057,11.019403760282112,13.064308899335359,6.102117084594422,12.049552880496973,16.396168869585107,8.747414974809285,15.363748351252408,17.464858919515752
500,15,6.73793686029884,10.769823904317679,13.49579685042989,6.395990331402274,10.16189343541802,13.102695482759229,8.348716937050082,15.46823774716527,19.82359358664571
500,16,6.178424992092515,11.82756513334323,14.797657707702415,6.217587692937265,11.096684652595012,12.896444176585097,8.551907703606474,15.282558300740398,17.99274788336105
500,17,6.291543036114936,11.226242042811991,14.636424315538376,6.161849808169247,9.871504175091166,10.996080961905626,8.862683803102454,14.36755531755095,17.342216369843424
500,18,6.3999656099231785,11.205321131660522,14.129606702472772,6.081836104219201,10.007445073667508,11.73449664360814,8.860306215597781,14.421252415317994,18.11610539731759
500,19,6.414179101048907,11.275408637731527,14.471980301719677,6.330485815391173,10.926558158971691,14.648185541125859,8.559974347704983,13.79070410405869,17.651806767104176
500,20,6.263099657542231,10.75170085349644,13.511984616365897,6.078298145911696,10.256914990412554,14.829733706737741,8.418227262214911,12.9360449399423,15.84421291066425
500,21,6.376947299088634,11.056764880024467,12.689570534443966,6.18229080943151,10.439467582547385,16.12456556480223,8.609752767548873,14.911269728319795,18.619099955471672
500,22,6.20920443436569,9.536291686783892,12.274071718644901,5.982737456601784,9.792337968507326,13.049155287300115,8.606350218256487,14.589271062474447,19.121460667102525
500,23,6.461327395495372,11.723779057080412,15.145318508628323,6.162352966596163,11.193794096046874,13.388486286028835,8.751809291628739,15.017179703415456,21.457226885131615
500,24,6.589670000386936,10.348560688881772,13.88200993445652,6.203393388138647,11.112664747743253,14.080823913513349,8.541868461748162,13.743867153789036,17.297962388366983
500,25,6.595077798679256,12.365608676936564,15.516641870333824,6.285345657113072,10.174859269563242,11.974139945234414,9.133437725606996,14.705705781450224,17.132280390472367
500,26,6.350104333888739,10.244559159812106,12.918479861120165,6.309479460305242,11.388698144260806,16.652153160645494,8.649988380261615,14.381298928973345,20.296053756046927
500,27,6.411025401063324,11.62738151410984,16.10470949029696,6.226976310351219,10.689188262061919,15.349225867743899,8.592985743801147,15.39422716414388,21.64746256495068
500,28,6.296757483046824,11.070996850481906,14.385071128524057,6.212971540362,10.982297227547594,13.02761570019579,8.806973880253008,14.256179058586193,15.991815563301477
500,29,6.1299749743869745,9.691374250998342,13.478858864038246,6.203245604570851,10.235798222715083,11.881023356823906,8.758877894959738,15.178776664137445,16.473203153235154
1000,0,6.615434027247419,11.327728541677839,13.163766062449154,6.2880390130275865,10.472599431886609,14.426673367604284,8.6614709666741,14.847367128377899,19.680415439752824
1000,1,6.505678165421797,10.326454174125239,15.756734030704138,5.997808881353163,10.022199510864558,13.540861083990439,8.786712622021462,15.749763623154378,22.287460771972167
1000,2,6.379201537484505,10.666451480438674,14.065597072047833,6.003857913365916,9.852777814609981,11.684680381915548,8.501008091784385,13.47668057871598,16.506711286309574
1000,3,6.813663553967242,11.69629275800271,13.512168127938178,6.249142432953814,10.21736170955825,12.21705409841865,8.268315992482044,14.095365801366086,19.980665850610524
1000,4,6.4505005443315895,12.458330218143733,14.340000426944291,6.014374794890001,9.630333116853409,13.44157555548096,8.84510127296969,14.217754316048106,16.06435792209956
1000,5,6.572721738479378,9.929467644095086,12.222181977406645,6.0139550677361955,10.455500389355793,15.158370623744643,8.50291793457043,13.800112540154487,16.265026972239642
1000,6,6.366024495786142,9.95107198484485,13.963854308821539,6.373919985316422,9.893801331187243,13.073525430962489,8.648458727054601,13.200679619862692,14.96154612511951
1000,7,6.452837185560551,10.916026640704267,15.58016418024317,6.110190579859147,9.76681299071786,14.590875410991348,8.628891276909071,14.501615685167646,17.741360909214798
1000,8,6.210228317612939,11.288941921122856,15.44339565917762,6.431380304394194,10.53270484088594,13.337771498397966,8.71298939925175,14.439036670021503,16.61918974633768
1000,9,6.447328518874734,11.50505879386188,15.229668901018432,6.085244630173204,10.023793986003481,14.131108998103636,8.649574354374966,13.048458636456088,19.247477341490182
