loss,jitter,seed,failover_van,failover_ai,storm_rate_van,storm_rate_ai
0.0,30.0,15,261.7745952412871,148.18483546438182,0.0,0.0
0.0,30.0,16,254.04190263217245,145.85957426234052,0.0,0.0
0.0,30.0,17,256.39611412587396,144.63891036819115,0.0,0.0
0.0,30.0,18,263.57473883576256,139.23811817700067,0.0,0.0
0.0,30.0,19,261.3137515993541,148.258357306852,0.0,0.0
0.0,30.0,20,265.437854622984,146.8147229809517,0.0,0.0
0.0,30.0,21,265.5328925347915,146.7380209894598,0.0,0.0
0.0,30.0,22,251.50926594631437,141.91454628366566,0.0,0.0
0.0,30.0,23,263.40154443063443,151.02895961807837,0.0,0.0
0.0,30.0,24,256.5783793241229,146.25757032946325,0.0,0.0
0.0,30.0,25,274.2652204913809,150.03563301992023,0.0,0.0
0.0,30.0,26,257.2864614833301,144.45492211194738,0.0,0.0
0.0,30.0,27,271.1160665917607,149.33765394272743,0.0,0.0
0.0,30.0,28,271.23126049946325,145.50712540302752,0.0,0.0
0.0,30.0,29,258.68087159357117,150.70987894906767,0.0,0.0
0.01,1.0,0,266.90865348997687,147.7854839804894,0.02,0.0
0.01,1.0,1,261.05736355211775,145.49598840522967,0.0,0.0
0.01,1.0,2,250.3223844563083,150.7513117497431,0.02,0.0
0.01,1.0,3,268.76515454485695,145.82339899564585,0.01,0.0
0.01,1.0,4,265.7365790935461,148.12063450680924,0.02,0.0
0.01,1.0,5,257.309962865682,149.97672818228568,0.0,0.01
0.01,1.0,6,273.2717013646989,150.4864309084058,0.01,0.0
0.01,1.0,7,258.50302658170796,144.14677730296108,0.01,0.0
0.01,1.0,8,260.1669563660513,146.85576542820462,0.0,0.0
0.01,1.0,9,265.16782145510655,146.2152986273766,0.0,0.0
0.01,1.0,10,254.22535626868938,145.52447009510536,0.0,0.01
0.01,1.0,11,257.266740964732,140.79744488079953,0.0,0.0
0.01,1.0,12,263.8187463381645,140.60383675606965,0.02,0.0
0.01,1.0,13,256.00883865511275,145.46572985736458,0.01,0.0
0.01,1.0,14,267.8297461563752,145.80241494068844,0.0,0.0
0.01,1.0,15,265.27397676137855,146.95966205012286,0.01,0.01
0.01,1.0,16,255.71525734666608,146.92955582409905,0.0,0.01
0.01,1.0,17,249.95794200721176,142.1322150871653,0.0,0.01
