pred_auc,seed,mean_failover,gain_pct,safety_violations
0.5,11,255.00824269991202,1.5412190347830048,0
0.5,12,249.5106767897187,3.6638313553209647,0
0.5,13,264.22186663287795,-2.016164723118899,0
0.5,14,257.063955779572,0.747507421014678,0
0.5,15,261.1676550290193,-0.8369324436367847,0
0.5,16,258.30493536311803,0.2683647246648518,0
0.5,17,257.77595225755283,0.472605305964158,0
0.5,18,260.19664985230696,-0.46202697000268794,0
0.5,19,259.5305764526696,-0.20485577323150836,0
0.5,20,259.83456726617607,-0.32222674369732274,0
0.5,21,267.13867431147116,-3.1423452940043104,0
0.5,22,255.0940647132197,1.5080831223089983,0
0.5,23,261.117314130018,-0.8174958030957428,0
0.5,24,258.31564843107213,0.2642284049914541,0
0.5,25,250.35106413479645,3.3393574769125696,0
0.5,26,261.8301536225723,-1.0927234063985758,0
0.5,27,260.23018197073213,-0.47497373387341035,0
0.5,28,265.06425954486235,-2.341412951684306,0
0.5,29,255.510636530134,1.3472445829598425,0
0.2,0,265.426665586435,-2.4813380642606093,0
0.2,1,257.8377660068465,0.4487389934955624,0
0.2,2,262.64086706344926,-1.4057401789379396,0
0.2,3,261.6080831240976,-1.0069819011959915,0
0.2,4,267.27045916645415,-3.193227477395423,0
0.2,5,255.78482022799975,1.2413821513514498,0
0.2,6,259.9534818528581,-0.36813971152822006,0
0.2,7,259.29091779342065,-0.1123234723631841,0
0.2,8,262.61279858352407,-1.3949029280015706,0
0.2,9,260.6759147298578,-0.6470713242694296,0
0.2,10,254.05299169009703,1.910041818495355,0
0.2,11,255.00824269991202,1.5412190347830048,0
0.2,12,249.5106767897187,3.6638313553209647,0
0.2,13,264.22186663287795,-2.016164723118899,0
0.2,14,257.063955779572,0.747507421014678,0
0.2,15,261.1676550290193,-0.8369324436367847,0
0.2,16,258.30493536311803,0.2683647246648518,0
0.2,17,257.77595225755283,0.472605305964158,0
0.2,18,260.19664985230696,-0.46202697000268794,0
0.2,19,259.5305764526696,-0.20485577323150836,0
0.2,20,259.83456726617607,-0.32222674369732274,0
0.2,21,267.13867431147116,-3.1423452940043104,0
0.2,22,255.0940647132197,1.5080831223089983,0
0.2,23,261.117314130018,-0.8174958030957428,0
0.2,24,258.31564843107213,0.2642284049914541,0
0.2,25,250.35106413479645,3.3393574769125696,0
0.2,26,261.8301536225723,-1.0927234063985758,0
0.2,27,260.23018197073213,-0.47497373387341035,0
0.2,28,265.06425954486235,-2.341412951684306,0
0.2,29,255.510636530134,1.3472445829598425,0
0.0,0,265.426665586435,-2.4813380642606093,0
0.0,1,257.8377660068465,0.4487389934955624,0
0.0,2,262.64086706344926,-1.4057401789379396,0
0.0,3,261.6080831240976,-1.0069819011959915,0
0.0,4,267.27045916645415,-3.193227477395423,0
0.0,5,255.78482022799975,1.2413821513514498,0
0.0,6,259.9534818528581,-0.36813971152822006,0
0.0,7,259.29091779342065,-0.1123234723631841,0
0.0,8,262.61279858352407,-1.3949029280015706,0
0.0,9,260.6759147298578,-0.6470713242694296,0
0.0,10,254.05299169009703,1.910041818495355,0
0.0,11,255.00824269991202,1.5412190347830048,0
0.0,12,249.5106767897187,3.6638313553209647,0
0.0,13,264.22186663287795,-2.016164723118899,0
0.0,14,257.063955779572,0.747507421014678,0
0.0,15,261.1676550290193,-0.8369324436367847,0
0.0,16,258.30493536311803,0.2683647246648518,0
0.0,17,257.77595225755283,0.472605305964158,0
0.0,18,260.19664985230696,-0.46202697000268794,0
0.0,19,259.5305764526696,-0.20485577323150836,0
0.0,20,259.83456726617607,-0.32222674369732274,0
0.0,21,267.13867431147116,-3.1423452940043104,0
0.0,22,255.0940647132197,1.5080831223089983,0
0.0,23,261.117314130018,-0.8174958030957428,0
0.0,24,258.31564843107213,0.2642284049914541,0
0.0,25,250.35106413479645,3.3393574769125696,0
0.0,26,261.8301536225723,-1.0927234063985758,0
0.0,27,260.23018197073213,-0.47497373387341035,0
0.0,28,265.06425954486235,-2.341412951684306,0
0.0,29,255.510636530134,1.3472445829598425,0
