rho,seed,ECE,Brier
0.4,21,0.3940960947175821,0.24717398486088715
0.4,22,0.3899237003425757,0.24755317624349898
0.4,23,0.3905612380305926,0.2457919697456026
0.4,24,0.3894808899362882,0.2462292563666035
0.4,25,0.3907820817828178,0.2455007121019159
0.4,26,0.39470307673017185,0.24758728327947346
0.4,27,0.3933977299928665,0.24612553763651523
0.4,28,0.3943680184582869,0.24592351032234025
0.4,29,0.3933652164041996,0.24617958466484557
0.6,0,0.3549347891906897,0.1938240560229567
0.6,1,0.3533626932402452,0.1947003859438174
0.6,2,0.35364040702581406,0.1927231017451476
0.6,3,0.35577142238616943,0.1949051295705064
0.6,4,0.353656844496727,0.19295926449231798
0.6,5,0.35486972247560816,0.19441158448296417
0.6,6,0.3542446055511634,0.1932616787797294
0.6,7,0.3533822517096996,0.19195193658320367
0.6,8,0.35413026372591655,0.19345080142297089
0.6,9,0.3547616891066233,0.19387546621896698
0.6,10,0.35476725225647293,0.1940965768830882
0.6,11,0.35437950784961375,0.19348937662065124
0.6,12,0.3532744149367014,0.19168596490260517
0.6,13,0.35457082718610766,0.193831260447737
0.6,14,0.3558660568793615,0.1948096882513029
0.6,15,0.3543664548297723,0.19377090633176414
0.6,16,0.35608114858468376,0.19491863684017746
0.6,17,0.3548093616962433,0.19431502067043888
0.6,18,0.3539933716754119,0.19288236803215036
0.6,19,0.3546018835902214,0.19349346576148135
0.6,20,0.35520264893770215,0.19437311567775273
0.6,21,0.3550089127818743,0.19407347252978505
0.6,22,0.3548373089730739,0.19438313233271806
0.6,23,0.3538663132985433,0.19248672730869723
0.6,24,0.35450102443496384,0.19334540040138176
0.6,25,0.35426381647586824,0.19247946489060566
0.6,26,0.35564964840809504,0.19453491783645596
0.6,27,0.3543004415929317,0.193158449659596
0.6,28,0.3538272654016812,0.19283447784211422
0.6,29,0.3541169714927674,0.19305053775620795
0.8,0,0.3147945478061835,0.14758964243118702
0.8,1,0.31404938859244186,0.14776978022771617
0.8,2,0.3134542235732079,0.14658122400989912
0.8,3,0.31571262881159784,0.1486289912904047
0.8,4,0.31348843380808833,0.1467984181039497
0.8,5,0.3146727089335521,0.14804555543989784
0.8,6,0.31388521204392117,0.14684197021406584
0.8,7,0.3132328327000141,0.14592389604806671
0.8,8,0.3135356779396534,0.14677169166784773
0.8,9,0.3144594794511795,0.14744491820017075
0.8,10,0.31460206769406796,0.1477777619029971
0.8,11,0.31461088309685387,0.14766516295316665
0.8,12,0.31333223919073744,0.1459655745825607
0.8,13,0.31446645354231195,0.1476137776439497
0.8,14,0.3154668858150641,0.14818986705482948
0.8,15,0.3141584278394779,0.1474559883820048
0.8,16,0.3154891266922156,0.1480740356884725
0.8,17,0.31495872798065344,0.14831252885318538
0.8,18,0.3140794486055772,0.14701790501209966
0.8,19,0.3148643989861011,0.14772619456414646
0.8,20,0.31491034309069316,0.1478965974685702
0.8,21,0.31462920978665343,0.14751392605511573
0.8,22,0.31438074390093484,0.1476962908809011
0.8,23,0.31354064544041954,0.14626027019902252
0.8,24,0.31429972777764004,0.14710934422223235
0.8,25,0.31402477358778313,0.14631873709884677
0.8,26,0.3152973790218433,0.1480156100577745
0.8,27,0.3141436306387186,0.14700408913345006
0.8,28,0.31365673025449115,0.1466596672982458
0.8,29,0.31406118745605155,0.1469847710724171
