delta,seed,empirical,theory
0.2,9,0.5504694444444443,0.5562314580091424
0.2,10,0.6313722222222222,0.5562314580091424
0.2,11,0.5818416666666667,0.5562314580091424
0.2,12,0.5917777777777777,0.5562314580091424
0.2,13,0.5409638888888889,0.5562314580091424
0.2,14,0.5971055555555556,0.5562314580091424
0.2,15,0.6101361111111111,0.5562314580091424
0.2,16,0.590325,0.5562314580091424
0.2,17,0.5438888888888889,0.5562314580091424
0.2,18,0.5318444444444443,0.5562314580091424
0.2,19,0.5958138888888889,0.5562314580091424
0.2,20,0.5333249999999999,0.5562314580091424
0.2,21,0.5104361111111111,0.5562314580091424
0.2,22,0.5366666666666666,0.5562314580091424
0.2,23,0.5382861111111111,0.5562314580091424
0.2,24,0.5232722222222222,0.5562314580091424
0.2,25,0.5277583333333333,0.5562314580091424
0.2,26,0.5944472222222222,0.5562314580091424
0.2,27,0.5461305555555556,0.5562314580091424
0.2,28,0.5373277777777778,0.5562314580091424
0.2,29,0.5353944444444444,0.5562314580091424
0.3,0,0.6136861111111112,0.5839979857136818
0.3,1,0.6958305555555556,0.5839979857136818
0.3,2,0.7091666666666667,0.5839979857136818
0.3,3,0.5056027777777778,0.5839979857136818
0.3,4,0.5228638888888888,0.5839979857136818
0.3,5,0.6783638888888889,0.5839979857136818
0.3,6,0.6627833333333333,0.5839979857136818
0.3,7,0.6343277777777778,0.5839979857136818
0.3,8,0.6246666666666666,0.5839979857136818
0.3,9,0.5602416666666666,0.5839979857136818
0.3,10,0.6404222222222221,0.5839979857136818
0.3,11,0.5724666666666667,0.5839979857136818
0.3,12,0.6007527777777778,0.5839979857136818
0.3,13,0.5313472222222222,0.5839979857136818
0.3,14,0.5876694444444444,0.5839979857136818
0.3,15,0.6187083333333334,0.5839979857136818
0.3,16,0.5996027777777777,0.5839979857136818
0.3,17,0.5535416666666666,0.5839979857136818
0.3,18,0.5418361111111112,0.5839979857136818
0.3,19,0.5863805555555556,0.5839979857136818
0.3,20,0.542875,0.5839979857136818
0.3,21,0.5012333333333333,0.5839979857136818
0.3,22,0.5275416666666666,0.5839979857136818
0.3,23,0.5287305555555556,0.5839979857136818
0.3,24,0.5126277777777777,0.5839979857136818
0.3,25,0.5367861111111112,0.5839979857136818
0.3,26,0.6037666666666667,0.5839979857136818
0.3,27,0.5365388888888889,0.5839979857136818
0.3,28,0.546725,0.5839979857136818
0.3,29,0.5264361111111111,0.5839979857136818
0.5,0,0.6333944444444445,0.6381631950841185
0.5,1,0.7126027777777777,0.6381631950841185
0.5,2,0.7250166666666666,0.6381631950841185
0.5,3,0.525036111111111,0.6381631950841185
0.5,4,0.5422333333333333,0.6381631950841185
0.5,5,0.6945694444444444,0.6381631950841185
0.5,6,0.6805416666666667,0.6381631950841185
0.5,7,0.6523138888888889,0.6381631950841185
0.5,8,0.6429583333333333,0.6381631950841185
0.5,9,0.5806722222222221,0.6381631950841185
0.5,10,0.6581999999999999,0.6381631950841185
0.5,11,0.5538222222222222,0.6381631950841185
0.5,12,0.6184194444444444,0.6381631950841185
0.5,13,0.5123972222222222,0.6381631950841185
0.5,14,0.5684944444444444,0.6381631950841185
0.5,15,0.6355722222222222,0.6381631950841185
0.5,16,0.6176694444444444,0.6381631950841185
0.5,17,0.5733722222222223,0.6381631950841185
0.5,18,0.5615444444444444,0.6381631950841185
0.5,19,0.5672,0.6381631950841185
0.5,20,0.5623638888888889,0.6381631950841185
0.5,21,0.5174138888888888,0.6381631950841185
0.5,22,0.5093388888888889,0.6381631950841185
0.5,23,0.5090666666666667,0.6381631950841185
0.5,24,0.5085361111111111,0.6381631950841185
0.5,25,0.5546555555555556,0.6381631950841185
0.5,26,0.6223444444444445,0.6381631950841185
0.5,27,0.5175388888888889,0.6381631950841185
0.5,28,0.5653666666666666,0.6381631950841185
0.5,29,0.5088027777777778,0.6381631950841185
0.75,0,0.6581555555555556,0.7020584547174111
0.75,1,0.73255,0.7020584547174111
0.75,2,0.7438833333333333,0.7020584547174111
0.75,3,0.5491555555555556,0.7020584547174111
0.75,4,0.5665416666666667,0.7020584547174111
0.75,5,0.7147055555555556,0.7020584547174111
0.75,6,0.7022083333333334,0.7020584547174111
0.75,7,0.6746555555555556,0.7020584547174111
0.75,8,0.6651666666666667,0.7020584547174111
0.75,9,0.6047333333333333,0.7020584547174111
0.75,10,0.6802305555555556,0.7020584547174111
0.75,11,0.5300916666666666,0.7020584547174111
0.75,12,0.6399555555555555,0.7020584547174111
0.75,13,0.5110444444444444,0.7020584547174111
