condition,election,prev_leader,new_leader,target_won,live,advisors_alive
attack_class_ar1,26,2,3,1,1,7
attack_class_ar1,27,3,2,0,1,7
attack_class_ar1,28,2,7,0,1,7
attack_class_ar1,29,7,2,0,1,7
attack_class_ar1,30,2,6,0,1,7
attack_class_ar1,31,6,2,0,1,7
attack_class_ar1,32,2,4,0,1,7
attack_class_ar1,33,4,7,0,1,7
attack_class_ar1,34,7,1,0,1,7
attack_class_ar1,35,1,3,1,1,7
attack_class_ar1,36,3,6,0,1,7
attack_class_ar1,37,6,2,0,1,7
attack_class_ar1,38,2,3,1,1,7
attack_class_ar1,39,3,1,0,1,7
attack_class_ar1,40,1,5,0,1,7
