load_tps,seed,p50_van,p99_van,p50_ai,p99_ai,p50_bft,p99_bft
1500,17,6.318802739848882,13.985723508417971,6.095332354381008,13.269169225905921,20.23454028111685,27.67368916841356
1500,18,6.3816556585419,14.129606702472772,6.109576024333509,11.113396035887526,20.481484590224593,32.28387002131297
1500,19,6.473007185982935,14.471980301719677,6.3190751664907285,12.57561129563705,20.226729860859606,31.63020101820704
1500,20,6.311922489108328,13.511984616365897,6.136411619568395,12.623167031885252,20.4508976348283,30.469307722683688
1500,21,6.396757214565116,14.20429656625277,6.292163918050271,12.0436920858903,20.500267229922784,31.842875108114193
1500,22,6.327679954222367,12.908591668204455,6.124881696734425,13.105560236571915,20.29090674583656,30.81250993980254
1500,23,6.447800887815381,14.619985749278886,6.230096057448604,12.539550074569677,19.93245387576041,32.39522872719908
1500,24,6.589827998455503,13.35467674623796,6.313961163833151,13.176337839679526,20.296294268683333,30.180818987611815
1500,25,6.595077798679256,14.932397471101112,6.361363956682857,12.312347433032572,20.049166801935996,30.747105307532415
1500,26,6.371784170774445,13.08118765088925,6.329394593626008,13.82815729655852,20.226195890192315,30.864401900801376
1500,27,6.4895882697264256,15.06326003708585,6.479973363162502,14.583567039665779,20.27894464508541,31.129061634020577
1500,28,6.456723267384325,14.25475742394131,6.317292741244106,13.217969168899499,20.548246231855803,29.688229447713905
1500,29,6.198318724533443,13.478858864038246,6.229592579502054,11.861460427459424,20.31372598870453,30.859578553023365
2000,0,8.802934832805956,19.265536077792873,8.383389305061462,16.24686703046846,26.82173180767591,44.073610869794685
2000,1,8.52185840540307,18.600586651710255,8.19987916746765,16.95990517706516,27.35276276077694,41.07150804919382
2000,2,8.318049947864212,16.595187922943317,8.219015331162957,15.331467731698234,27.269831951186937,42.18625983723998
2000,3,9.067222105503953,18.5103958167468,8.113149914004964,15.582313169440045,27.0168845817093,41.81086728005896
2000,4,8.628843271663627,19.09421678487745,8.238354076457124,17.235444859097672,27.020430826996467,41.31780051577339
2000,5,8.739534882239276,16.296242636542193,8.15831934312984,16.719140878998783,27.215986268314452,44.79274884666413
2000,6,8.42171499817286,18.06777957450429,8.36610772289505,15.891180277122112,27.17106080209733,43.93459659862016
2000,7,8.60297119584703,20.206154996735403,8.212171808326246,18.160721951586662,27.181644697540396,41.53835225327721
2000,8,8.379553231294818,20.09267363357892,8.426031050241997,17.640670994606282,27.16020821311115,42.90255307444954
2000,9,8.59643802516631,18.32011983262718,8.188749496548635,17.62087637031592,27.30619764976976,41.85780398980817
2000,10,8.595182275539342,15.445508291463824,8.488352574081503,16.403400731804354,27.25435695590629,41.83265436707014
2000,11,8.418648662323836,17.65262933537034,8.345741320452538,17.131845571744073,27.170308705196703,39.140430827054274
2000,12,8.738763689471174,18.313719311446466,8.478293820914645,18.780546164080697,27.409075430826324,41.26807883722804
2000,13,8.680006817174306,18.78794150430961,8.533477065488466,17.405582531570552,27.07698736269564,42.366063910320754
2000,14,8.385331848399241,17.780726302728443,8.279254574488206,16.317193787572084,27.624375413815407,39.62015077144387
2000,15,8.992932975617846,17.899731865946805,8.235539724563838,16.440465412381354,27.255861654192884,40.214317454386226
2000,16,8.473251614714593,23.076516371528225,8.310911014304756,16.7901718984916,27.328519349270383,45.174369910466055
2000,17,8.42507031979851,18.647631344557293,8.127109805841343,17.692225634541227,26.979387041489133,36.898252224551406
2000,18,8.5088742113892,18.83947560329703,8.146101365778012,14.817861381183368,27.308646120299457,43.04516002841729
2000,19,8.630676247977245,19.295973735626234,8.425433555320971,16.767481727516067,26.968973147812807,42.173601357609385
2000,20,8.415896652144436,18.01597948848786,8.181882159424525,16.830889375847,27.2678635131044,40.62574363024491
2000,21,8.529009619420155,18.939062088337025,8.389551890733694,16.058256114520397,27.333689639897045,42.45716681081892
2000,22,8.436906605629822,17.211455557605937,8.166508928979233,17.474080315429216,27.054542327782073,41.08334658640338
2000,23,8.597067850420508,19.493314332371845,8.306794743264804,16.71940009942623,26.576605167680547,43.19363830293211
2000,24,8.786437331274001,17.80623566165061,8.418614885110868,17.568450452906035,27.061725691577777,40.24109198348242
2000,25,8.793437064905675,19.90986329480148,8.481818608910476,16.41646324404343,26.732222402581325,40.99614041004322
2000,26,8.49571222769926,17.441583534518998,8.439192791501343,18.437543062078028,26.968261186923087,41.15253586773517
2000,27,8.652784359635234,20.084346716114467,8.63996448421667,19.4447560528877,27.03859286011388,41.50541551202743
2000,28,8.608964356512434,19.006343231921743,8.423056988325474,17.623958891865996,27.397661642474404,39.584305930285204
2000,29,8.26442496604459,17.971811818717658,8.306123439336071,15.815280569945898,27.08496798493937,41.14610473736448
