intensity,seed,auc,fp_rate,tp_rate
0.2,28,0.9989111111111111,0.32166666666666666,1.0
0.2,29,0.9994972222222223,0.3016666666666667,1.0
0.3,0,0.9986472222222222,0.31833333333333336,1.0
0.3,1,0.9986277777777778,0.2916666666666667,1.0
0.3,2,0.9988027777777778,0.29,1.0
0.3,3,0.9975583333333333,0.30333333333333334,1.0
0.3,4,0.9988277777777778,0.31666666666666665,1.0
0.3,5,0.9969805555555555,0.29,1.0
0.3,6,0.9984916666666667,0.28833333333333333,1.0
0.3,7,0.9979916666666666,0.3383333333333333,1.0
0.3,8,0.9985305555555556,0.31166666666666665,1.0
0.3,9,0.997725,0.305,1.0
0.3,10,0.9973444444444444,0.33166666666666667,1.0
0.3,11,0.9965944444444444,0.30666666666666664,1.0
0.3,12,0.9975444444444445,0.30666666666666664,1.0
0.3,13,0.9984833333333333,0.30333333333333334,1.0
0.3,14,0.9984638888888889,0.2816666666666667,1.0
0.3,15,0.9984722222222222,0.2783333333333333,1.0
0.3,16,0.9973694444444444,0.2833333333333333,1.0
0.3,17,0.9987916666666666,0.265,1.0
0.3,18,0.998225,0.2833333333333333,1.0
0.3,19,0.9988222222222223,0.29333333333333333,1.0
0.3,20,0.9976611111111111,0.2833333333333333,1.0
0.3,21,0.9978277777777778,0.315,1.0
0.3,22,0.997275,0.31,1.0
0.3,23,0.9939583333333333,0.345,1.0
0.3,24,0.9980611111111111,0.28,1.0
0.3,25,0.9982722222222222,0.2633333333333333,1.0
0.3,26,0.9987444444444444,0.31333333333333335,1.0
0.3,27,0.9969083333333333,0.31,1.0
0.3,28,0.9989111111111111,0.32166666666666666,1.0
0.3,29,0.9994972222222223,0.3016666666666667,1.0
0.5,0,0.9986444444444444,0.31833333333333336,1.0
0.5,1,0.9986222222222222,0.2916666666666667,1.0
0.5,2,0.9988,0.29,1.0
0.5,3,0.9975638888888889,0.30333333333333334,1.0
0.5,4,0.9988277777777778,0.31666666666666665,1.0
0.5,5,0.9969833333333333,0.29,1.0
0.5,6,0.9984888888888889,0.28833333333333333,1.0
0.5,7,0.9979944444444444,0.3383333333333333,1.0
0.5,8,0.9985305555555556,0.31166666666666665,1.0
0.5,9,0.9977277777777778,0.305,1.0
