arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,11,5,2,3;9,3,9,1786284606.297801129,1786284619.881906510,W1,2,2,3;9,0,4,2,2,9;3,0,4,4,0,2,0,1
A_vanilla,11,5,2,3;9,3,10,1786284619.888685227,1786284633.469859429,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,9,1,1
B_oracle,11,5,2,3;9,3,1,1786284642.037578716,1786284655.644402985,W1,2,2,3;9,0,4,2,2,3;9,0,4,9,1,6,0,1
B_oracle,11,5,2,3;9,3,2,1786284655.655150776,1786284669.251975287,W1,2,2,3;9,0,4,2,2,3;9,0,4,6,0,11,0,1
B_oracle,11,5,2,3;9,3,3,1786284669.264764840,1786284682.832291547,W1,2,2,3;9,0,4,2,2,3;9,0,4,11,0,8,0,1
B_oracle,11,5,2,3;9,3,4,1786284682.844929926,1786284696.425988250,W1,2,2,3;9,0,4,2,2,3;9,0,4,8,0,2,0,1
B_oracle,11,5,2,3;9,3,5,1786284696.436400128,1786284710.023858953,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,4,0,1
B_oracle,11,5,2,3;9,3,6,1786284710.030020584,1786284723.591629630,W1,2,2,9;3,0,4,2,2,9;3,0,4,4,0,6,0,1
B_oracle,11,5,2,3;9,3,7,1786284723.605784810,1786284737.184067006,W1,2,2,9;3,0,4,2,2,9;3,0,4,6,0,1,0,1
B_oracle,11,5,2,3;9,3,8,1786284737.188579382,1786284750.792438915,W1,2,2,9;3,0,4,2,2,9;3,0,4,1,0,4,0,1
B_oracle,11,5,2,3;9,3,9,1786284750.816964905,1786284764.415627567,W1,2,2,9;3,0,4,2,2,9;3,0,4,4,0,11,0,1
B_oracle,11,5,2,3;9,3,10,1786284764.428850692,1786284777.977923837,W1,2,2,3;9,0,4,2,2,3;9,0,4,11,0,1,0,1
C_predictor,11,5,2,3;9,3,1,1786284786.337054701,1786284799.962616165,W1,2,2,3;9,0,4,2,2,3;9,0,4,1,0,10,0,1
C_predictor,11,5,2,3;9,3,2,1786284799.966136863,1786284813.602693278,W1,2,2,3;9,0,4,2,2,9;3,0,4,10,0,0,0,0
C_predictor,11,5,2,3;9,3,3,1786284813.615915631,1786284827.241537228,W1,2,2,9;3,0,4,2,2,3;9,0,4,11,0,8,0,1
C_predictor,11,5,2,3;9,3,4,1786284827.247147527,1786284840.850228215,W1,2,2,3;9,0,4,2,2,3;9,0,4,8,0,2,0,1
C_predictor,11,5,2,3;9,3,5,1786284840.853879289,1786284854.523711442,W1,2,2,3;9,0,4,2,2,3;9,0,4,2,0,6,0,1
C_predictor,11,5,2,3;9,3,6,1786284854.529181070,1786284868.106296903,W1,2,2,3;9,0,4,2,2,3;9,0,4,6,0,10,0,1
C_predictor,11,5,2,3;9,3,7,1786284868.114665066,1786284881.798741529,W1,2,2,9;3,0,4,2,2,9;3,0,4,10,0,8,0,1
