# start rate=10 seed=6 dur=420 n=7 target=3 events=41
112.5 fp=[1] true=[3] merged=[1, 3]
112.8 fp=[1] true=[3] merged=[1, 3]
113.1 fp=[1] true=[3] merged=[1, 3]
113.4 fp=[1] true=[3] merged=[1, 3]
113.8 fp=[1] true=[3] merged=[1, 3]
114.1 fp=[1] true=[3] merged=[1, 3]
114.4 fp=[1] true=[3] merged=[1, 3]
114.7 fp=[1] true=[3] merged=[1, 3]
115.0 fp=[1] true=[3] merged=[1, 3]
115.3 fp=[1] true=[3] merged=[1, 3]
115.6 fp=[1] true=[3] merged=[1, 3]
116.0 fp=[1] true=[3] merged=[1, 3]
116.3 fp=[1] true=[3] merged=[1, 3]
116.6 fp=[1] true=[3] merged=[1, 3]
116.9 fp=[1] true=[3] merged=[1, 3]
117.2 fp=[1] true=[3] merged=[1, 3]
117.5 fp=[1] true=[3] merged=[1, 3]
117.8 fp=[1] true=[3] merged=[1, 3]
118.1 fp=[1] true=[3] merged=[1, 3]
118.4 fp=[1] true=[3] merged=[1, 3]
118.8 fp=[1] true=[3] merged=[1, 3]
119.1 fp=[1] true=[3] merged=[1, 3]
119.4 fp=[1] true=[3] merged=[1, 3]
119.7 fp=[1] true=[3] merged=[1, 3]
120.0 fp=[1] true=[3] merged=[1, 3]
120.3 fp=[1] true=[3] merged=[1, 3]
120.6 fp=[1] true=[3] merged=[1, 3]
120.9 fp=[1] true=[3] merged=[1, 3]
121.2 fp=[1] true=[3] merged=[1, 3]
121.6 fp=[1] true=[3] merged=[1, 3]
121.9 fp=[1] true=[3] merged=[1, 3]
122.2 fp=[1] true=[3] merged=[1, 3]
122.5 fp=[1] true=[3] merged=[1, 3]
122.8 fp=[1] true=[3] merged=[1, 3]
123.1 fp=[1] true=[3] merged=[1, 3]
123.4 fp=[1] true=[3] merged=[1, 3]
123.8 fp=[1] true=[3] merged=[1, 3]
124.1 fp=[1] true=[3] merged=[1, 3]
124.4 fp=[1] true=[3] merged=[1, 3]
124.7 fp=[1] true=[3] merged=[1, 3]
125.0 fp=[1] true=[3] merged=[1, 3]
125.4 fp=[1] true=[3] merged=[1, 3]
125.7 fp=[1] true=[3] merged=[1, 3]
126.0 fp=[1] true=[3] merged=[1, 3]
126.3 fp=[1] true=[3] merged=[1, 3]
126.6 fp=[1] true=[3] merged=[1, 3]
126.9 fp=[1] true=[3] merged=[1, 3]
127.2 fp=[1] true=[3] merged=[1, 3]
127.6 fp=[1] true=[3] merged=[1, 3]
127.9 fp=[1] true=[3] merged=[1, 3]
