condition,election,prev_leader,new_leader,target_won,live,advisors_alive
pgd_rho_0.8,40,6,5,0,1,7
attack_class_ar1,1,5,2,0,1,7
attack_class_ar1,2,2,7,0,1,7
attack_class_ar1,3,7,2,0,1,7
attack_class_ar1,4,2,1,0,1,7
attack_class_ar1,5,1,4,0,1,7
attack_class_ar1,6,4,2,0,1,7
attack_class_ar1,7,2,1,0,1,7
attack_class_ar1,8,1,2,0,1,7
attack_class_ar1,9,2,7,0,1,7
attack_class_ar1,10,7,1,0,1,7
attack_class_ar1,11,1,7,0,1,7
attack_class_ar1,12,7,4,0,1,7
attack_class_ar1,13,4,2,0,1,7
attack_class_ar1,14,2,7,0,1,7
attack_class_ar1,15,7,1,0,1,7
attack_class_ar1,16,1,7,0,1,7
attack_class_ar1,17,7,1,0,1,7
attack_class_ar1,18,1,5,0,1,7
attack_class_ar1,19,5,4,0,1,7
attack_class_ar1,20,4,6,0,1,7
attack_class_ar1,21,6,1,0,1,7
attack_class_ar1,22,1,6,0,1,7
attack_class_ar1,23,6,5,0,1,7
attack_class_ar1,24,5,1,0,1,7
attack_class_ar1,25,1,4,0,1,7
attack_class_ar1,26,4,1,0,1,7
attack_class_ar1,27,1,2,0,1,7
attack_class_ar1,28,2,7,0,1,7
attack_class_ar1,29,7,5,0,1,7
attack_class_ar1,30,5,6,0,1,7
attack_class_ar1,31,6,7,0,1,7
attack_class_ar1,32,7,5,0,1,7
attack_class_ar1,33,5,2,0,1,7
attack_class_ar1,34,2,5,0,1,7
attack_class_ar1,35,5,4,0,1,7
attack_class_ar1,36,4,7,0,1,7
attack_class_ar1,37,7,2,0,1,7
attack_class_ar1,38,2,1,0,1,7
attack_class_ar1,39,1,6,0,1,7
attack_class_ar1,40,6,2,0,1,7
