1789637486,{"blacklist":[];"seq":1;"fail_open":false}
1789637665,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637666,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637667,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637668,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637669,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637670,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637671,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637672,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637673,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637674,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637675,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637676,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637677,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637679,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637680,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637681,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637682,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637683,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637684,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637685,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637686,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637687,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637688,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637689,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637690,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637691,{"blacklist":[3;7];"seq":1;"fail_open":false}
1789637693,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637694,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637695,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637696,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637697,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637698,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637699,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637700,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637701,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637702,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637703,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637704,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637705,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637706,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637708,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637709,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637710,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637711,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637712,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637713,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637714,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637715,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637716,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637717,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637718,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637719,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637720,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637722,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637723,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637724,{"blacklist":[3;4];"seq":1;"fail_open":false}
1789637725,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637726,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637727,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637728,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637729,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637730,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637731,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637732,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637733,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637734,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637735,{"blacklist":[2;3];"seq":1;"fail_open":false}
1789637736,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637738,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637739,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637740,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637741,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637742,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637743,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637744,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637745,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637746,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637747,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637748,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637749,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637750,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637752,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637753,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637754,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637755,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637756,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637757,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637758,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637759,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637760,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637761,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637762,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637763,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637764,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637765,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637767,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637768,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637769,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637770,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637771,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637772,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637773,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637774,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637775,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637776,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637777,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637778,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637779,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637780,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637782,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637783,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637784,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637785,{"blacklist":[1;3];"seq":1;"fail_open":false}
1789637786,{"blacklist":[1;3];"seq":1;"fail_open":false}
