rho,k,seed,emp_gap,th_gap,ratio
0.3,10,2,8.771502213456017e-08,1.0989010988627825,7.982067014523294e-08
0.3,10,3,-2.3322076048160056e-07,1.0989010988627825,-2.1223089204565655e-07
0.3,10,4,2.7090501086846075e-07,1.0989010988627825,2.4652355989889503e-07
0.3,10,5,3.159566268617908e-07,1.0989010988627825,2.8752053045425486e-07
0.3,10,6,2.0638034881059752e-07,1.0989010988627825,1.8780611742419215e-07
0.3,10,7,3.2401874738852143e-08,1.0989010988627825,2.9485706013383556e-08
0.3,10,8,1.1790333198646863e-07,1.0989010988627825,1.072920321114275e-07
0.3,10,9,-3.1698552960257587e-07,1.0989010988627825,-2.884568319484019e-07
0.3,10,10,2.482629952726967e-07,1.0989010988627825,2.259193257060313e-07
0.3,10,11,-9.57758450326196e-08,1.0989010988627825,-8.715601898272278e-08
0.3,10,12,-3.3769316809539873e-07,1.0989010988627825,-3.073007829775278e-07
0.3,10,13,1.1123058918371953e-08,1.0989010988627825,1.0121983616071409e-08
0.3,10,14,9.727281424787293e-08,1.0989010988627825,8.851826096865081e-08
0.3,10,15,5.6100204481879246e-08,1.0989010988627825,5.105118608029016e-08
0.3,10,16,-3.4179445740356584e-07,1.0989010988627825,-3.1103295624809e-07
0.3,10,17,3.278773252901601e-07,1.0989010988627825,2.983683660244492e-07
0.3,10,18,3.36206216200452e-08,1.0989010988627825,3.059476567530791e-08
0.3,10,19,1.812839620640716e-07,1.0989010988627825,1.6496840548405727e-07
0.3,10,20,2.4667596854044405e-07,1.0989010988627825,2.2447513137963106e-07
0.3,10,21,2.8726304890369647e-08,1.0989010988627825,2.614093745114786e-08
0.3,10,22,-3.694719941105262e-07,1.0989010988627825,-3.3621951465230215e-07
0.3,10,23,8.57530089160008e-08,1.0989010988627825,7.803523811628165e-08
0.3,10,24,1.9174192655846412e-07,1.0989010988627825,1.7448515317428628e-07
0.3,10,25,1.0001242634061214e-07,1.0989010988627825,9.101130797313042e-08
0.3,10,26,1.493587453715861e-08,1.0989010988627825,1.3591645829288248e-08
0.3,10,27,-1.5982791512492156e-07,1.0989010988627825,-1.4544340276874991e-07
0.3,10,28,2.3604366905516372e-08,1.0989010988627825,2.147997388476886e-08
0.3,10,29,1.5695041932772824e-08,1.0989010988627825,1.4282488159321271e-08
0.5,1,0,0.3277673784837778,1.0,0.3277673784837778
0.5,1,1,0.32648298063572345,1.0,0.32648298063572345
0.5,1,2,0.30407532191522635,1.0,0.30407532191522635
0.5,1,3,0.35184309124540847,1.0,0.35184309124540847
0.5,1,4,0.32156442663196383,1.0,0.32156442663196383
0.5,1,5,0.36456574012266274,1.0,0.36456574012266274
0.5,1,6,0.3402351209738277,1.0,0.3402351209738277
0.5,1,7,0.35134098685412096,1.0,0.35134098685412096
0.5,1,8,0.3122884955516012,1.0,0.3122884955516012
0.5,1,9,0.3489777913170735,1.0,0.3489777913170735
0.5,1,10,0.32332411611235556,1.0,0.32332411611235556
0.5,1,11,0.3566106594175593,1.0,0.3566106594175593
0.5,1,12,0.33773129507447186,1.0,0.33773129507447186
0.5,1,13,0.35667066228002775,1.0,0.35667066228002775
0.5,1,14,0.3260147070128234,1.0,0.3260147070128234
0.5,1,15,0.34582665368776555,1.0,0.34582665368776555
0.5,1,16,0.3341631656973896,1.0,0.3341631656973896
0.5,1,17,0.3453066656423909,1.0,0.3453066656423909
0.5,1,18,0.3485232135289109,1.0,0.3485232135289109
0.5,1,19,0.33443929785092297,1.0,0.33443929785092297
0.5,1,20,0.36166953350181563,1.0,0.36166953350181563
0.5,1,21,0.351611376079238,1.0,0.351611376079238
0.5,1,22,0.3188465726641241,1.0,0.3188465726641241
0.5,1,23,0.3888345022788322,1.0,0.3888345022788322
0.5,1,24,0.31472645600321314,1.0,0.31472645600321314
0.5,1,25,0.33474047537687435,1.0,0.33474047537687435
0.5,1,26,0.2899345789263068,1.0,0.2899345789263068
0.5,1,27,0.35019182235219104,1.0,0.35019182235219104
0.5,1,28,0.36709217691714957,1.0,0.36709217691714957
0.5,1,29,0.31747071820502604,1.0,0.31747071820502604
0.5,2,0,0.08347935782064231,1.25,0.06678348625651384
0.5,2,1,0.08261311944308014,1.25,0.06609049555446411
0.5,2,2,0.07325018344602463,1.25,0.0586001467568197
0.5,2,3,0.08714491311889772,1.25,0.06971593049511818
0.5,2,4,0.09373919367293437,1.25,0.0749913549383475
0.5,2,5,0.08874624991951352,1.25,0.07099699993561082
0.5,2,6,0.09205266655870536,1.25,0.0736421332469643
0.5,2,7,0.09390504998718607,1.25,0.07512403998974886
0.5,2,8,0.08960605893037754,1.25,0.07168484714430204
0.5,2,9,0.08701010213578564,1.25,0.0696080817086285
0.5,2,10,0.08283441209851028,1.25,0.06626752967880822
0.5,2,11,0.09802295685363704,1.25,0.07841836548290963
0.5,2,12,0.08498242755452345,1.25,0.06798594204361877
0.5,2,13,0.08682618830009203,1.25,0.06946095064007363
0.5,2,14,0.09045334782596681,1.25,0.07236267826077344
0.5,2,15,0.09122101927932258,1.25,0.07297681542345806
0.5,2,16,0.07984684446799695,1.25,0.06387747557439756
0.5,2,17,0.09539602963622595,1.25,0.07631682370898077
0.5,2,18,0.0862633411694218,1.25,0.06901067293553745
0.5,2,19,0.07968627514342264,1.25,0.06374902011473811
0.5,2,20,0.09676916732546892,1.25,0.07741533386037514
0.5,2,21,0.08345018149344674,1.25,0.0667601451947574
0.5,2,22,0.08113650788667548,1.25,0.06490920630934038
