arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
A_vanilla,7,3,1,3,3,6,1786329598.857046570,1786329612.298978090,W1,1,1,3,0,2,1,1,3,0,2,6,0,4,0,1
A_vanilla,7,3,1,3,3,7,1786329612.310233112,1786329625.741887220,W1,1,1,3,0,2,1,1,3,0,2,4,0,5,0,1
A_vanilla,7,3,1,3,3,8,1786329625.755269083,1786329639.192100551,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
A_vanilla,7,3,1,3,3,9,1786329639.202763348,1786329652.662673299,W1,1,1,3,0,2,1,1,3,0,2,7,0,6,0,1
A_vanilla,7,3,1,3,3,10,1786329652.674608379,1786329666.118523152,W1,1,1,3,0,2,1,1,3,0,2,6,0,2,0,1
B_oracle,7,3,1,3,3,1,1786329672.012153408,1786329685.477586766,W1,1,1,3,0,2,1,1,3,0,2,2,0,7,0,1
B_oracle,7,3,1,3,3,2,1786329685.483795844,1786329698.914876385,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
B_oracle,7,3,1,3,3,3,1786329698.927505604,1786329712.339903545,W1,1,1,3,0,2,1,1,3,0,2,5,0,7,0,1
B_oracle,7,3,1,3,3,4,1786329712.354208828,1786329725.784676365,W1,1,1,3,0,2,1,1,3,0,2,7,0,5,0,1
B_oracle,7,3,1,3,3,5,1786329725.802200830,1786329739.249377205,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
B_oracle,7,3,1,3,3,6,1786329739.265325448,1786329752.729142766,W1,1,1,3,0,2,1,1,3,0,2,6,0,2,0,1
B_oracle,7,3,1,3,3,7,1786329752.748077529,1786329766.175411525,W1,1,1,3,0,2,1,1,3,0,2,2,0,4,0,1
B_oracle,7,3,1,3,3,8,1786329766.187725052,1786329779.644335166,W1,1,1,3,0,2,1,1,3,0,2,4,0,2,0,1
B_oracle,7,3,1,3,3,9,1786329779.657519243,1786329793.100395843,W1,1,1,3,0,2,1,1,3,0,2,2,0,5,0,1
B_oracle,7,3,1,3,3,10,1786329793.109162192,1786329806.549033396,W1,1,1,3,0,2,1,1,3,0,2,5,0,6,0,1
C_predictor,7,3,1,3,3,1,1786329812.339591008,1786329825.814637430,W1,1,1,3,0,2,1,1,3,0,2,6,0,1,0,1
C_predictor,7,3,1,3,3,2,1786329825.886030514,1786329839.581161578,W1,1,1,3,0,2,1,1,3,0,2,1,0,7,0,1
