arm,N,f,m,targets,seed,elec_idx,t_start,t_end,window,hits,size,list,r,cap,hits_mid,size_mid,list_mid,r_mid,cap_mid,leader_before,lb_was_target,leader_after,target_won,live
B_oracle,15,7,2,3;11,3,7,1786336316.199024690,1786336330.076368684,W1,2,2,3;11,0,6,2,2,11;3,0,6,12,0,7,0,1
B_oracle,15,7,2,3;11,3,8,1786336330.089142461,1786336343.958669188,W1,2,2,3;11,0,6,2,2,11;3,0,6,7,0,1,0,1
B_oracle,15,7,2,3;11,3,9,1786336343.969164724,1786336357.828513767,W1,2,2,3;11,0,6,2,2,11;3,0,6,1,0,2,0,1
B_oracle,15,7,2,3;11,3,10,1786336357.842457373,1786336371.702270936,W1,2,2,11;3,0,6,2,2,11;3,0,6,2,0,13,0,1
C_predictor,15,7,2,3;11,3,1,1786336386.042274863,1786336399.952942938,W1,2,2,3;11,0,6,2,2,3;11,0,6,13,0,2,0,1
C_predictor,15,7,2,3;11,3,2,1786336399.961836241,1786336413.888129169,W1,2,2,3;11,0,6,2,2,3;11,0,6,2,0,12,0,1
C_predictor,15,7,2,3;11,3,3,1786336413.896853708,1786336427.893026341,W1,2,2,3;11,0,6,2,2,3;11,0,6,12,0,10,0,1
C_predictor,15,7,2,3;11,3,4,1786336427.905216154,1786336441.809308433,W1,2,2,11;3,0,6,2,2,3;11,0,6,10,0,6,0,1
C_predictor,15,7,2,3;11,3,5,1786336441.814457157,1786336455.692532356,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,13,0,1
C_predictor,15,7,2,3;11,3,6,1786336455.698817081,1786336469.557037113,W1,2,2,3;11,0,6,2,2,3;11,0,6,13,0,10,0,1
C_predictor,15,7,2,3;11,3,7,1786336469.567388712,1786336483.574594678,W1,2,2,3;11,0,6,2,2,11;3,0,6,10,0,4,0,1
C_predictor,15,7,2,3;11,3,8,1786336483.582413775,1786336497.542804323,W1,2,2,11;3,0,6,2,2,11;3,0,6,4,0,12,0,1
C_predictor,15,7,2,3;11,3,9,1786336497.550460835,1786336511.540067616,W1,2,2,3;11,0,6,2,2,11;3,0,6,12,0,5,0,1
C_predictor,15,7,2,3;11,3,10,1786336511.547516871,1786336525.500380329,W1,2,2,3;11,0,6,2,2,11;3,0,6,5,0,13,0,1
A_vanilla,15,7,2,3;11,4,1,1786336544.406564036,1786336558.281764489,W1,2,2,11;3,0,6,2,2,11;3,0,6,13,0,4,0,1
A_vanilla,15,7,2,3;11,4,2,1786336558.290379101,1786336572.126086093,W1,2,2,3;11,0,6,2,2,3;11,0,6,4,0,7,0,1
A_vanilla,15,7,2,3;11,4,3,1786336572.138330737,1786336586.087791272,W1,2,2,11;3,0,6,2,2,11;3,0,6,7,0,8,0,1
A_vanilla,15,7,2,3;11,4,4,1786336586.093600310,1786336599.941709093,W1,2,2,3;11,0,6,2,2,11;3,0,6,8,0,1,0,1
A_vanilla,15,7,2,3;11,4,5,1786336599.958079626,1786336613.810416183,W1,2,2,11;3,0,6,2,2,11;3,0,6,1,0,15,0,1
A_vanilla,15,7,2,3;11,4,6,1786336613.818050334,1786336627.705860622,W1,2,2,11;3,0,6,2,2,11;3,0,6,15,0,10,0,1
A_vanilla,15,7,2,3;11,4,7,1786336627.713556538,1786336641.714520872,W1,2,2,3;11,0,6,2,2,3;11,0,6,10,0,5,0,1
A_vanilla,15,7,2,3;11,4,8,1786336641.724321724,1786336655.686294038,W1,2,2,11;3,0,6,2,2,3;11,0,6,5,0,2,0,1
A_vanilla,15,7,2,3;11,4,9,1786336655.710301528,1786336669.681168745,W1,2,2,3;11,0,6,2,2,3;11,0,6,2,0,12,0,1
A_vanilla,15,7,2,3;11,4,10,1786336669.698384432,1786336683.661495882,W1,2,2,3;11,0,6,2,2,3;11,0,6,12,0,10,0,1
B_oracle,15,7,2,3;11,4,1,1786336701.504428170,1786336715.470448998,W1,2,2,11;3,0,6,2,2,11;3,0,6,10,0,4,0,1
B_oracle,15,7,2,3;11,4,2,1786336715.496726420,1786336729.522037508,W1,2,2,11;3,0,6,2,2,11;3,0,6,4,0,13,0,1
B_oracle,15,7,2,3;11,4,3,1786336729.535459225,1786336743.466838495,W1,2,2,3;11,0,6,2,2,11;3,0,6,13,0,4,0,1
B_oracle,15,7,2,3;11,4,4,1786336743.473487322,1786336757.423126561,W1,2,2,3;11,0,6,2,2,3;11,0,6,4,0,14,0,1
B_oracle,15,7,2,3;11,4,5,1786336757.439451809,1786336771.384194894,W1,2,2,11;3,0,6,2,2,3;11,0,6,14,0,4,0,1
B_oracle,15,7,2,3;11,4,6,1786336771.392071431,1786336785.295409173,W1,2,2,3;11,0,6,2,2,3;11,0,6,4,0,7,0,1
B_oracle,15,7,2,3;11,4,7,1786336785.311414803,1786336799.215109817,W1,2,2,3;11,0,6,2,2,3;11,0,6,7,0,9,0,1
B_oracle,15,7,2,3;11,4,8,1786336799.222294644,1786336813.101921242,W1,2,2,3;11,0,6,2,2,3;11,0,6,9,0,1,0,1
B_oracle,15,7,2,3;11,4,9,1786336813.123692891,1786336827.067530741,W1,2,2,3;11,0,6,2,2,3;11,0,6,1,0,14,0,1
B_oracle,15,7,2,3;11,4,10,1786336827.081895143,1786336841.048940331,W1,2,2,3;11,0,6,2,2,3;11,0,6,14,0,7,0,1
C_predictor,15,7,2,3;11,4,1,1786336859.043697550,1786336873.082013642,W1,2,2,3;11,0,6,2,2,3;11,0,6,7,0,6,0,1
C_predictor,15,7,2,3;11,4,2,1786336873.093176587,1786336887.113309589,W1,2,2,3;11,0,6,2,2,3;11,0,6,6,0,13,0,1
C_predictor,15,7,2,3;11,4,3,1786336887.126322683,1786336901.170251549,W1,2,2,3;11,0,6,2,2,3;11,0,6,13,0,8,0,1
C_predictor,15,7,2,3;11,4,4,1786336901.180983870,1786336915.200884252,W1,2,2,3;11,0,6,2,2,3;11,0,6,8,0,9,0,1
C_predictor,15,7,2,3;11,4,5,1786336915.207868030,1786336929.270312810,W1,2,2,3;11,0,6,2,2,3;11,0,6,9,0,5,0,1
C_predictor,15,7,2,3;11,4,6,1786336929.283624894,1786336943.280409414,W1,2,2,3;11,0,6,2,2,3;11,0,6,5,0,15,0,1
C_predictor,15,7,2,3;11,4,7,1786336943.290225362,1786336957.273991951,W1,2,2,3;11,0,6,2,2,11;3,0,6,15,0,1,0,1
C_predictor,15,7,2,3;11,4,8,1786336957.278060770,1786336971.318227051,W1,2,2,11;3,0,6,2,2,11;3,0,6,1,0,4,0,1
C_predictor,15,7,2,3;11,4,9,1786336971.327465218,1786336985.437369263,W1,2,2,11;3,0,6,2,2,11;3,0,6,4,0,15,0,1
C_predictor,15,7,2,3;11,4,10,1786336985.442474451,1786336999.522754481,W1,2,2,11;3,0,6,2,2,11;3,0,6,15,0,7,0,1
